Topological Index,Affected Commit,Vulnerable Commit,Commit Hash,Vulnerable Code Unit,Patched Code Unit,Visibility,Complement,Kind,Name,File,AltCountLineBlank,AltCountLineCode,AltCountLineComment,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountOutput,CountPath,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxEssentialKnots,MaxNesting,MinEssentialKnots,RatioCommentToCode
104,No,No,bc779a1a5b3035133024b21e2f339fe4219fb11c,No,No,public,none,Public Function,A::~A(),stdlib/tst-quick_exit.cc,0,1,0,0,1,0,1,1,1,0,0,0,2,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0
104,No,No,bc779a1a5b3035133024b21e2f339fe4219fb11c,No,No,public,none,Public Function,A::~A(),stdlib/tst-thread-quick_exit.cc,0,1,0,0,1,0,1,1,1,0,0,0,2,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0
104,No,No,bc779a1a5b3035133024b21e2f339fe4219fb11c,No,No,default,none,Function,"CONCAT(,(*) ())",nss/nss_db/db-XXX.c,12,64,6,5,82,12,64,13,41,6,0,0,8,61,31,40,7,0,33,10,10,10,9,9,9,3,9,0
104,No,No,bc779a1a5b3035133024b21e2f339fe4219fb11c,No,No,default,none,Function,"CONCAT(,)",nss/nss_db/db-XXX.c,4,9,1,1,14,4,9,3,5,1,0,0,5,1,5,5,0,0,5,1,1,1,1,0,0,0,0,0
104,No,No,bc779a1a5b3035133024b21e2f339fe4219fb11c,No,No,default,none,Function,"CONCAT(,)",nss/nss_db/db-XXX.c,6,14,2,1,22,6,14,4,7,2,0,0,6,2,7,8,1,0,7,2,2,2,1,0,0,1,0,0
104,No,No,bc779a1a5b3035133024b21e2f339fe4219fb11c,No,No,default,none,Function,DEFINE_HOOK(),stdlib/exit.c,8,57,10,13,75,8,46,12,30,10,3,8,5,90,20,32,5,0,27,12,8,12,8,6,6,3,6,0
104,No,No,bc779a1a5b3035133024b21e2f339fe4219fb11c,No,No,default,none,Function,"FUNC(double *,double)",sysdeps/ieee754/dbl-64/wordsize-64/s_setpayload_main.c,0,23,2,2,25,0,23,4,14,2,0,0,3,3,11,13,2,0,11,6,6,10,1,1,0,1,0,0
104,No,No,bc779a1a5b3035133024b21e2f339fe4219fb11c,No,No,default,none,Function,GETTER(struct value *),elf/tst-tls-manydynamicmod.c,0,5,0,1,5,0,5,2,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0
104,No,No,bc779a1a5b3035133024b21e2f339fe4219fb11c,No,No,default,none,Function,SETTER(const struct value *),elf/tst-tls-manydynamicmod.c,0,5,0,1,5,0,5,2,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0
104,No,No,bc779a1a5b3035133024b21e2f339fe4219fb11c,No,No,default,none,Function,"VECTOR_WRAPPER((*) (),)",sysdeps/x86_64/fpu/test-double-vlen4-avx2-wrappers.c,2,11,0,0,13,2,6,6,1,0,2,5,4,4,19,21,4,0,17,5,5,5,1,0,0,2,0,0
104,No,No,bc779a1a5b3035133024b21e2f339fe4219fb11c,No,No,default,none,Function,"VECTOR_WRAPPER((*) (),)",sysdeps/x86_64/fpu/test-float-vlen16-wrappers.c,2,8,0,0,10,2,6,6,1,0,0,2,4,4,19,21,4,0,17,5,5,5,1,0,0,2,0,0
104,No,No,bc779a1a5b3035133024b21e2f339fe4219fb11c,No,No,default,none,Function,"VECTOR_WRAPPER((*) (),)",sysdeps/x86_64/fpu/test-float-vlen8-wrappers.c,2,8,0,0,10,2,6,6,1,0,0,2,4,4,19,21,4,0,17,5,5,5,1,0,0,2,0,0
104,No,No,bc779a1a5b3035133024b21e2f339fe4219fb11c,No,No,default,none,Function,"VECTOR_WRAPPER((*) (),)",sysdeps/x86_64/fpu/test-double-vlen4-wrappers.c,2,8,0,0,10,2,6,6,1,0,0,2,4,4,19,21,4,0,17,5,5,5,1,0,0,2,0,0
104,No,No,bc779a1a5b3035133024b21e2f339fe4219fb11c,No,No,default,none,Function,"VECTOR_WRAPPER((*) (),)",sysdeps/x86_64/fpu/test-float-vlen8-avx2-wrappers.c,3,9,1,0,13,3,6,6,1,1,0,3,4,4,19,21,4,0,17,5,5,5,1,0,0,2,0,0
104,No,No,bc779a1a5b3035133024b21e2f339fe4219fb11c,No,No,default,none,Function,"VECTOR_WRAPPER((*) (),)",sysdeps/x86_64/fpu/test-double-vlen8-wrappers.c,2,11,0,0,13,2,6,6,1,0,2,5,4,4,19,21,4,0,17,5,5,5,1,0,0,2,0,0
104,No,No,bc779a1a5b3035133024b21e2f339fe4219fb11c,No,No,default,Static,Static Function,_IO_acquire_lock_clear_flags2_fct(_IO_FILE **),libio/libioP.h,0,9,0,2,9,0,9,4,3,0,0,0,2,2,3,4,1,1,2,2,2,2,1,0,0,1,0,0
104,No,No,bc779a1a5b3035133024b21e2f339fe4219fb11c,No,No,default,none,Function,"_IO_adjust_column(unsigned,const char *,int)",libio/genops.c,0,9,0,4,9,0,9,3,5,0,0,0,1,3,3,5,1,0,4,3,3,3,3,3,3,2,3,0
104,No,No,bc779a1a5b3035133024b21e2f339fe4219fb11c,No,No,default,none,Function,_IO_cleanup(),libio/genops.c,2,7,9,0,18,2,7,3,3,9,0,0,3,1,3,3,1,0,2,1,1,1,1,0,0,0,0,1
104,No,No,bc779a1a5b3035133024b21e2f339fe4219fb11c,No,No,default,Static,Static Function,_IO_cookie_close(_IO_FILE *),libio/iofopncook.c,2,12,0,4,14,2,9,4,5,0,1,2,1,2,4,5,2,0,3,2,2,2,1,1,0,1,0,0
104,No,No,bc779a1a5b3035133024b21e2f339fe4219fb11c,No,No,default,none,Function,"_IO_cookie_init(struct _IO_cookie_file *,int,void *,_IO_cookie_io_functions_t)",libio/iofopncook.c,4,13,3,10,20,4,13,3,8,3,0,0,10,1,7,7,0,0,7,1,1,1,1,0,0,0,0,0
104,No,No,bc779a1a5b3035133024b21e2f339fe4219fb11c,No,No,default,Static,Static Function,"_IO_cookie_read(_IO_FILE *,void *,__ssize_t)",libio/iofopncook.c,2,12,0,7,14,2,9,4,5,0,1,2,1,2,4,5,2,0,3,2,2,2,1,1,0,1,0,0
104,No,No,bc779a1a5b3035133024b21e2f339fe4219fb11c,No,No,default,Static,Static Function,"_IO_cookie_seek(_IO_FILE *,__off64_t,int)",libio/iofopncook.c,1,14,0,7,15,1,11,4,7,0,1,2,1,1,3,3,2,0,1,2,2,4,1,0,0,0,0,0
104,No,No,bc779a1a5b3035133024b21e2f339fe4219fb11c,No,No,default,Static,Static Function,"_IO_cookie_seekoff(_IO_FILE *,__off64_t,int,int)",libio/iofopncook.c,0,6,2,5,8,0,6,2,2,2,0,0,4,1,2,2,0,0,2,1,1,1,1,0,0,0,0,0
104,No,No,bc779a1a5b3035133024b21e2f339fe4219fb11c,No,No,default,Static,Static Function,"_IO_cookie_write(_IO_FILE *,const void *,__ssize_t)",libio/iofopncook.c,3,18,0,7,21,3,15,5,9,0,1,2,2,3,7,9,3,0,6,3,3,3,1,1,0,1,0,0
104,No,No,bc779a1a5b3035133024b21e2f339fe4219fb11c,No,No,default,none,Function,_IO_default_doallocate(_IO_FILE *),libio/genops.c,2,10,0,1,12,2,10,3,5,0,0,0,3,2,5,6,1,0,5,2,2,2,1,1,0,1,0,0
104,No,No,bc779a1a5b3035133024b21e2f339fe4219fb11c,No,No,default,none,Function,"_IO_default_finish(_IO_FILE *,int)",libio/genops.c,4,22,0,8,26,4,18,4,9,0,2,2,7,8,9,12,1,0,11,4,4,5,1,0,0,1,0,0
104,No,No,bc779a1a5b3035133024b21e2f339fe4219fb11c,No,No,default,none,Function,"_IO_default_imbue(_IO_FILE *,void *)",libio/genops.c,0,4,0,0,4,0,4,2,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0
104,No,No,bc779a1a5b3035133024b21e2f339fe4219fb11c,No,No,default,none,Function,"_IO_default_pbackfail(_IO_FILE *,int)",libio/genops.c,1,48,6,9,55,1,48,7,32,6,0,0,12,9,22,30,5,0,25,9,9,12,9,16,16,4,16,0
104,No,No,bc779a1a5b3035133024b21e2f339fe4219fb11c,No,No,default,none,Function,"_IO_default_read(_IO_FILE *,void *,__ssize_t)",libio/genops.c,0,5,0,0,5,0,5,2,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0
104,No,No,bc779a1a5b3035133024b21e2f339fe4219fb11c,No,No,default,none,Function,"_IO_default_seek(_IO_FILE *,__off64_t,int)",libio/genops.c,0,5,0,1,5,0,5,2,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0
104,No,No,bc779a1a5b3035133024b21e2f339fe4219fb11c,No,No,default,none,Function,"_IO_default_seekoff(_IO_FILE *,__off64_t,int,int)",libio/genops.c,0,5,0,1,5,0,5,2,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0
104,No,No,bc779a1a5b3035133024b21e2f339fe4219fb11c,No,No,default,none,Function,"_IO_default_seekpos(_IO_FILE *,__off64_t,int)",libio/genops.c,0,5,0,6,5,0,5,3,1,0,0,0,4,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0
104,No,No,bc779a1a5b3035133024b21e2f339fe4219fb11c,No,No,default,none,Function,"_IO_default_setbuf(_IO_FILE *,char *,__ssize_t)",libio/genops.c,0,19,0,8,19,0,19,3,11,0,0,0,12,3,8,10,0,0,10,3,3,4,1,2,0,1,0,0
104,No,No,bc779a1a5b3035133024b21e2f339fe4219fb11c,No,No,default,none,Function,_IO_default_showmanyc(_IO_FILE *),libio/genops.c,0,5,0,0,5,0,5,2,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0
104,No,No,bc779a1a5b3035133024b21e2f339fe4219fb11c,No,No,default,none,Function,"_IO_default_stat(_IO_FILE *,void *)",libio/genops.c,0,5,0,0,5,0,5,2,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0
104,No,No,bc779a1a5b3035133024b21e2f339fe4219fb11c,No,No,default,none,Function,_IO_default_sync(_IO_FILE *),libio/genops.c,0,5,0,0,5,0,5,2,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0
104,No,No,bc779a1a5b3035133024b21e2f339fe4219fb11c,No,No,default,none,Function,_IO_default_uflow(_IO_FILE *),libio/genops.c,0,8,0,5,8,0,8,3,4,0,0,0,5,2,3,4,1,0,3,2,2,2,1,1,0,1,0,0
104,No,No,bc779a1a5b3035133024b21e2f339fe4219fb11c,No,No,default,none,Function,_IO_default_underflow(_IO_FILE *),libio/genops.c,0,5,0,0,5,0,5,2,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0
