Topological Index,Affected Commit,Vulnerable Commit,Commit Hash,CVEs,Vulnerable Code Unit,Patched Code Unit,Code Unit Lines,Visibility,Complement,Kind,Name,File,AltCountLineBlank,AltCountLineCode,AltCountLineComment,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountOutput,CountPath,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxEssentialKnots,MaxNesting,MinEssentialKnots,RatioCommentToCode
121,Yes,Yes,c48831d0eebf876d986919baf2d9240a79192837,"[""CVE-2017-16997""]",No,No,"[220, 243]",default,none,Function,_dl_dst_count(const char *),elf/dl-load.c,4,18,2,2,24,4,18,5,11,2,0,0,3,2,8,9,3,0,6,3,3,5,1,0,0,2,0,0
121,Yes,Yes,c48831d0eebf876d986919baf2d9240a79192837,"[""CVE-2017-16997""]",No,No,"[246, 310]",default,none,Function,"_dl_dst_substitute(struct link_map *,const char *,char *)",elf/dl-load.c,7,49,9,6,65,7,49,8,32,9,0,0,6,26,21,28,6,0,22,9,9,12,5,8,6,3,6,0
121,Yes,Yes,c48831d0eebf876d986919baf2d9240a79192837,"[""CVE-2017-16997""]",No,No,"[606, 755]",default,none,Function,_dl_init_paths(const char *),elf/dl-load.c,24,107,20,8,150,21,77,18,55,9,42,2,23,208,49,58,10,1,47,13,13,15,5,7,6,3,6,0
121,Yes,Yes,c48831d0eebf876d986919baf2d9240a79192837,"[""CVE-2017-16997""]",No,No,"[1828, 2139]",default,none,Function,"_dl_map_object(struct link_map *,const char *,int,int,int,Lmid_t)",elf/dl-load.c,36,232,44,25,312,29,153,16,118,35,89,8,34,92440,60,89,13,2,74,40,40,55,13,16,16,5,12,0
121,Yes,Yes,c48831d0eebf876d986919baf2d9240a79192837,"[""CVE-2017-16997""]",No,No,"[786, 1331]",default,Static,Static Function,"_dl_map_object_from_fd(const char *,const char *,int,struct filebuf *,char *,struct link_map *,int,int,void **,Lmid_t)",elf/dl-load.c,70,374,102,52,546,62,275,24,204,84,98,27,63,999999999,143,195,17,4,174,57,52,69,31,127,123,3,121,0
121,Yes,Yes,c48831d0eebf876d986919baf2d9240a79192837,"[""CVE-2017-16997""]",No,No,"[2181, 2244]",default,none,Function,"_dl_rtld_di_serinfo(struct link_map *,Dl_serinfo *,bool)",elf/dl-load.c,10,42,13,15,64,10,41,10,29,13,0,1,6,144,13,22,2,0,20,11,11,13,1,0,0,4,0,0
121,Yes,Yes,c48831d0eebf876d986919baf2d9240a79192837,"[""CVE-2017-16997""]",No,No,"[352, 379]",default,Static,Static Function,"add_name_to_object(struct link_map *,const char *)",elf/dl-load.c,3,23,2,7,28,3,23,6,14,2,0,0,11,7,18,22,3,1,18,6,6,6,4,5,5,2,4,0
121,Yes,Yes,c48831d0eebf876d986919baf2d9240a79192837,"[""CVE-2017-16997""]",No,No,"[2149, 2179]",default,Static,Static Function,"add_path(struct add_path_state *,const struct r_search_path_struct *,unsigned int)",elf/dl-load.c,0,31,0,12,31,0,31,6,18,0,0,0,9,4,11,14,3,0,11,6,6,6,1,2,0,4,0,0
121,Yes,Yes,c48831d0eebf876d986919baf2d9240a79192837,"[""CVE-2017-16997""]",No,No,"[580, 603]",default,Static,Static Function,"cache_rpath(struct link_map *,struct r_search_path_struct *,int,const char *)",elf/dl-load.c,3,19,2,11,24,3,19,5,10,2,0,0,5,4,5,8,0,0,8,4,4,4,4,3,3,1,3,0
121,Yes,Yes,c48831d0eebf876d986919baf2d9240a79192837,"[""CVE-2017-16997""]",Yes,No,"[487, 576]",default,Static,Static Function,"decompose_rpath(struct r_search_path_struct *,const char *,struct link_map *,const char *)",elf/dl-load.c,12,64,14,5,90,12,64,13,40,14,0,0,12,100,33,43,8,0,35,12,12,16,9,9,9,4,9,0
121,Yes,Yes,c48831d0eebf876d986919baf2d9240a79192837,"[""CVE-2017-16997""]",No,No,"[318, 345]",default,Static,Static Function,"expand_dynamic_string_token(struct link_map *,const char *)",elf/dl-load.c,5,15,8,6,28,5,15,7,8,8,0,0,16,30,25,32,8,1,23,11,11,14,3,4,2,3,2,0
121,Yes,Yes,c48831d0eebf876d986919baf2d9240a79192837,"[""CVE-2017-16997""]",Yes,No,"[386, 484]",default,Static,Static Function,"fillin_rpath(char *,struct r_search_path_elem **,const char *,const char *,const char *,struct link_map *)",elf/dl-load.c,18,69,12,13,99,18,69,14,50,12,0,0,20,529,40,54,10,0,44,17,17,20,7,6,6,4,5,0
121,Yes,Yes,c48831d0eebf876d986919baf2d9240a79192837,"[""CVE-2017-16997""]",No,No,"[182, 217]",default,Static,Static Function,"is_dst(const char *,const char *,const char *,int)",elf/dl-load.c,6,28,2,6,36,6,28,4,19,2,0,0,2,24,12,18,2,0,16,7,7,12,5,6,6,2,6,0
121,Yes,Yes,c48831d0eebf876d986919baf2d9240a79192837,"[""CVE-2017-16997""]",No,No,"[119, 179]",default,Static,Static Function,"is_trusted_path_normalize(const char *,size_t)",elf/dl-load.c,9,51,1,5,61,9,51,6,30,1,0,0,4,145,20,32,4,1,27,13,13,20,10,12,12,5,12,0
121,Yes,Yes,c48831d0eebf876d986919baf2d9240a79192837,"[""CVE-2017-16997""]",No,No,"[758, 779]",default,Static,Static Function,"lose(int,int,const char *,char *,struct link_map *,const char *,struct r_debug *,Lmid_t)",elf/dl-load.c,2,19,1,11,22,2,19,4,11,1,0,0,7,8,8,11,0,0,11,4,4,5,1,0,0,1,0,0
121,Yes,Yes,c48831d0eebf876d986919baf2d9240a79192837,"[""CVE-2017-16997""]",No,No,"[1678, 1824]",default,Static,Static Function,"open_path(const char *,size_t,int,struct r_search_path_struct *,char **,struct filebuf *,struct link_map *,int,bool *)",elf/dl-load.c,17,100,30,27,147,17,100,18,65,30,0,0,20,977,43,60,13,0,47,19,19,29,8,11,11,5,9,0
121,Yes,Yes,c48831d0eebf876d986919baf2d9240a79192837,"[""CVE-2017-16997""]",No,No,"[1379, 1669]",default,Static,Static Function,"open_verify(const char *,int,struct filebuf *,struct link_map *,int,int,bool *,bool)",elf/dl-load.c,22,237,32,20,291,20,197,39,144,28,35,13,25,1584002,81,114,19,1,94,37,37,46,26,72,69,5,65,0
121,Yes,Yes,c48831d0eebf876d986919baf2d9240a79192837,"[""CVE-2017-16997""]",No,No,"[1334, 1369]",default,Static,Static Function,"print_search_path(struct r_search_path_elem **,const char *,const char *)",elf/dl-load.c,6,30,1,12,36,6,30,8,19,1,0,0,4,10,15,20,5,0,15,7,7,10,1,2,0,4,0,0
