Topological Index,Affected Commit,Vulnerable Commit,Commit Hash,Vulnerable Code Unit,Patched Code Unit,Visibility,Complement,Kind,Name,File,AltCountLineBlank,AltCountLineCode,AltCountLineComment,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountOutput,CountPath,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxEssentialKnots,MaxNesting,MinEssentialKnots,RatioCommentToCode
124,No,No,8e448310d74b283c5cd02b9ed7fb997b47bf9b22,No,No,default,Static,Static Function,"read_conf_file(const char *,const char *,size_t,void **,size_t *)",iconv/gconv_conf.c,10,41,13,7,64,10,41,9,32,13,0,0,10,146,21,31,6,0,25,11,11,14,5,7,7,2,5,0
124,No,No,8e448310d74b283c5cd02b9ed7fb997b47bf9b22,No,No,default,Static,Static Function,read_file(const char *),benchtests/bench-strcoll.c,2,26,0,3,28,2,26,5,13,0,0,0,7,5,9,13,3,0,10,5,5,5,1,1,0,4,0,0
124,No,No,8e448310d74b283c5cd02b9ed7fb997b47bf9b22,No,No,default,Static,Static Function,read_input(const char *),math/gen-auto-libm-tests.c,0,24,0,2,24,0,24,7,18,0,0,0,7,40,14,20,5,3,12,7,7,8,4,4,4,2,4,0
124,No,No,8e448310d74b283c5cd02b9ed7fb997b47bf9b22,No,No,default,none,Function,"readdgetnetgrent(struct database_dyn *,struct hashentry *,struct datahead *)",nscd/netgroupcache.c,1,13,0,7,14,1,13,9,7,0,0,0,2,1,3,3,2,0,1,1,1,1,1,0,0,0,0,0
124,No,No,8e448310d74b283c5cd02b9ed7fb997b47bf9b22,No,No,default,none,Function,"readdinnetgr(struct database_dyn *,struct hashentry *,struct datahead *)",nscd/netgroupcache.c,1,11,0,7,12,1,11,8,6,0,0,0,2,1,2,2,1,0,1,1,1,1,1,0,0,0,0,0
124,No,No,8e448310d74b283c5cd02b9ed7fb997b47bf9b22,No,No,default,Static,Static Function,"readio(void *,char *,size_t)",hurd/fopenport.c,3,17,0,3,20,3,17,5,9,0,0,0,6,3,8,10,3,0,7,3,3,3,1,1,0,1,0,0
124,No,No,8e448310d74b283c5cd02b9ed7fb997b47bf9b22,No,No,default,Static,Static Function,realloc_bufs(),benchtests/bench-string.h,5,15,0,6,20,5,15,4,10,0,0,0,4,16,6,10,1,0,9,5,5,5,1,0,0,1,0,0
124,No,No,8e448310d74b283c5cd02b9ed7fb997b47bf9b22,No,No,default,none,Function,reauth(auth_t),hurd/lookup-retry.c,0,6,0,1,6,0,6,1,3,0,0,0,2,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0
124,No,No,8e448310d74b283c5cd02b9ed7fb997b47bf9b22,No,No,default,Static,Static Function,reauth_proc(mach_port_t),hurd/hurdsig.c,3,24,2,7,28,3,24,5,19,2,0,0,13,4,20,22,7,0,15,5,5,8,1,0,0,1,0,0
124,No,No,8e448310d74b283c5cd02b9ed7fb997b47bf9b22,No,No,default,none,Function,reauthenticate(file_t),hurd/lookup-retry.c,0,17,0,3,17,0,17,4,10,0,0,0,6,2,7,9,3,0,6,2,2,2,1,0,0,1,0,0
124,No,No,8e448310d74b283c5cd02b9ed7fb997b47bf9b22,No,No,default,none,Function,"reauthenticate(int,file_t *)",sysdeps/mach/hurd/spawni.c,0,20,0,5,20,0,20,4,15,0,0,0,9,5,19,22,5,0,17,4,4,4,1,1,0,1,0,0
124,No,No,8e448310d74b283c5cd02b9ed7fb997b47bf9b22,No,No,default,none,Function,reauthenticate_fd(int),sysdeps/mach/hurd/spawni.c,0,21,0,3,21,0,21,5,15,0,0,0,7,5,10,13,3,0,10,4,4,4,3,2,2,2,2,0
124,No,No,8e448310d74b283c5cd02b9ed7fb997b47bf9b22,No,No,default,none,Function,reboot(int),sysdeps/mach/hurd/reboot.c,5,20,0,1,25,5,20,5,11,0,0,0,7,5,11,14,3,0,11,4,4,4,3,2,2,1,2,0
124,No,No,8e448310d74b283c5cd02b9ed7fb997b47bf9b22,No,No,default,Static,Static Function,"register_dump(int,ucontext_t *)",sysdeps/unix/sysv/linux/riscv/register-dump.h,4,24,0,4,28,4,24,11,15,0,0,0,4,3,13,15,4,0,11,3,3,3,1,0,0,2,0,0
124,No,No,8e448310d74b283c5cd02b9ed7fb997b47bf9b22,No,No,default,none,Function,"register_traced_file(size_t,struct traced_file *)",nscd/connections.c,3,23,4,11,30,3,20,3,13,4,1,2,10,5,8,11,1,0,10,4,4,5,1,2,0,1,0,0
124,No,No,8e448310d74b283c5cd02b9ed7fb997b47bf9b22,No,No,default,Static,Static Function,reinit_after_fork(),sysdeps/pthread/timer_routines.c,0,6,0,1,6,0,6,2,2,0,0,0,2,1,2,2,0,0,2,1,1,1,1,0,0,0,0,0
124,No,No,8e448310d74b283c5cd02b9ed7fb997b47bf9b22,No,No,default,Static,Static Function,relocate_doit(void *),elf/rtld.c,1,6,0,4,7,1,6,3,2,0,0,0,1,1,2,2,1,0,1,1,1,1,1,0,0,0,0,0
124,No,No,8e448310d74b283c5cd02b9ed7fb997b47bf9b22,No,No,default,none,Function,reply(),hurd/hurdsig.c,0,10,1,2,10,0,10,2,6,1,0,0,1,3,5,7,1,0,6,3,3,3,1,1,0,1,0,0
124,No,No,8e448310d74b283c5cd02b9ed7fb997b47bf9b22,No,No,default,Static,Static Function,restart(),nscd/connections.c,21,119,18,13,158,21,115,19,83,18,2,3,27,1190,58,76,16,0,60,19,19,19,9,11,11,3,11,0
124,No,No,8e448310d74b283c5cd02b9ed7fb997b47bf9b22,No,No,default,Static,Static Function,restart_p(time_t),nscd/connections.c,0,6,0,7,6,0,6,2,2,0,0,0,1,1,1,1,0,0,1,1,1,4,1,0,0,0,0,0
124,No,No,8e448310d74b283c5cd02b9ed7fb997b47bf9b22,No,No,default,none,Function,resume(),hurd/hurdsig.c,2,29,4,4,35,2,29,5,19,4,0,0,10,7,22,26,6,0,20,5,5,7,1,1,0,2,0,0
124,No,No,8e448310d74b283c5cd02b9ed7fb997b47bf9b22,No,No,default,none,Function,resume_threads(),sysdeps/mach/hurd/fork.c,2,10,0,2,12,2,10,1,7,0,0,0,2,7,8,12,0,1,11,6,6,6,1,2,0,2,0,0
124,No,No,8e448310d74b283c5cd02b9ed7fb997b47bf9b22,No,No,default,none,Function,rewind(FILE *),libio/rewind.c,0,9,0,2,9,0,9,2,5,0,0,0,4,1,5,5,0,0,5,2,2,2,1,0,0,1,0,0
124,No,No,8e448310d74b283c5cd02b9ed7fb997b47bf9b22,No,No,default,Static,Static Function,"rfc3484_sort(const void *,const void *,void *)",sysdeps/posix/getaddrinfo.c,38,175,27,20,240,38,175,53,124,27,0,0,10,55296,95,139,37,6,96,52,52,73,30,44,36,6,35,0
