Topological Index,Affected Commit,Vulnerable Commit,Commit Hash,CVEs,Vulnerable Code Unit,Patched Code Unit,Visibility,Complement,Kind,Name,File,AltCountLineBlank,AltCountLineCode,AltCountLineComment,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountOutput,CountPath,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxEssentialKnots,MaxNesting,MinEssentialKnots,RatioCommentToCode
56,Yes,No,a1a6a401ab0a3c9f15fb7eaebbdcee24192254e8,"[""CVE-2014-5119""]",No,Unknown,default,none,Function,__gconv_translit_find(struct trans_struct *),iconv/gconv_trans.c,0,6,3,0,9,0,6,3,1,3,0,0,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0
56,Yes,No,a1a6a401ab0a3c9f15fb7eaebbdcee24192254e8,"[""CVE-2014-5119""]",,Unknown,default,none,Function,__libc_tsd_define(),,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
