[2021-10-01 03:10:01] [INFO] [common.py:74] <module>: Initializing the common module.
[2021-10-01 03:10:01] [INFO] [common.py:134] <module>: Changing the recursion limit from 1000 to 1000000 at the user's request.
[2021-10-01 03:10:02] [INFO] [project.py:33] <module>: Loading libclang from "/usr/lib/x86_64-linux-gnu/libclang-10.so.1".
[2021-10-01 03:10:02] [INFO] [project.py:42] <module>: Loaded libclang successfully.
[2021-10-01 03:10:02] [INFO] [database.py:34] __init__: Connecting to the database with the following configurations: {'host': '127.0.0.1', 'port': '3306', 'user': 'admin', 'password': '', 'database': 'software', 'sql_mode': 'ONLY_FULL_GROUP_BY,NO_ZERO_IN_DATE,NO_ZERO_DATE,ERROR_FOR_DIVISION_BY_ZERO,NO_ENGINE_SUBSTITUTION'}
[2021-10-01 03:10:02] [INFO] [database.py:42] __init__: Autocommit is False.
[2021-10-01 03:10:02] [INFO] [insert_alerts_in_database.py:41] insert_alerts_in_database: Found the following SATs: {'Cppcheck': 1, 'Flawfinder': 2}
[2021-10-01 03:10:02] [INFO] [project.py:119] get_project_list_from_config: Ignoring the project "Glibc" (glibc).
[2021-10-01 03:10:02] [INFO] [project.py:119] get_project_list_from_config: Ignoring the project "Apache HTTP Server" (apache).
[2021-10-01 03:10:02] [INFO] [project.py:119] get_project_list_from_config: Ignoring the project "Xen" (xen).
[2021-10-01 03:10:02] [INFO] [project.py:119] get_project_list_from_config: Ignoring the project "Linux Kernel" (kernel).
[2021-10-01 03:10:02] [INFO] [project.py:126] get_project_list_from_config: Loading the project "Mozilla" (mozilla) with the following configurations: {'short_name': 'mozilla', 'database_id': 1, 'database_name': 'mozilla', 'github_data_name': 'mozilla', 'vendor_id': 452, 'product_id': None, 'url_pattern': 'mozilla', 'master_branch': 'master', 'language': 'c++', 'include_directory_path': None, 'repository_path': '/home/admin/estagio-2020-2021/estagio-software-vulnerabilities-2020-2021/repositories/gecko-dev', 'output_directory_path': 'output/final', 'scrape_all_branches': False}
[2021-10-01 03:10:02] [INFO] [project.py:87] __init__: Loaded the project "Mozilla" located in "/home/admin/estagio-2020-2021/estagio-software-vulnerabilities-2020-2021/repositories/gecko-dev".
[2021-10-01 03:10:02] [INFO] [sats.py:224] __init__: Loaded Cppcheck version 1.90.
[2021-10-01 03:10:02] [INFO] [sats.py:335] __init__: Loaded Flawfinder version 2.0.10.
[2021-10-01 03:10:02] [INFO] [sats.py:105] get_sat_info_from_config: Ignoring the SAT "Cppcheck".
[2021-10-01 03:10:02] [INFO] [insert_alerts_in_database.py:96] insert_alerts_in_database: Starting the insertion of 7630 CSV alert files.
[2021-10-01 03:10:02] [INFO] [insert_alerts_in_database.py:140] insert_alerts_in_database: Inserting the alerts 32 of 7630 from "/home/admin/estagio-2020-2021/estagio-software-vulnerabilities-2020-2021/repositories/uc-phd-josep-data/mozilla/flawfinder/complete_scan/previous_commit/part5/flawfinder-85-8f64f065cc55b32eb784624bbd75b6aa96825ebc-1.csv.zip" (before).
[2021-10-01 03:10:02] [INFO] [insert_alerts_in_database.py:140] insert_alerts_in_database: Inserting the alerts 33 of 7630 from "/home/admin/estagio-2020-2021/estagio-software-vulnerabilities-2020-2021/repositories/uc-phd-josep-data/mozilla/flawfinder/complete_scan/current_commit/part5/flawfinder-84-f9aeb462d4b4f3df1686d023bf18b00985d36bde.csv.zip" (after).
[2021-10-01 03:10:02] [INFO] [insert_alerts_in_database.py:140] insert_alerts_in_database: Inserting the alerts 34 of 7630 from "/home/admin/estagio-2020-2021/estagio-software-vulnerabilities-2020-2021/repositories/uc-phd-josep-data/mozilla/flawfinder/complete_scan/previous_commit/part5/flawfinder-84-f9aeb462d4b4f3df1686d023bf18b00985d36bde-1.csv.zip" (before).
[2021-10-01 03:10:02] [INFO] [insert_alerts_in_database.py:140] insert_alerts_in_database: Inserting the alerts 35 of 7630 from "/home/admin/estagio-2020-2021/estagio-software-vulnerabilities-2020-2021/repositories/uc-phd-josep-data/mozilla/flawfinder/complete_scan/current_commit/part5/flawfinder-83-a7f36965a38bffd9aeb8bedc119944e5ed3601f3.csv.zip" (after).
[2021-10-01 03:10:02] [INFO] [insert_alerts_in_database.py:140] insert_alerts_in_database: Inserting the alerts 36 of 7630 from "/home/admin/estagio-2020-2021/estagio-software-vulnerabilities-2020-2021/repositories/uc-phd-josep-data/mozilla/flawfinder/complete_scan/previous_commit/part5/flawfinder-83-a7f36965a38bffd9aeb8bedc119944e5ed3601f3-1.csv.zip" (before).
[2021-10-01 03:10:02] [INFO] [insert_alerts_in_database.py:140] insert_alerts_in_database: Inserting the alerts 37 of 7630 from "/home/admin/estagio-2020-2021/estagio-software-vulnerabilities-2020-2021/repositories/uc-phd-josep-data/mozilla/flawfinder/complete_scan/current_commit/part5/flawfinder-82-b6c9f7de6561c8fa5b539d6335b13bda2fa227fa.csv.zip" (after).
[2021-10-01 03:10:02] [INFO] [insert_alerts_in_database.py:140] insert_alerts_in_database: Inserting the alerts 38 of 7630 from "/home/admin/estagio-2020-2021/estagio-software-vulnerabilities-2020-2021/repositories/uc-phd-josep-data/mozilla/flawfinder/complete_scan/previous_commit/part5/flawfinder-82-b6c9f7de6561c8fa5b539d6335b13bda2fa227fa-1.csv.zip" (before).
[2021-10-01 03:10:02] [INFO] [insert_alerts_in_database.py:140] insert_alerts_in_database: Inserting the alerts 39 of 7630 from "/home/admin/estagio-2020-2021/estagio-software-vulnerabilities-2020-2021/repositories/uc-phd-josep-data/mozilla/flawfinder/complete_scan/current_commit/part5/flawfinder-81-2e497a02f6d48047ae12c7162154d0f21e3187f5.csv.zip" (after).
[2021-10-01 03:10:02] [INFO] [insert_alerts_in_database.py:140] insert_alerts_in_database: Inserting the alerts 40 of 7630 from "/home/admin/estagio-2020-2021/estagio-software-vulnerabilities-2020-2021/repositories/uc-phd-josep-data/mozilla/flawfinder/complete_scan/previous_commit/part5/flawfinder-81-2e497a02f6d48047ae12c7162154d0f21e3187f5-1.csv.zip" (before).
[2021-10-01 03:10:02] [INFO] [insert_alerts_in_database.py:140] insert_alerts_in_database: Inserting the alerts 41 of 7630 from "/home/admin/estagio-2020-2021/estagio-software-vulnerabilities-2020-2021/repositories/uc-phd-josep-data/mozilla/flawfinder/complete_scan/current_commit/part5/flawfinder-80-d3e4e6067c7f719eaa8f77f01962a7663b3a251f.csv.zip" (after).
