[2021-09-28 16:16:32] [INFO] [common.py:74] <module>: Initializing the common module.
[2021-09-28 16:16:32] [INFO] [common.py:134] <module>: Changing the recursion limit from 1000 to 1000000 at the user's request.
[2021-09-28 16:16:32] [INFO] [project.py:33] <module>: Loading libclang from "/usr/lib/x86_64-linux-gnu/libclang-10.so.1".
[2021-09-28 16:16:32] [INFO] [project.py:42] <module>: Loaded libclang successfully.
[2021-09-28 16:16:32] [INFO] [database.py:34] __init__: Connecting to the database with the following configurations: {'host': '127.0.0.1', 'port': '3306', 'user': 'admin', 'password': '', 'database': 'software', 'sql_mode': 'ONLY_FULL_GROUP_BY,NO_ZERO_IN_DATE,NO_ZERO_DATE,ERROR_FOR_DIVISION_BY_ZERO,NO_ENGINE_SUBSTITUTION'}
[2021-09-28 16:16:32] [INFO] [database.py:42] __init__: Autocommit is False.
[2021-09-28 16:16:32] [INFO] [insert_alerts_in_database.py:40] insert_alerts_in_database: Found the following SATs: {'Cppcheck': 1, 'Flawfinder': 2}
[2021-09-28 16:16:32] [INFO] [project.py:119] get_project_list_from_config: Ignoring the project "Glibc" (glibc).
[2021-09-28 16:16:32] [INFO] [project.py:119] get_project_list_from_config: Ignoring the project "Apache HTTP Server" (apache).
[2021-09-28 16:16:32] [INFO] [project.py:119] get_project_list_from_config: Ignoring the project "Xen" (xen).
[2021-09-28 16:16:32] [INFO] [project.py:126] get_project_list_from_config: Loading the project "Linux Kernel" (kernel) with the following configurations: {'short_name': 'kernel', 'database_id': 2, 'database_name': 'kernel', 'github_data_name': 'linux', 'vendor_id': 33, 'product_id': 47, 'url_pattern': 'linux|kernel|redhat', 'master_branch': 'master', 'language': 'c', 'include_directory_path': 'include', 'repository_path': '/home/admin/estagio-2020-2021/estagio-software-vulnerabilities-2020-2021/repositories/linux', 'output_directory_path': 'output/final', 'scrape_all_branches': False}
[2021-09-28 16:16:32] [INFO] [project.py:87] __init__: Loaded the project "Linux Kernel" located in "/home/admin/estagio-2020-2021/estagio-software-vulnerabilities-2020-2021/repositories/linux".
[2021-09-28 16:16:32] [INFO] [project.py:119] get_project_list_from_config: Ignoring the project "Mozilla" (mozilla).
[2021-09-28 16:16:33] [INFO] [sats.py:224] __init__: Loaded Cppcheck version 1.90.
[2021-09-28 16:16:33] [INFO] [sats.py:335] __init__: Loaded Flawfinder version 2.0.10.
[2021-09-28 16:16:33] [INFO] [sats.py:105] get_sat_info_from_config: Ignoring the SAT "Cppcheck".
[2021-09-28 16:16:33] [INFO] [insert_alerts_in_database.py:95] insert_alerts_in_database: Starting the insertion of 1459 CSV alert files.
[2021-09-28 21:35:47] [INFO] [insert_alerts_in_database.py:139] insert_alerts_in_database: Inserting the alerts 11 of 1459 from "/home/admin/estagio-2020-2021/estagio-software-vulnerabilities-2020-2021/repositories/uc-phd-josep-data/linux/flawfinder/complete_scan/current_commit/part1/flawfinder-91-c03aa9f6e1f938618e6db2e23afef0574efeeb65.csv.zip" (after).
[2021-09-28 22:28:04] [INFO] [insert_alerts_in_database.py:139] insert_alerts_in_database: Inserting the alerts 12 of 1459 from "/home/admin/estagio-2020-2021/estagio-software-vulnerabilities-2020-2021/repositories/uc-phd-josep-data/linux/flawfinder/complete_scan/previous_commit/part1/flawfinder-675-70d715fd0597f18528f389b5ac59102263067744-1.csv.zip" (before).
[2021-09-28 22:51:11] [INFO] [insert_alerts_in_database.py:139] insert_alerts_in_database: Inserting the alerts 13 of 1459 from "/home/admin/estagio-2020-2021/estagio-software-vulnerabilities-2020-2021/repositories/uc-phd-josep-data/linux/flawfinder/complete_scan/current_commit/part1/flawfinder-90-18f39e7be0121317550d03e267e3ebd4dbfbb3ce.csv.zip" (after).
[2021-09-28 23:49:25] [INFO] [insert_alerts_in_database.py:139] insert_alerts_in_database: Inserting the alerts 14 of 1459 from "/home/admin/estagio-2020-2021/estagio-software-vulnerabilities-2020-2021/repositories/uc-phd-josep-data/linux/flawfinder/complete_scan/previous_commit/part1/flawfinder-674-cd3468bad96c00b5a512f551674f36776129520e-1.csv.zip" (before).
[2021-09-29 00:12:29] [INFO] [insert_alerts_in_database.py:139] insert_alerts_in_database: Inserting the alerts 15 of 1459 from "/home/admin/estagio-2020-2021/estagio-software-vulnerabilities-2020-2021/repositories/uc-phd-josep-data/linux/flawfinder/complete_scan/current_commit/part1/flawfinder-9-23b133bdc452aa441fcb9b82cbf6dd05cfd342d0.csv.zip" (after).
[2021-09-29 01:05:39] [INFO] [insert_alerts_in_database.py:139] insert_alerts_in_database: Inserting the alerts 16 of 1459 from "/home/admin/estagio-2020-2021/estagio-software-vulnerabilities-2020-2021/repositories/uc-phd-josep-data/linux/flawfinder/complete_scan/previous_commit/part1/flawfinder-673-a866bbf6aacf95f849810079442a20be118ce905-1.csv.zip" (before).
[2021-09-29 01:22:17] [INFO] [insert_alerts_in_database.py:139] insert_alerts_in_database: Inserting the alerts 17 of 1459 from "/home/admin/estagio-2020-2021/estagio-software-vulnerabilities-2020-2021/repositories/uc-phd-josep-data/linux/flawfinder/complete_scan/current_commit/part1/flawfinder-89-a6138db815df5ee542d848318e5dae681590fccd.csv.zip" (after).
[2021-09-29 02:15:57] [INFO] [insert_alerts_in_database.py:139] insert_alerts_in_database: Inserting the alerts 18 of 1459 from "/home/admin/estagio-2020-2021/estagio-software-vulnerabilities-2020-2021/repositories/uc-phd-josep-data/linux/flawfinder/complete_scan/previous_commit/part1/flawfinder-672-97d477a914b146e7e6722ded21afa79886ae8ccd-1.csv.zip" (before).
[2021-09-29 02:35:12] [INFO] [insert_alerts_in_database.py:139] insert_alerts_in_database: Inserting the alerts 19 of 1459 from "/home/admin/estagio-2020-2021/estagio-software-vulnerabilities-2020-2021/repositories/uc-phd-josep-data/linux/flawfinder/complete_scan/current_commit/part1/flawfinder-88-3a87aa2f10bd7f1408e1849bdb59c41dd63a9fe9.csv.zip" (after).
[2021-09-29 02:36:24] [INFO] [insert_alerts_in_database.py:139] insert_alerts_in_database: Inserting the alerts 20 of 1459 from "/home/admin/estagio-2020-2021/estagio-software-vulnerabilities-2020-2021/repositories/uc-phd-josep-data/linux/flawfinder/complete_scan/previous_commit/part1/flawfinder-671-968460ebd8006d55661dec0fb86712b40d71c413-1.csv.zip" (before).
