Topological Index,Affected Commit,Vulnerable Commit,Commit Hash,CVEs,Vulnerable Code Unit,Code Unit Lines,Kind,Name,File,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFile,CountDeclFileCode,CountDeclFileHeader,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethod,CountDeclMethodAll,CountDeclMethodConst,CountDeclMethodFriend,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountOutput,CountPath,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
97,Yes,Yes,b10bca0483a1fa74de99807b89b13b27064794e1,"[""CVE-2015-2751""]",Yes,"[52, 1338]",Function,"arch_do_domctl(struct xen_domctl *,struct domain *,(*) ())",xen/arch/x86/domctl.c,,,,185,1084,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130,1287,184,1067,71,810,24,15,3,158,2100469,525,736,67,2,667,206,155,249,115,1453,,,,,1408,,7,1402,,0.02,,,,
97,Yes,Yes,b10bca0483a1fa74de99807b89b13b27064794e1,"[""CVE-2015-2751""]",No,"[1346, 1475]",Function,"arch_get_info_guest(struct vcpu *,vcpu_guest_context_u)",xen/arch/x86/domctl.c,,,,11,116,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,130,11,114,6,89,3,0,2,45,4224,74,89,4,1,84,37,37,37,1,5,,,,,0,,2,0,,0.03,,,,
97,Yes,Yes,b10bca0483a1fa74de99807b89b13b27064794e1,"[""CVE-2015-2751""]",No,"[38, 66]",Static Function,"bitmap_to_xenctl_bitmap(struct xenctl_bitmap *,const unsigned long *,unsigned int)",xen/common/domctl.c,,,,7,22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,29,7,22,7,16,0,0,0,7,10,14,19,4,0,15,6,6,7,1,1,,,,,0,,2,0,,0.00,,,,
97,Yes,Yes,b10bca0483a1fa74de99807b89b13b27064794e1,"[""CVE-2015-2751""]",No,"[98, 103]",Function,"cpumask_to_xenctl_bitmap(struct xenctl_bitmap *,const cpumask_t *)",xen/common/domctl.c,,,,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,6,0,6,2,2,0,0,0,3,1,1,1,0,0,1,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
97,Yes,Yes,b10bca0483a1fa74de99807b89b13b27064794e1,"[""CVE-2015-2751""]",No,"[218, 264]",Static Function,default_vcpu0_location(cpumask_t *),xen/common/domctl.c,,,,4,38,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,47,4,38,5,28,5,0,0,17,32,19,24,4,0,20,6,6,9,1,0,,,,,0,,1,0,,0.13,,,,
97,Yes,Yes,b10bca0483a1fa74de99807b89b13b27064794e1,"[""CVE-2015-2751""]",Yes,"[427, 1173]",Function,do_domctl((*) ()),xen/common/domctl.c,,,,122,579,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,747,122,545,37,439,54,22,12,110,57403,285,403,36,1,366,119,89,136,84,940,,,,,938,,5,934,,0.10,,,,
97,Yes,Yes,b10bca0483a1fa74de99807b89b13b27064794e1,"[""CVE-2015-2751""]",Yes,,File,domctl.c,xen/common/domctl.c,11,54,5,194,889,108,11,9,13,7,69,11,52,5,,,,0,,,,,,16,,,,,,,,,,,,,,1183,194,830,88,634,108,22,37,,,430,607,76,1,530,,,,,,119,89,136,84,,,5,,,0.13,182,151,214,118
97,Yes,Yes,b10bca0483a1fa74de99807b89b13b27064794e1,"[""CVE-2015-2751""]",Yes,,File,domctl.c,xen/arch/x86/domctl.c,65,403,9,203,1247,43,82,65,96,39,475,65,397,9,,,,0,,,,,,3,,,,,,,,,,,,,,1485,202,1191,81,904,43,15,42,,,603,832,76,3,753,,,,,,206,155,249,115,,,7,,,0.04,245,194,288,117
97,Yes,Yes,b10bca0483a1fa74de99807b89b13b27064794e1,"[""CVE-2015-2751""]",No,"[266, 285]",Function,domctl_lock_acquire(),xen/common/domctl.c,,,,2,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,20,2,9,1,6,9,0,0,3,3,4,6,0,0,6,3,3,3,3,2,,,,,2,,1,2,,1.00,,,,
97,Yes,Yes,b10bca0483a1fa74de99807b89b13b27064794e1,"[""CVE-2015-2751""]",No,"[287, 291]",Function,domctl_lock_release(),xen/common/domctl.c,,,,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5,0,5,1,2,0,0,0,1,1,2,2,0,0,2,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
