CVE,CVE URL,Publish Date,Last Update Date,CVSS Score,Confidentiality Impact,Integrity Impact,Availability Impact,Access Complexity,Authentication,Gained Access,Vulnerability Types,CWE,Affected Product Versions,Bugzilla URLs,Bugzilla IDs,Advisory URLs,Advisory IDs,Git URLs,Git Commit Hashes,SVN URLs,SVN Revision Numbers
CVE-2019-17348,https://www.cvedetails.com/cve/CVE-2019-17348,2019-10-07,2019-10-11,4.9,None,None,Complete,Low,Not required,None,Denial Of Service,20,"{""XEN"": [""4.11.2""]}",,,https://xenbits.xen.org/xsa/advisory-294.html,XSA-294,,,,
CVE-2018-19963,https://www.cvedetails.com/cve/CVE-2018-19963,2018-12-07,2019-10-02,6.9,Complete,Complete,Complete,Medium,Not required,None,"Denial Of Service,Gain privileges",617,"{""XEN"": [""4.11.0""]}",,,https://xenbits.xen.org/xsa/advisory-276.html,XSA-276,,,,
CVE-2017-15593,https://www.cvedetails.com/cve/CVE-2017-15593,2017-10-18,2019-10-02,4.9,None,None,Complete,Low,Not required,None,Denial Of Service,772,"{""XEN"": [""4.9.0""]}",,,https://xenbits.xen.org/xsa/advisory-242.html,XSA-242,,,,
CVE-2018-19965,https://www.cvedetails.com/cve/CVE-2018-19965,2018-12-07,2019-10-02,4.7,None,None,Complete,Medium,Not required,None,Denial Of Service,,"{""XEN"": [""4.11.1""]}",,,https://xenbits.xen.org/xsa/advisory-279.html,XSA-279,,,,
CVE-2012-4536,https://www.cvedetails.com/cve/CVE-2012-4536,2012-11-21,2017-08-28,2.1,None,None,Partial,Low,Not required,None,Denial Of Service,,"{""XEN"": [""2.2.0""]}",,,,,,,,
CVE-2007-0998,https://www.cvedetails.com/cve/CVE-2007-0998,2007-03-20,2017-10-10,4.3,Partial,None,None,Medium,Not required,None,,264,"{""Qemu"": []}",,,,,,,,
CVE-2012-3497,https://www.cvedetails.com/cve/CVE-2012-3497,2012-11-23,2017-08-28,6.9,Complete,Complete,Complete,Medium,Not required,None,"Denial Of Service,Memory corruption",20,"{""XEN"": [""4.0.0"", ""4.1.0"", ""4.2.0""]}",,,,,,,,
CVE-2011-3131,https://www.cvedetails.com/cve/CVE-2011-3131,2012-12-13,2012-12-13,4.6,None,None,Complete,Low,Single system,None,Denial Of Service,399,"{""XEN"": [""4.1.1""]}",,,,,,,,
