CVE,CVE URL,Publish Date,Last Update Date,CVSS Score,Confidentiality Impact,Integrity Impact,Availability Impact,Access Complexity,Authentication,Gained Access,Vulnerability Types,CWE,Affected Product Versions,Bugzilla URLs,Bugzilla IDs,Advisory URLs,Advisory IDs,Advisory Info,Git URLs,Git Commit Hashes,SVN URLs,SVN Revision Numbers
CVE-2000-0803,https://www.cvedetails.com/cve/CVE-2000-0803,2000-12-19,2018-05-02,10.0,Complete,Complete,Complete,Low,Not required,None,"[""Gain privileges""]",,,,,,,,,,,
CVE-2001-1036,https://www.cvedetails.com/cve/CVE-2001-1036,2001-08-31,2017-10-09,7.2,Complete,Complete,Complete,Low,Not required,Admin,"[""Gain privileges""]",,,,,,,,,,,
CVE-2001-1267,https://www.cvedetails.com/cve/CVE-2001-1267,2001-07-12,2008-09-05,2.1,None,Partial,None,Low,Not required,None,"[""Directory traversal""]",,,,,,,,,,,
CVE-1999-1165,https://www.cvedetails.com/cve/CVE-1999-1165,1999-07-21,2016-10-17,7.2,Complete,Complete,Complete,Low,Not required,Admin,"[""Gain privileges""]",,,,,,,,,,,
CVE-2005-4808,https://www.cvedetails.com/cve/CVE-2005-4808,2005-12-31,2017-07-19,7.6,Complete,Complete,Complete,High,Not required,None,"[""Overflow""]",,,,,,,,,,,
CVE-2005-1849,https://www.cvedetails.com/cve/CVE-2005-1849,2005-07-26,2018-10-19,5.0,None,None,Partial,Low,Not required,None,"[""Denial Of Service""]",,,,,,,,,,,
CVE-2006-3636,https://www.cvedetails.com/cve/CVE-2006-3636,2006-09-05,2018-10-18,6.8,Partial,Partial,Partial,Medium,Not required,User,"[""Cross Site Scripting""]",,,,,,,,,,,
CVE-2005-3137,https://www.cvedetails.com/cve/CVE-2005-3137,2005-10-05,2017-07-10,2.1,None,Partial,None,Low,Not required,None,,,,,,,,,,,,
CVE-2012-3405,https://www.cvedetails.com/cve/CVE-2012-3405,2014-02-10,2019-04-22,5.0,None,None,Partial,Low,Not required,None,"[""Denial Of Service"", ""Bypass a restriction or similar""]",189,"{""Glibc"": [""2.14""]}","[""https://sourceware.org/bugzilla/show_bug.cgi?id=13446""]","[""13446""]",,,,,,,
CVE-2013-4788,https://www.cvedetails.com/cve/CVE-2013-4788,2013-10-04,2017-06-30,5.1,Partial,Partial,Partial,High,Not required,None,"[""Overflow""]",20,"{""Glibc"": [""2.0"", ""2.0.1"", ""2.0.2"", ""2.0.3"", ""2.0.4"", ""2.0.5"", ""2.0.6"", ""2.1"", ""2.1.1"", ""2.1.1.6"", ""2.1.2"", ""2.1.3"", ""2.1.9"", ""2.4"", ""2.10.1"", ""2.11"", ""2.11.1"", ""2.11.2"", ""2.11.3"", ""2.12.1"", ""2.12.2"", ""2.13"", ""2.14"", ""2.14.1"", ""2.15"", ""2.16"", ""2.17""]}",,,,,,,,,
CVE-2012-6711,https://www.cvedetails.com/cve/CVE-2012-6711,2019-06-18,2019-06-20,4.6,Partial,Partial,Partial,Low,Not required,None,"[""Execute Code"", ""Overflow""]",119,,,,,,,,,,
CVE-2014-3465,https://www.cvedetails.com/cve/CVE-2014-3465,2014-06-10,2017-12-28,5.0,None,None,Partial,Low,Not required,None,"[""Denial Of Service""]",,,,,,,,,,,
CVE-2017-5337,https://www.cvedetails.com/cve/CVE-2017-5337,2017-03-24,2018-10-30,7.5,Partial,Partial,Partial,Low,Not required,None,"[""Overflow""]",119,,,,,,,,,,
CVE-2017-8398,https://www.cvedetails.com/cve/CVE-2017-8398,2017-05-01,2017-09-18,5.0,None,None,Partial,Low,Not required,None,"[""Overflow""]",119,,"[""https://sourceware.org/bugzilla/show_bug.cgi?id=21438""]","[""21438""]",,,,,,,
CVE-2017-7299,https://www.cvedetails.com/cve/CVE-2017-7299,2017-03-29,2017-03-31,4.3,None,None,Partial,Medium,Not required,None,,125,,"[""https://sourceware.org/bugzilla/show_bug.cgi?id=20908""]","[""20908""]",,,,,,,
CVE-2017-6969,https://www.cvedetails.com/cve/CVE-2017-6969,2017-03-17,2019-10-02,6.4,Partial,None,Partial,Low,Not required,None,"[""Obtain Information""]",125,,"[""https://sourceware.org/bugzilla/show_bug.cgi?id=21156""]","[""21156""]",,,,,,,
CVE-2017-16830,https://www.cvedetails.com/cve/CVE-2017-16830,2017-11-15,2018-11-27,6.8,Partial,Partial,Partial,Medium,Not required,None,"[""Denial Of Service"", ""Overflow""]",190,,"[""https://sourceware.org/bugzilla/show_bug.cgi?id=22384""]","[""22384""]",,,,,,,
CVE-2017-17531,https://www.cvedetails.com/cve/CVE-2017-17531,2017-12-14,2017-12-29,6.8,Partial,Partial,Partial,Medium,Not required,None,,74,,,,,,,,,,
CVE-2018-6952,https://www.cvedetails.com/cve/CVE-2018-6952,2018-02-13,2019-04-17,5.0,None,None,Partial,Low,Not required,None,,415,,,,,,,,,,
CVE-2018-10372,https://www.cvedetails.com/cve/CVE-2018-10372,2018-04-25,2019-08-03,4.3,None,None,Partial,Medium,Not required,None,"[""Denial Of Service""]",125,,"[""https://sourceware.org/bugzilla/show_bug.cgi?id=23064""]","[""23064""]",,,,,,,
