CVE,CVE URL,Publish Date,Last Update Date,CVSS Score,Confidentiality Impact,Integrity Impact,Availability Impact,Access Complexity,Authentication,Gained Access,Vulnerability Types,CWE,Affected Product Versions,Bugzilla URLs,Bugzilla IDs,Advisory URLs,Advisory IDs,Advisory Info,Git URLs,Git Commit Hashes,SVN URLs,SVN Revision Numbers
CVE-2000-0947,https://www.cvedetails.com/cve/CVE-2000-0947,2000-12-19,2017-10-09,10.0,Complete,Complete,Complete,Low,Not required,Admin,"[""Execute Code""]",,,,,,,,,,,
CVE-2000-0269,https://www.cvedetails.com/cve/CVE-2000-0269,2000-04-18,2008-09-10,2.1,Partial,None,None,Low,Not required,None,,,,,,,,,,,,
CVE-2001-0884,https://www.cvedetails.com/cve/CVE-2001-0884,2001-12-21,2017-10-09,5.1,Partial,Partial,Partial,High,Not required,None,"[""Cross Site Scripting"", ""Obtain Information""]",,,,,,,,,,,
CVE-2000-1219,https://www.cvedetails.com/cve/CVE-2000-1219,2000-11-01,2008-09-05,7.5,Partial,Partial,Partial,Low,Not required,None,"[""Overflow""]",,,,,,,,,,,
CVE-2006-0300,https://www.cvedetails.com/cve/CVE-2006-0300,2006-02-23,2018-10-19,5.1,Partial,Partial,Partial,High,Not required,User,"[""Denial Of Service"", ""Execute Code"", ""Overflow""]",,,,,,,,,,,
CVE-2005-3573,https://www.cvedetails.com/cve/CVE-2005-3573,2005-11-16,2017-10-10,5.0,None,None,Partial,Low,Not required,None,"[""Denial Of Service""]",,,,,,,,,,,
CVE-2006-2362,https://www.cvedetails.com/cve/CVE-2006-2362,2006-05-15,2017-07-19,7.5,Partial,Partial,Partial,Low,Not required,User,"[""Denial Of Service"", ""Execute Code"", ""Overflow""]",,,"[""https://sourceware.org/bugzilla/show_bug.cgi?id=2584""]","[""2584""]",,,,,,,
CVE-2006-5864,https://www.cvedetails.com/cve/CVE-2006-5864,2006-11-10,2018-10-17,5.1,Partial,Partial,Partial,High,Not required,User,"[""Execute Code"", ""Overflow""]",119,,,,,,,,,,
CVE-2013-4788,https://www.cvedetails.com/cve/CVE-2013-4788,2013-10-04,2017-06-30,5.1,Partial,Partial,Partial,High,Not required,None,"[""Overflow""]",20,"{""Glibc"": [""2.0"", ""2.0.1"", ""2.0.2"", ""2.0.3"", ""2.0.4"", ""2.0.5"", ""2.0.6"", ""2.1"", ""2.1.1"", ""2.1.1.6"", ""2.1.2"", ""2.1.3"", ""2.1.9"", ""2.4"", ""2.10.1"", ""2.11"", ""2.11.1"", ""2.11.2"", ""2.11.3"", ""2.12.1"", ""2.12.2"", ""2.13"", ""2.14"", ""2.14.1"", ""2.15"", ""2.16"", ""2.17""]}",,,,,,,,,
CVE-2013-0221,https://www.cvedetails.com/cve/CVE-2013-0221,2013-11-23,2019-04-22,4.3,None,None,Partial,Medium,Not required,None,"[""Denial Of Service"", ""Overflow""]",20,,,,,,,,,,
CVE-2013-0223,https://www.cvedetails.com/cve/CVE-2013-0223,2013-11-23,2019-04-22,1.9,None,None,Partial,Medium,Not required,None,"[""Denial Of Service"", ""Overflow""]",119,,,,,,,,,,
CVE-2012-3479,https://www.cvedetails.com/cve/CVE-2012-3479,2012-08-25,2013-12-13,6.8,Partial,Partial,Partial,Medium,Not required,None,"[""Execute Code""]",,,,,,,,,,,
CVE-2017-6965,https://www.cvedetails.com/cve/CVE-2017-6965,2017-03-17,2017-09-18,4.3,None,None,Partial,Medium,Not required,None,"[""Overflow""]",119,,"[""https://sourceware.org/bugzilla/show_bug.cgi?id=21137""]","[""21137""]",,,,,,,
CVE-2017-5932,https://www.cvedetails.com/cve/CVE-2017-5932,2017-03-27,2017-03-31,4.6,Partial,Partial,Partial,Low,Not required,None,"[""Gain privileges""]",20,,,,,,,,,,
CVE-2017-8395,https://www.cvedetails.com/cve/CVE-2017-8395,2017-05-01,2017-09-18,5.0,None,None,Partial,Low,Not required,None,,476,,"[""https://sourceware.org/bugzilla/show_bug.cgi?id=21431""]","[""21431""]",,,,,,,
CVE-2017-7853,https://www.cvedetails.com/cve/CVE-2017-7853,2017-04-13,2017-11-03,5.0,None,None,Partial,Low,Not required,None,"[""Overflow""]",119,,,,,,,,,,
CVE-2017-17121,https://www.cvedetails.com/cve/CVE-2017-17121,2017-12-04,2018-11-27,6.8,Partial,Partial,Partial,Medium,Not required,None,"[""Denial Of Service"", ""Overflow""]",119,,"[""https://sourceware.org/bugzilla/show_bug.cgi?id=22506""]","[""22506""]",,,,,,,
CVE-2017-1000366,https://www.cvedetails.com/cve/CVE-2017-1000366,2017-06-19,2019-09-04,7.2,Complete,Complete,Complete,Low,Not required,None,"[""Execute Code"", ""Overflow""]",119,"{""Glibc"": [""2.25""]}",,,,,,,,,
CVE-2017-16832,https://www.cvedetails.com/cve/CVE-2017-16832,2017-11-15,2018-11-27,6.8,Partial,Partial,Partial,Medium,Not required,None,"[""Denial Of Service""]",190,,"[""https://sourceware.org/bugzilla/show_bug.cgi?id=22373""]","[""22373""]",,,,,,,
CVE-2017-16997,https://www.cvedetails.com/cve/CVE-2017-16997,2017-12-17,2019-04-26,9.3,Complete,Complete,Complete,Medium,Not required,None,"[""Gain privileges""]",426,"{""Glibc"": [""2.19"", ""2.20"", ""2.21"", ""2.22"", ""2.23"", ""2.25"", ""2.26""]}","[""https://sourceware.org/bugzilla/show_bug.cgi?id=22625""]","[""22625""]",,,,,,,
