CVE,CVE Details URL,Publish Date,Last Update Date,CVSS Score,Confidentiality Impact,Integrity Impact,Availability Impact,Access Complexity,Authentication,Gained Access,Vulnerability Types,CWE,Bugzilla URLs,Bugzilla IDs,Advisory URLs,Advisory IDs,Git URLs,Git Commit Hashes,SVN URLs,SVN Revision Numbers
CVE-2019-15767,https://www.cvedetails.com/cve/CVE-2019-15767,2019-08-28,2019-09-03,6.8,Partial,Partial,Partial,Medium,Not required,None,Overflow,119,,,,,,,,
CVE-2019-1010023,https://www.cvedetails.com/cve/CVE-2019-1010023,2019-07-15,2019-10-09,6.8,Partial,Partial,Partial,Medium,Not required,None,Execute Code,264,https://sourceware.org/bugzilla/show_bug.cgi?id=22851,22851,,,,,,
CVE-2019-11640,https://www.cvedetails.com/cve/CVE-2019-11640,2019-05-01,2019-05-02,6.8,Partial,Partial,Partial,Medium,Not required,None,Overflow,119,,,,,,,,
CVE-2016-10713,https://www.cvedetails.com/cve/CVE-2016-10713,2018-02-13,2018-04-17,4.3,None,None,Partial,Medium,Not required,None,Overflow,119,,,,,,,,
CVE-2017-8421,https://www.cvedetails.com/cve/CVE-2017-8421,2017-05-02,2019-10-02,7.1,None,None,Complete,Medium,Not required,None,,772,https://sourceware.org/bugzilla/show_bug.cgi?id=21440,21440,,,,,,
CVE-2017-7224,https://www.cvedetails.com/cve/CVE-2017-7224,2017-03-22,2018-01-08,4.3,None,None,Partial,Medium,Not required,None,,787,https://sourceware.org/bugzilla/show_bug.cgi?id=20892,20892,,,,,,
CVE-2007-2452,https://www.cvedetails.com/cve/CVE-2007-2452,2007-06-04,2018-10-16,6.0,Partial,Partial,Partial,Medium,Single system,User,"Execute Code,Overflow",,,,,,,,,
CVE-2009-4880,https://www.cvedetails.com/cve/CVE-2009-4880,2010-06-01,2017-08-16,5.0,None,None,Partial,Low,Not required,None,"Denial Of Service,Overflow",189,,,,,https://sourceware.org/git/?p=glibc.git;a=commit;h=199eb0de8d673fb23aa127721054b4f1803d61f3,199eb0de8d673fb23aa127721054b4f1803d61f3,,
CVE-2009-4135,https://www.cvedetails.com/cve/CVE-2009-4135,2009-12-11,2017-08-16,4.4,Partial,Partial,Partial,Medium,Not required,None,Gain privileges,59,,,,,,,,
