CVE,CVE URL,Publish Date,Last Update Date,CVSS Score,Confidentiality Impact,Integrity Impact,Availability Impact,Access Complexity,Authentication,Gained Access,Vulnerability Types,CWE,Affected Product Versions,Bugzilla URLs,Bugzilla IDs,Advisory URLs,Advisory IDs,Advisory Info,Git URLs,Git Commit Hashes,SVN URLs,SVN Revision Numbers
CVE-2015-5256,https://www.cvedetails.com/cve/CVE-2015-5256,2015-11-23,2018-10-09,4.3,None,Partial,None,Medium,Not required,None,"[""Bypass a restriction or similar""]",264,,,,,,,,,,
CVE-2015-3271,https://www.cvedetails.com/cve/CVE-2015-3271,2016-12-15,2016-12-22,5.0,Partial,None,None,Low,Not required,None,"[""Obtain Information""]",200,,,,,,,,,,
CVE-2016-4460,https://www.cvedetails.com/cve/CVE-2016-4460,2017-08-22,2017-08-29,7.5,Partial,Partial,Partial,Low,Not required,None,"[""Bypass a restriction or similar""]",287,,,,,,,,,,
CVE-2016-6797,https://www.cvedetails.com/cve/CVE-2016-6797,2017-08-10,2019-04-15,5.0,Partial,None,None,Low,Not required,None,,284,,,,,,,,,,
CVE-2016-4462,https://www.cvedetails.com/cve/CVE-2016-4462,2017-08-30,2017-09-12,6.5,Partial,Partial,Partial,Low,Single system,None,"[""Execute Code""]",20,,,,,,,,,,
CVE-2016-4432,https://www.cvedetails.com/cve/CVE-2016-4432,2016-06-01,2018-10-09,5.0,None,Partial,None,Low,Not required,None,"[""Bypass a restriction or similar""]",287,,,,,,,,,"[""https://svn.apache.org/viewvc?view=revision&revision=1743393"", ""https://svn.apache.org/viewvc?view=revision&revision=1743161""]","[""1743393"", ""1743161""]"
CVE-2016-4431,https://www.cvedetails.com/cve/CVE-2016-4431,2016-07-04,2017-08-08,5.0,None,Partial,None,Low,Not required,None,"[""Bypass a restriction or similar""]",20,,,,,,,,,,
CVE-2016-4438,https://www.cvedetails.com/cve/CVE-2016-4438,2016-07-04,2019-08-12,7.5,Partial,Partial,Partial,Low,Not required,None,"[""Execute Code""]",20,,,,,,,,,,
CVE-2017-5636,https://www.cvedetails.com/cve/CVE-2017-5636,2017-10-19,2017-11-07,7.5,Partial,Partial,Partial,Low,Not required,None,,74,,,,,,,,,,
CVE-2017-7671,https://www.cvedetails.com/cve/CVE-2017-7671,2018-02-27,2018-03-23,5.0,None,None,Partial,Low,Not required,None,,20,,,,,,,,,,
CVE-2017-5635,https://www.cvedetails.com/cve/CVE-2017-5635,2017-10-19,2019-10-02,5.0,Partial,None,None,Low,Not required,None,,287,,,,,,,,,,
CVE-2017-5648,https://www.cvedetails.com/cve/CVE-2017-5648,2017-04-17,2019-10-02,6.4,Partial,Partial,None,Low,Not required,None,,668,,,,,,,,,,
CVE-2017-5637,https://www.cvedetails.com/cve/CVE-2017-5637,2017-10-09,2019-10-02,5.0,None,None,Partial,Low,Not required,None,,306,,,,,,,,,,
CVE-2017-5662,https://www.cvedetails.com/cve/CVE-2017-5662,2017-04-18,2018-07-18,7.9,Complete,None,Complete,Medium,Single system,None,"[""Denial Of Service""]",611,,,,,,,,,,
CVE-2018-1273,https://www.cvedetails.com/cve/CVE-2018-1273,2018-04-11,2019-10-09,7.5,Partial,Partial,Partial,Low,Not required,None,"[""Execute Code""]",20,,,,,,,,,,
CVE-2017-15699,https://www.cvedetails.com/cve/CVE-2017-15699,2018-02-13,2018-03-15,6.8,None,None,Complete,Low,Single system,None,"[""Denial Of Service""]",20,,,,,,,,,,
CVE-2018-1288,https://www.cvedetails.com/cve/CVE-2018-1288,2018-07-26,2019-08-02,5.5,None,Partial,Partial,Low,Single system,None,"[""Obtain Information""]",200,,,,,,,,,,
CVE-2017-15710,https://www.cvedetails.com/cve/CVE-2017-15710,2018-03-26,2019-08-15,5.0,None,None,Partial,Low,Not required,None,"[""Denial Of Service""]",787,"{""Http Server"": [""2.4.1"", ""2.4.2"", ""2.4.3"", ""2.4.4"", ""2.4.6"", ""2.4.7"", ""2.4.9"", ""2.4.10"", ""2.4.12"", ""2.4.16"", ""2.4.17"", ""2.4.18"", ""2.4.20"", ""2.4.23"", ""2.4.25"", ""2.4.26"", ""2.4.27"", ""2.4.28"", ""2.4.29""]}",,,"[""https://httpd.apache.org/security/vulnerabilities_24.html""]","[""APACHE-2.4""]",,,,,
CVE-2017-12627,https://www.cvedetails.com/cve/CVE-2017-12627,2018-03-01,2018-03-30,7.5,Partial,Partial,Partial,Low,Not required,None,,476,,,,,,,,,,
CVE-2017-15706,https://www.cvedetails.com/cve/CVE-2017-15706,2018-01-31,2019-04-15,5.0,None,Partial,None,Low,Not required,None,,358,,,,,,,,,,
CVE-2018-11760,https://www.cvedetails.com/cve/CVE-2018-11760,2019-02-04,2019-10-02,2.1,None,Partial,None,Low,Not required,None,,,,,,,,,,,,
CVE-2018-11787,https://www.cvedetails.com/cve/CVE-2018-11787,2018-09-18,2018-12-06,6.8,Partial,Partial,Partial,Medium,Not required,None,,287,,,,,,,,,,
CVE-2018-10583,https://www.cvedetails.com/cve/CVE-2018-10583,2018-05-01,2019-09-28,5.0,Partial,None,None,Low,Not required,None,"[""Obtain Information""]",200,,,,,,,,,,
CVE-2018-8026,https://www.cvedetails.com/cve/CVE-2018-8026,2018-07-05,2019-03-29,2.1,Partial,None,None,Low,Not required,None,,611,,,,,,,,,,
CVE-2018-8024,https://www.cvedetails.com/cve/CVE-2018-8024,2018-07-12,2018-09-10,3.5,None,Partial,None,Medium,Single system,None,"[""Obtain Information""]",200,,,,,,,,,,
CVE-2018-11782,https://www.cvedetails.com/cve/CVE-2018-11782,2019-09-26,2019-09-27,4.0,None,None,Partial,Low,Single system,None,,20,,,,,,,,,,
CVE-2019-10071,https://www.cvedetails.com/cve/CVE-2019-10071,2019-09-16,2019-10-07,6.8,Partial,Partial,Partial,Medium,Not required,None,"[""Execute Code""]",20,,,,,,,,,,
CVE-2019-0231,https://www.cvedetails.com/cve/CVE-2019-0231,2019-10-01,2019-10-08,5.0,Partial,None,None,Low,Not required,None,,319,,,,,,,,,,
CVE-2019-5736,https://www.cvedetails.com/cve/CVE-2019-5736,2019-02-11,2019-06-03,9.3,Complete,Complete,Complete,Medium,Not required,None,"[""Execute Code""]",216,,,,,,,,,,
CVE-2019-10098,https://www.cvedetails.com/cve/CVE-2019-10098,2019-09-25,2019-10-09,5.8,Partial,Partial,None,Medium,Not required,None,,601,"{""Http Server"": [""2.4.0"", ""2.4.1"", ""2.4.2"", ""2.4.3"", ""2.4.4"", ""2.4.6"", ""2.4.7"", ""2.4.8"", ""2.4.9"", ""2.4.10"", ""2.4.12"", ""2.4.14"", ""2.4.16"", ""2.4.17"", ""2.4.18"", ""2.4.19"", ""2.4.20"", ""2.4.21"", ""2.4.22"", ""2.4.23"", ""2.4.24"", ""2.4.25"", ""2.4.26"", ""2.4.27"", ""2.4.28"", ""2.4.29"", ""2.4.30"", ""2.4.32"", ""2.4.33"", ""2.4.34"", ""2.4.35"", ""2.4.36"", ""2.4.37"", ""2.4.38"", ""2.4.39""]}",,,"[""https://httpd.apache.org/security/vulnerabilities_24.html""]","[""APACHE-2.4""]",,,,,
CVE-2019-0221,https://www.cvedetails.com/cve/CVE-2019-0221,2019-05-28,2019-06-07,4.3,None,Partial,None,Medium,Not required,None,"[""Cross Site Scripting""]",79,,,,,,,,,,
CVE-2019-12402,https://www.cvedetails.com/cve/CVE-2019-12402,2019-08-30,2019-09-03,5.0,None,None,Partial,Low,Not required,None,"[""Denial Of Service""]",399,,,,,,,,,,
