Topological Index,Affected Commit,Vulnerable Commit,Commit Hash,Vulnerable Code Unit,Patched Code Unit,Visibility,Complement,Kind,Name,File,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClassMethod,CountDeclClassVariable,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethod,CountDeclMethodAll,CountDeclMethodConst,CountDeclMethodFriend,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
250,No,No,74dcd0ce6f4fadce8093e54f0fc1a45426577e13,No,No,default,Struct,Struct,_HV_REFERENCE_TSC_PAGE,xen/include/asm-x86/hvm/viridian.h,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,8,0,8,6,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250,No,No,74dcd0ce6f4fadce8093e54f0fc1a45426577e13,No,No,default,Struct,Struct,__packed,xen/arch/x86/mm/shadow/multi.c,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,7,0,5,4,0,2,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250,No,No,74dcd0ce6f4fadce8093e54f0fc1a45426577e13,No,No,default,Struct,Struct,__packed,xen/arch/x86/mm/shadow/multi.c,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,7,0,5,4,0,2,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250,No,No,74dcd0ce6f4fadce8093e54f0fc1a45426577e13,No,No,default,Struct,Struct,__packed,xen/arch/x86/mm/shadow/multi.c,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,10,0,4,3,0,2,1,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250,No,No,74dcd0ce6f4fadce8093e54f0fc1a45426577e13,No,No,default,Struct,Struct,__packed,xen/arch/x86/mm/shadow/multi.c,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,7,0,5,4,0,2,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250,No,No,74dcd0ce6f4fadce8093e54f0fc1a45426577e13,No,No,default,Struct,Struct,__packed,xen/include/asm-x86/hvm/vmx/vmx.h,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,5,0,5,4,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250,No,No,74dcd0ce6f4fadce8093e54f0fc1a45426577e13,No,No,default,Struct,Struct,__packed,xen/arch/x86/trace.c,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,6,0,6,5,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250,No,No,74dcd0ce6f4fadce8093e54f0fc1a45426577e13,No,No,default,Struct,Struct,__packed,xen/arch/x86/trace.c,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,6,0,6,5,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250,No,No,74dcd0ce6f4fadce8093e54f0fc1a45426577e13,No,No,default,Struct,Struct,__packed,xen/arch/x86/trace.c,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,3,0,3,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250,No,No,74dcd0ce6f4fadce8093e54f0fc1a45426577e13,No,No,default,Struct,Struct,__packed,xen/arch/x86/trace.c,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,4,0,4,3,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
