Topological Index,Affected Commit,Vulnerable Commit,Commit Hash,CVEs,Vulnerable Code Unit,Patched Code Unit,Code Unit Lines,Visibility,Complement,Kind,Name,File,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClassMethod,CountDeclClassVariable,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethod,CountDeclMethodAll,CountDeclMethodConst,CountDeclMethodFriend,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
17,Yes,Yes,60f737636c2be52fe1af2f1a3a2f66acacdc6a30,"[""CVE-2014-2915""]",No,No,"[122, 223]",default,Struct,Struct,cpuinfo_arm,xen/include/asm-arm/processor.h,0,0,0,14,83,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,7,0,0,0,0,0,0,0,102,8,52,53,0,7,34,4,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Yes,Yes,60f737636c2be52fe1af2f1a3a2f66acacdc6a30,"[""CVE-2014-2915""]",No,No,"[462, 464]",default,Struct,Struct,cpuinfo_x86,xen/include/asm-arm/processor.h,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3,0,3,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Yes,Yes,60f737636c2be52fe1af2f1a3a2f66acacdc6a30,"[""CVE-2014-2915""]",No,No,"[239, 318]",default,Union,Union,hsr,xen/include/asm-arm/processor.h,0,0,0,5,73,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,5,0,0,0,0,0,0,0,80,5,55,54,0,45,13,5,48,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Yes,Yes,60f737636c2be52fe1af2f1a3a2f66acacdc6a30,"[""CVE-2014-2915""]",No,No,"[248, 254]",public,Struct,Public Struct,hsr::hsr_cond,xen/include/asm-arm/processor.h,0,0,0,0,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,7,0,7,6,0,5,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Yes,Yes,60f737636c2be52fe1af2f1a3a2f66acacdc6a30,"[""CVE-2014-2915""]",No,No,"[257, 268]",public,Struct,Public Struct,hsr::hsr_cp32,xen/include/asm-arm/processor.h,0,0,0,0,12,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,10,0,0,0,0,0,0,0,12,0,12,11,0,10,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Yes,Yes,60f737636c2be52fe1af2f1a3a2f66acacdc6a30,"[""CVE-2014-2915""]",No,No,"[270, 281]",public,Struct,Public Struct,hsr::hsr_cp64,xen/include/asm-arm/processor.h,0,0,0,0,12,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,10,0,0,0,0,0,0,0,12,0,12,11,0,9,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Yes,Yes,60f737636c2be52fe1af2f1a3a2f66acacdc6a30,"[""CVE-2014-2915""]",No,No,"[298, 317]",public,Struct,Public Struct,hsr::hsr_dabt,xen/include/asm-arm/processor.h,0,0,0,0,20,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,14,0,0,0,0,0,0,0,20,0,16,15,0,13,1,3,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Yes,Yes,60f737636c2be52fe1af2f1a3a2f66acacdc6a30,"[""CVE-2014-2915""]",No,No,"[485, 501]",default,Struct,Struct,reg_ctxt,xen/arch/arm/traps.c,0,0,0,1,14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,8,0,0,0,0,0,0,0,17,1,9,8,0,2,2,3,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
