Topological Index,Affected Commit,Vulnerable Commit,Commit Hash,Vulnerable Code Unit,Patched Code Unit,Kind,Name,File,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclFunction,SumCountInput,AvgCountInput,MaxCountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,SumCountOutput,AvgCountOutput,MaxCountOutput,SumCountPath,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,SumMaxNesting,AvgMaxNesting,MaxMaxNesting,HenryKafura,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
16,No,No,02780d57bd9287c472c9ce5c25c6e46d04d67ea6,No,No,File,mod_watchdog.h,modules/core/mod_watchdog.h,0,0,0,23,78,115,0,0,0,0,0,0,0,0,0,0,0,0,0,213,23,27,27,0,115,14,49,0,0,0,0,5,10,10,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
16,No,No,02780d57bd9287c472c9ce5c25c6e46d04d67ea6,No,No,File,mpm_common.c,server/mpm_common.c,2,17,1,80,479,64,3,3,3,1,19,2,16,1,0,22,110,5,16,611,73,363,120,177,55,69,77,103,5,18,87,145,207,59,0,148,10,8,12,5,4,20,1,4,2956484,0,61,59,68,38
16,No,No,02780d57bd9287c472c9ce5c25c6e46d04d67ea6,No,No,File,mpm_common.h,include/mpm_common.h,0,0,0,71,136,316,0,0,0,1,0,0,0,0,0,0,0,0,0,518,71,83,63,0,296,27,46,0,0,0,0,48,51,51,0,0,1,1,1,1,0,0,0,0,0,3,1,1,1,1
16,No,No,02780d57bd9287c472c9ce5c25c6e46d04d67ea6,No,No,File,mpm_netware.c,server/mpm/netware/mpm_netware.c,4,30,4,181,988,218,6,6,7,2,38,4,29,4,0,29,139,5,21,1370,180,884,145,628,204,46,79,210,7,35,889,474,637,124,12,501,23,23,28,10,5,44,2,5,64155781,0,185,161,203,61
16,No,No,02780d57bd9287c472c9ce5c25c6e46d04d67ea6,No,No,File,mpm_unix.c,server/mpm_unix.c,4,27,5,141,783,166,5,4,5,2,35,3,25,5,0,26,159,6,11,1068,129,648,132,410,158,96,68,133,5,15,372,299,419,111,0,308,14,14,15,11,4,40,2,4,2058569,0,117,108,132,69
16,No,No,02780d57bd9287c472c9ce5c25c6e46d04d67ea6,No,No,File,mpm_winnt.c,server/mpm/winnt/mpm_winnt.c,0,0,0,180,1188,437,0,0,0,0,0,0,0,0,0,0,0,0,0,1776,1,0,0,0,16,1758,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,No,No,02780d57bd9287c472c9ce5c25c6e46d04d67ea6,No,No,File,prefork.c,server/mpm/prefork/prefork.c,5,37,10,185,1117,352,8,8,9,2,51,5,34,9,0,26,182,7,29,1620,181,945,147,671,331,101,107,236,9,49,86040,489,649,121,7,521,45,45,52,17,5,37,1,5,445390396,0,216,203,231,60
16,No,No,02780d57bd9287c472c9ce5c25c6e46d04d67ea6,No,No,File,props.c,modules/dav/main/props.c,7,32,10,170,615,360,6,6,6,3,49,7,31,10,0,18,200,11,19,1130,170,590,135,378,359,6,20,122,7,22,9121,231,335,96,0,239,20,20,20,10,6,34,2,6,21611530,0,103,100,114,54
16,No,No,02780d57bd9287c472c9ce5c25c6e46d04d67ea6,No,No,File,proxy_util.c,modules/proxy/proxy_util.c,4,39,8,355,2692,640,8,8,10,3,50,4,37,8,0,65,751,12,50,3641,339,2486,454,1635,616,194,57,557,9,37,258634,1146,1581,346,2,1233,39,39,51,12,5,125,2,5,736287647,0,517,517,664,234
16,No,No,02780d57bd9287c472c9ce5c25c6e46d04d67ea6,No,No,File,repos.c,modules/dav/fs/repos.c,7,31,8,370,1467,443,5,5,6,3,46,7,31,8,0,40,321,8,27,2253,352,1363,368,924,431,83,54,283,7,29,9045,568,763,205,0,558,26,26,35,21,4,57,1,4,75023106,0,206,201,256,140
16,No,No,02780d57bd9287c472c9ce5c25c6e46d04d67ea6,No,No,File,rotatelogs.c,support/rotatelogs.c,5,53,5,71,599,121,10,9,11,2,62,5,46,5,0,10,103,10,19,778,71,501,100,332,120,50,51,107,11,42,930426,243,336,84,5,247,31,23,35,8,3,17,2,3,65715677,0,99,91,110,23
16,No,No,02780d57bd9287c472c9ce5c25c6e46d04d67ea6,No,No,File,scgi.h,modules/proxy/scgi.h,0,0,0,5,4,28,0,0,0,0,0,0,0,0,0,0,0,0,0,36,5,0,0,0,28,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
