Topological Index,Affected Commit,Vulnerable Commit,Commit Hash,CVEs,Vulnerable Code Unit,Patched Code Unit,Kind,Name,File,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclFunction,SumCountInput,AvgCountInput,MaxCountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,SumCountOutput,AvgCountOutput,MaxCountOutput,SumCountPath,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,SumMaxNesting,AvgMaxNesting,MaxMaxNesting,HenryKafura,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
85,Yes,Yes,a7f0c5ae4184916f0e145de3aefc794bf2e280ad,"[""CVE-2014-9761""]",Yes,No,File,stdlib.h,include/stdlib.h,1,6,0,33,220,4,1,1,1,1,7,1,6,0,0,1,0,0,0,256,33,195,192,0,4,5,23,1,1,1,1,76,140,140,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1
85,Yes,Yes,a7f0c5ae4184916f0e145de3aefc794bf2e280ad,"[""CVE-2014-9761""]",Yes,No,File,strtod_l.c,stdlib/strtod_l.c,25,196,37,186,1343,289,65,65,83,17,257,25,175,37,0,6,42,7,17,1809,186,1054,148,727,286,95,248,55,9,28,1000001251,842,1126,166,26,934,346,345,432,92,9,19,3,9,133963127,0,392,391,495,105
85,Yes,Yes,a7f0c5ae4184916f0e145de3aefc794bf2e280ad,"[""CVE-2014-9761""]",Yes,No,File,strtod_nan.c,stdlib/strtod_nan.c,0,0,0,2,4,18,0,0,0,0,0,0,0,0,0,0,0,0,0,24,2,0,0,0,18,0,4,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,Yes,Yes,a7f0c5ae4184916f0e145de3aefc794bf2e280ad,"[""CVE-2014-9761""]",Yes,No,File,strtod_nan_double.h,stdlib/strtod_nan_double.h,0,0,0,1,12,17,0,0,0,0,0,0,0,0,0,0,0,0,0,30,1,0,0,0,17,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,Yes,Yes,a7f0c5ae4184916f0e145de3aefc794bf2e280ad,"[""CVE-2014-9761""]",Yes,No,File,strtod_nan_float.h,stdlib/strtod_nan_float.h,0,0,0,1,11,17,0,0,0,0,0,0,0,0,0,0,0,0,0,29,1,0,0,0,17,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,Yes,Yes,a7f0c5ae4184916f0e145de3aefc794bf2e280ad,"[""CVE-2014-9761""]",Yes,No,File,strtod_nan_ldouble.h,sysdeps/ieee754/ldbl-128/strtod_nan_ldouble.h,0,0,0,1,15,17,0,0,0,0,0,0,0,0,0,0,0,0,0,33,1,0,0,0,17,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,Yes,Yes,a7f0c5ae4184916f0e145de3aefc794bf2e280ad,"[""CVE-2014-9761""]",Yes,No,File,strtod_nan_ldouble.h,sysdeps/ieee754/ldbl-96/strtod_nan_ldouble.h,0,0,0,1,12,17,0,0,0,0,0,0,0,0,0,0,0,0,0,30,1,0,0,0,17,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,Yes,Yes,a7f0c5ae4184916f0e145de3aefc794bf2e280ad,"[""CVE-2014-9761""]",Yes,No,File,strtod_nan_ldouble.h,sysdeps/ieee754/ldbl-128ibm/strtod_nan_ldouble.h,0,0,0,1,12,17,0,0,0,0,0,0,0,0,0,0,0,0,0,30,1,0,0,0,17,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,Yes,Yes,a7f0c5ae4184916f0e145de3aefc794bf2e280ad,"[""CVE-2014-9761""]",Yes,No,File,strtod_nan_main.c,stdlib/strtod_nan_main.c,0,0,0,9,28,25,0,0,0,0,0,0,0,0,0,0,3,3,3,62,9,23,4,15,25,0,5,4,4,4,0,10,14,4,0,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0
85,Yes,Yes,a7f0c5ae4184916f0e145de3aefc794bf2e280ad,"[""CVE-2014-9761""]",Yes,No,File,strtod_nan_narrow.h,stdlib/strtod_nan_narrow.h,0,0,0,1,4,17,0,0,0,0,0,0,0,0,0,0,0,0,0,22,1,0,0,0,17,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
