Vulnerable,Git Commit Hash,Kind,Name,File,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFile,CountDeclFileCode,CountDeclFileHeader,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethod,CountDeclMethodAll,CountDeclMethodConst,CountDeclMethodFriend,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
No,e9db92d3acfe1822d56d11abcea5bfc4c41cf6ca,Static Function,"evAddTime(struct timespec *,const struct timespec *,const struct timespec *)",resolv\res_send.c,,,,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,10,0,10,3,5,0,0,0,4.0,2.0,0.0,4.0,5,0,0,5,2.0,2.0,2.0,1.0,0.0,,,,,0.0,,1,0.0,,0.0,,,,
No,e9db92d3acfe1822d56d11abcea5bfc4c41cf6ca,Static Function,"evCmpTime(struct timespec,struct timespec)",resolv\res_send.c,,,,1,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,8,1,7,3,4,0,0,0,1.0,2.0,0.0,3.0,4,1,0,3,4.0,4.0,4.0,1.0,0.0,,,,,0.0,,1,0.0,,0.0,,,,
No,e9db92d3acfe1822d56d11abcea5bfc4c41cf6ca,Static Function,"evConsTime(struct timespec *,time_t,long)",resolv\res_send.c,,,,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,5,0,5,2,2,0,0,0,4.0,1.0,0.0,2.0,2,0,0,2,1.0,1.0,1.0,1.0,0.0,,,,,0.0,,0,0.0,,0.0,,,,
No,e9db92d3acfe1822d56d11abcea5bfc4c41cf6ca,Static Function,evNowTime(struct timespec *),resolv\res_send.c,,,,1,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,9,1,8,3,4,0,0,0,3.0,2.0,0.0,3.0,4,1,0,3,2.0,2.0,2.0,1.0,1.0,,,,,0.0,,1,0.0,,0.0,,,,
No,e9db92d3acfe1822d56d11abcea5bfc4c41cf6ca,Static Function,"evSubTime(struct timespec *,const struct timespec *,const struct timespec *)",resolv\res_send.c,,,,0,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,12,0,12,3,7,0,0,0,4.0,2.0,0.0,4.0,5,0,0,5,2.0,2.0,2.0,1.0,1.0,,,,,0.0,,1,0.0,,0.0,,,,
No,e9db92d3acfe1822d56d11abcea5bfc4c41cf6ca,Static Function,"gaih_getanswer(const querybuf *,int,const querybuf *,int,const char *,struct gaih_addrtuple **,char *,size_t,int *,int *,int32_t *)",resolv\nss_dns\dns-host.c,,,,5,31,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,133,5,31,11,22,97,0,0,2.0,10.0,1.0,7.0,11,3,0,8,5.0,5.0,15.0,1.0,0.0,,,,,0.0,,2,0.0,,3.13,,,,
No,e9db92d3acfe1822d56d11abcea5bfc4c41cf6ca,Static Function,"gaih_getanswer_slice(const querybuf *,int,const char *,struct gaih_addrtuple ***,char **,size_t *,int *,int *,int32_t *,int *)",resolv\nss_dns\dns-host.c,,,,32,195,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,244,32,187,31,133,22,6,3,27.0,767244.0,6.0,98.0,126,20,0,106,32.0,32.0,48.0,23.0,59.0,,,,,59.0,,4,59.0,,0.12,,,,
No,e9db92d3acfe1822d56d11abcea5bfc4c41cf6ca,Static Function,"getanswer_r(const querybuf *,int,const char *,int,struct hostent *,char *,size_t,int *,int *,int,int32_t *,char **)",resolv\nss_dns\dns-host.c,,,,29,323,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,383,29,321,30,233,53,0,2,27.0,999999999.0,9.0,177.0,239,19,0,220,63.0,59.0,89.0,48.0,192.0,,,,,192.0,,4,192.0,,0.17,,,,
No,e9db92d3acfe1822d56d11abcea5bfc4c41cf6ca,Function,hidden_def(),resolv\nss_dns\dns-host.c,,,,2,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,11,2,9,6,2,0,0,0,1.0,1.0,0.0,1.0,1,0,0,1,1.0,1.0,1.0,1.0,0.0,,,,,0.0,,0,0.0,,0.0,,,,
No,e9db92d3acfe1822d56d11abcea5bfc4c41cf6ca,Function,hidden_def(),resolv\nss_dns\dns-host.c,,,,2,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,11,2,9,6,2,0,0,0,1.0,1.0,0.0,1.0,1,0,0,1,1.0,1.0,1.0,1.0,0.0,,,,,0.0,,0,0.0,,0.0,,,,
