Vulnerable,Git Commit Hash,Kind,Name,File,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclFunction,SumCountInput,AvgCountInput,MaxCountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,SumCountOutput,AvgCountOutput,MaxCountOutput,SumCountPath,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,SumMaxNesting,AvgMaxNesting,MaxMaxNesting,HenryKafura,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
No,edac424073092fda118fb8514ad524d3a66a9ae6,File,dcigettext.c,intl/dcigettext.c,13,79,15,159,842,196,10,10,12,5,107,8,42,9,0,7,114,8,20,1188,112,332,109,168,139,414,247,72,5,18,388770,206,238,73,9,156,41,41,47,19,5,26,2,5,18166828,0,71,72,81,35
No,edac424073092fda118fb8514ad524d3a66a9ae6,File,initgroups.c,grp/initgroups.c,10,39,7,43,138,43,7,7,8,3,56,9,34,6,0,3,56,5,9,224,40,109,33,68,41,16,18,101,8,9,2055,56,76,24,0,52,13,13,15,8,4,24,2,4,968537,0,20,20,24,10
Yes,edc8cc2a29b53fd6eeb82cd5fae14aa6bbb827dc,File,dcigettext.c,intl/dcigettext.c,13,79,15,158,841,196,10,10,12,5,107,8,42,9,0,7,114,8,20,1186,112,332,109,168,139,412,247,72,5,18,388770,206,238,73,9,156,41,41,47,19,5,26,2,5,18166828,0,71,72,81,35
Yes,edc8cc2a29b53fd6eeb82cd5fae14aa6bbb827dc,File,initgroups.c,grp/initgroups.c,10,39,7,43,137,42,6,6,8,3,55,9,33,6,0,3,56,5,9,222,40,108,33,67,40,16,18,101,8,9,2055,56,75,24,0,51,12,12,14,8,4,24,2,4,968537,0,19,19,23,10
No,6c215a8d6c972ca3324107109c393f21e782fb10,File,initgroups.c,grp/initgroups.c,10,37,7,44,131,43,6,6,8,3,54,9,31,6,0,3,56,5,9,218,41,102,34,65,41,16,18,101,8,9,2055,54,72,25,0,47,12,12,14,8,4,24,2,4,968537,0,19,19,23,10
No,6c215a8d6c972ca3324107109c393f21e782fb10,File,printf_fphex.c,stdio-common/printf_fphex.c,50,312,42,60,368,70,126,126,153,94,402,50,306,42,0,1,44,22,22,493,60,307,57,194,68,12,59,46,23,23,3465129040,218,306,59,0,247,126,126,153,94,6,12,6,6,99085932,0,126,126,153,94
Yes,9c06eb66b5b4662c22532ab03525eab46c4cf2eb,File,initgroups.c,grp/initgroups.c,10,39,7,43,138,43,7,7,8,3,56,9,34,6,0,3,56,5,9,224,40,109,33,68,41,16,18,101,8,9,2055,56,76,24,0,52,13,13,15,8,4,24,2,4,968537,0,20,20,24,10
Yes,9c06eb66b5b4662c22532ab03525eab46c4cf2eb,File,printf_fphex.c,stdio-common/printf_fphex.c,50,309,42,60,365,70,126,126,153,94,399,50,303,42,0,1,44,22,22,490,60,304,57,193,68,12,59,46,23,23,3465129040,217,305,59,0,246,126,126,153,94,6,12,6,6,99085932,0,126,126,153,94
No,4e8f95a0df7c2300b830ec12c0ae1e161bc8a8a3,File,findlocale.c,locale/findlocale.c,1,15,4,40,217,91,4,4,7,2,20,1,15,4,0,3,16,4,7,348,40,192,94,80,91,3,25,16,4,5,15,77,190,171,0,19,6,6,15,6,3,7,2,3,20101,0,11,11,21,8
No,4e8f95a0df7c2300b830ec12c0ae1e161bc8a8a3,File,tst-setlocale3.c,localedata/tst-setlocale3.c,1,32,1,13,166,24,4,4,4,1,33,1,32,1,0,5,32,3,5,203,13,160,24,105,24,0,6,78,8,15,180,82,102,18,0,84,7,7,7,4,1,10,1,1,103754,0,21,21,21,8
