Topological Index,Affected Commit,Vulnerable Commit,Commit Hash,CVEs,Vulnerable Code Unit,Patched Code Unit,Kind,Name,File,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclFunction,SumCountInput,AvgCountInput,MaxCountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,SumCountOutput,AvgCountOutput,MaxCountOutput,SumCountPath,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,SumMaxNesting,AvgMaxNesting,MaxMaxNesting,HenryKafura,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
127,Yes,Yes,22a1fbb575df3a3a7726cdeb5ddf19cc8f60827c,"[""CVE-2015-8104"", ""CVE-2015-5307""]",Yes,No,File,hvm.h,xen/include/asm-x86/hvm/hvm.h,0,5,0,101,384,110,1,1,1,1,5,0,5,0,0,22,54,2,4,577,101,310,222,39,110,2,74,44,2,10,27,175,202,164,0,38,2,2,2,1,1,5,0,1,603,0,29,29,30,22
127,Yes,Yes,22a1fbb575df3a3a7726cdeb5ddf19cc8f60827c,"[""CVE-2015-8104"", ""CVE-2015-5307""]",Yes,No,File,svm.c,xen/arch/x86/hvm/svm/svm.c,4,23,2,429,2083,233,6,4,6,2,29,4,23,2,0,83,540,7,31,2727,429,2034,332,1451,233,0,49,648,8,89,94517,1043,1550,311,4,1235,86,42,89,54,3,89,1,3,2281846833,0,470,315,505,232
127,Yes,Yes,22a1fbb575df3a3a7726cdeb5ddf19cc8f60827c,"[""CVE-2015-8104"", ""CVE-2015-5307""]",Yes,No,File,vmx.c,xen/arch/x86/hvm/vmx/vmx.c,4,25,3,498,2694,360,6,4,7,2,32,4,25,3,0,98,544,6,31,3510,498,2631,423,1836,360,0,63,759,8,112,1254700,1277,1883,330,2,1551,127,60,140,65,5,118,1,5,4771500402,0,570,397,646,279
