Topological Index,Affected Commit,Vulnerable Commit,Commit Hash,CVEs,Vulnerable Code Unit,Patched Code Unit,Kind,Name,File,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclFunction,SumCountInput,AvgCountInput,MaxCountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,SumCountOutput,AvgCountOutput,MaxCountOutput,SumCountPath,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,SumMaxNesting,AvgMaxNesting,MaxMaxNesting,HenryKafura,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
150,Yes,No,8b17648339ba801c4c7937b5f13dd25068e54e60,"[""CVE-2016-3960""]",No,Yes,File,common.c,xen/arch/x86/mm/shadow/common.c,4,29,6,530,2756,832,7,6,8,3,38,4,28,6,0,90,802,9,22,3974,518,2533,534,1702,813,111,131,931,10,42,1000149443,1335,1858,308,5,1545,107,101,110,63,7,133,1,7,209413460,0,586,542,703,298
150,Yes,No,8b17648339ba801c4c7937b5f13dd25068e54e60,"[""CVE-2016-3960""]",No,Yes,File,common.c,xen/arch/x86/cpu/common.c,5,21,3,133,484,121,5,5,5,2,28,5,21,3,0,20,94,5,11,729,133,447,94,329,121,8,29,128,6,24,1332,269,356,81,20,255,11,11,12,6,4,25,1,4,4703732,0,90,90,99,40
150,Yes,No,8b17648339ba801c4c7937b5f13dd25068e54e60,"[""CVE-2016-3960""]",No,Yes,File,domain.h,xen/include/asm-x86/domain.h,0,4,0,118,380,177,1,1,1,1,4,0,4,0,0,2,1,0,1,640,109,279,254,2,156,54,72,3,2,2,2,224,226,224,0,2,1,1,1,1,0,0,0,0,1,0,2,2,2,2
150,Yes,No,8b17648339ba801c4c7937b5f13dd25068e54e60,"[""CVE-2016-3960""]",No,Yes,File,guest_pt.h,xen/include/asm-x86/guest_pt.h,0,4,0,48,228,87,1,1,1,1,5,0,4,0,0,24,49,2,8,345,38,109,46,43,81,73,77,61,3,4,29,46,75,36,0,39,3,3,4,3,1,4,0,1,3362,0,30,30,34,26
150,Yes,No,8b17648339ba801c4c7937b5f13dd25068e54e60,"[""CVE-2016-3960""]",No,Yes,File,guest_walk.c,xen/arch/x86/mm/guest_walk.c,11,77,23,46,287,131,9,8,12,3,108,8,46,17,0,3,30,10,22,439,30,158,40,119,97,152,27,44,15,36,8199,68,95,20,0,75,19,18,28,5,4,7,2,4,55202640,0,26,25,37,9
150,Yes,No,8b17648339ba801c4c7937b5f13dd25068e54e60,"[""CVE-2016-3960""]",No,Yes,File,hap.c,xen/arch/x86/mm/hap/hap.c,3,18,2,136,576,139,3,3,3,1,24,3,18,2,0,28,182,6,15,849,136,548,123,360,139,0,28,255,9,23,569,269,355,72,3,280,12,12,13,11,3,26,1,3,10506601,0,89,87,97,55
150,Yes,No,8b17648339ba801c4c7937b5f13dd25068e54e60,"[""CVE-2016-3960""]",No,Yes,File,hvm.c,xen/arch/x86/hvm/hvm.c,6,36,3,922,4492,430,8,6,10,4,45,6,35,3,0,122,1044,9,85,5817,922,4365,557,3180,422,14,121,1281,10,76,11831936,2150,3113,449,3,2661,83,59,99,63,7,160,1,7,6652272112,0,972,767,1166,608
150,Yes,No,8b17648339ba801c4c7937b5f13dd25068e54e60,"[""CVE-2016-3960""]",No,Yes,File,multi.c,xen/arch/x86/mm/shadow/multi.c,5,37,9,605,3581,971,5,5,8,2,49,4,29,8,0,73,591,8,25,5057,490,2130,462,1244,826,1315,498,838,11,88,2235828,1135,1492,347,0,1145,52,52,78,28,8,127,2,8,1431000477,0,399,395,559,185
150,Yes,No,8b17648339ba801c4c7937b5f13dd25068e54e60,"[""CVE-2016-3960""]",No,Yes,File,p2m.c,xen/arch/x86/mm/p2m.c,4,26,3,420,2021,395,5,5,7,2,33,4,26,3,0,73,546,7,24,2829,405,1913,379,1228,390,99,29,779,11,38,4867,1113,1500,297,80,1123,26,26,32,15,5,121,2,5,58180674,0,399,388,476,208
150,Yes,No,8b17648339ba801c4c7937b5f13dd25068e54e60,"[""CVE-2016-3960""]",No,Yes,File,page.h,xen/include/asm-x86/x86_64/page.h,0,7,0,34,117,45,1,1,1,1,7,0,7,0,0,4,4,1,1,193,34,36,11,15,44,3,81,9,2,3,5,21,26,15,0,11,2,2,2,1,1,1,0,1,80,1,5,5,5,4
150,Yes,No,8b17648339ba801c4c7937b5f13dd25068e54e60,"[""CVE-2016-3960""]",No,Yes,File,processor.h,xen/include/asm-x86/processor.h,0,7,0,100,451,150,1,1,1,1,7,0,7,0,0,22,35,2,6,637,100,275,166,24,150,0,176,34,2,4,22,188,210,172,15,23,1,1,1,1,0,0,0,0,693,0,22,22,22,22
