Topological Index,Affected Commit,Vulnerable Commit,Commit Hash,CVEs,Vulnerable Code Unit,Patched Code Unit,Kind,Name,File,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclFunction,SumCountInput,AvgCountInput,MaxCountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,SumCountOutput,AvgCountOutput,MaxCountOutput,SumCountPath,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,SumMaxNesting,AvgMaxNesting,MaxMaxNesting,HenryKafura,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
6,Yes,No,6c79e0ab9ac6042e60434c02e1d99b0cf0cc3470,"[""CVE-2014-1894"", ""CVE-2014-1893"", ""CVE-2014-1892"", ""CVE-2014-1891""]",No,Unknown,File,conditional.h,xen/xsm/flask/include/conditional.h,0,0,0,7,9,11,0,0,0,0,0,0,0,0,0,0,0,0,0,27,7,5,5,0,11,0,4,0,0,0,0,5,5,5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
6,Yes,No,6c79e0ab9ac6042e60434c02e1d99b0cf0cc3470,"[""CVE-2014-1894"", ""CVE-2014-1893"", ""CVE-2014-1892"", ""CVE-2014-1891""]",No,Yes,File,flask_op.c,xen/xsm/flask/flask_op.c,6,22,0,185,565,13,5,4,5,2,28,6,22,0,0,23,170,7,18,763,179,509,80,357,13,29,33,149,6,22,281,297,415,79,0,336,29,9,29,7,2,28,1,2,10253914,0,117,95,119,66
6,Yes,No,6c79e0ab9ac6042e60434c02e1d99b0cf0cc3470,"[""CVE-2014-1894"", ""CVE-2014-1893"", ""CVE-2014-1892"", ""CVE-2014-1891""]",No,Yes,File,services.c,xen/xsm/flask/ss/services.c,6,47,2,276,1766,287,8,7,9,6,55,6,47,2,0,37,399,11,32,2326,276,1740,213,1170,287,1,25,295,8,24,35500,924,1239,179,1,1059,36,22,38,33,4,76,2,4,66898735,0,305,277,340,252
