Topological Index,Affected Commit,Vulnerable Commit,Commit Hash,Vulnerable Code Unit,Patched Code Unit,Kind,Name,File,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclFunction,SumCountInput,AvgCountInput,MaxCountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,SumCountOutput,AvgCountOutput,MaxCountOutput,SumCountPath,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,SumMaxNesting,AvgMaxNesting,MaxMaxNesting,HenryKafura,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
108,No,No,fa30003c13577b7ae4bbb46252ec1cbabd65c645,No,No,File,acpi.h,xen/include/xen/acpi.h,0,3,0,33,99,39,1,1,1,1,3,0,3,0,0,5,2,0,1,167,20,21,12,5,30,72,29,5,1,1,5,12,17,12,0,5,1,1,1,1,0,0,0,0,2,1,5,5,5,5
108,No,No,fa30003c13577b7ae4bbb46252ec1cbabd65c645,No,No,File,amd.c,xen/arch/x86/cpu/amd.c,6,30,6,90,433,108,7,7,10,2,41,6,30,6,0,12,58,5,16,628,90,408,78,262,108,0,25,82,7,34,9290540,194,284,82,2,200,33,33,53,7,3,15,1,3,9452742,0,79,79,115,27
108,No,No,fa30003c13577b7ae4bbb46252ec1cbabd65c645,No,No,File,amd.h,xen/include/asm-x86/amd.h,0,0,0,21,100,32,0,0,0,0,0,0,0,0,0,0,0,0,0,151,21,5,5,0,32,0,95,0,0,0,0,5,5,5,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
108,No,No,fa30003c13577b7ae4bbb46252ec1cbabd65c645,No,No,File,apic.c,xen/arch/x86/apic.c,4,19,6,217,894,378,3,3,4,1,29,4,19,6,0,43,107,2,18,1477,217,849,130,565,377,13,34,235,5,22,3098,475,632,132,1,499,14,14,18,11,3,42,1,3,1678580,0,148,144,171,74
108,No,No,fa30003c13577b7ae4bbb46252ec1cbabd65c645,No,No,File,arch-arm.h,xen/include/public/arch-arm.h,0,0,0,58,180,249,0,0,0,0,0,0,0,0,0,0,0,0,0,466,33,55,50,0,189,150,112,0,0,0,0,126,128,128,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
108,No,No,fa30003c13577b7ae4bbb46252ec1cbabd65c645,No,No,File,asm_defns.h,xen/include/asm-x86/asm_defns.h,0,4,1,45,276,48,1,1,1,1,5,0,4,1,0,2,2,1,1,366,26,9,3,2,22,224,161,6,3,3,2,3,5,3,0,2,1,1,1,1,0,0,0,0,18,2,2,2,2,2
108,No,No,fa30003c13577b7ae4bbb46252ec1cbabd65c645,No,No,File,boot.c,xen/common/efi/boot.c,4,39,1,178,1238,40,8,8,10,2,44,4,38,1,0,27,178,7,17,1448,178,1178,210,765,33,13,57,251,9,54,85520607,638,933,302,13,618,39,39,47,11,4,43,2,4,99926186,0,217,204,270,70
108,No,No,fa30003c13577b7ae4bbb46252ec1cbabd65c645,No,No,File,bzimage.c,xen/arch/x86/bzimage.c,4,17,1,22,118,12,4,4,4,2,21,4,17,1,0,4,24,6,8,149,22,105,47,45,12,0,13,18,4,8,23,69,85,45,0,40,7,7,7,4,1,3,1,1,95892,0,17,17,17,11
108,No,No,fa30003c13577b7ae4bbb46252ec1cbabd65c645,No,No,File,centaur.c,xen/arch/x86/cpu/centaur.c,2,12,2,12,54,7,3,3,3,1,15,2,12,2,0,3,10,3,6,71,12,40,10,26,7,0,14,14,5,11,13,17,25,6,0,19,5,5,6,1,2,3,1,2,74092,0,8,8,9,3
108,No,No,fa30003c13577b7ae4bbb46252ec1cbabd65c645,No,No,File,common.c,xen/arch/x86/cpu/common.c,4,21,3,121,452,120,4,4,5,1,28,4,20,3,0,19,115,6,14,684,121,415,85,304,120,8,29,130,7,22,488,248,328,73,20,235,10,10,11,6,4,25,1,4,4507325,0,82,82,91,37
