Topological Index,Affected Commit,Vulnerable Commit,Commit Hash,Vulnerable Code Unit,Patched Code Unit,Kind,Name,File,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclFunction,SumCountInput,AvgCountInput,MaxCountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,SumCountOutput,AvgCountOutput,MaxCountOutput,SumCountPath,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,SumMaxNesting,AvgMaxNesting,MaxMaxNesting,HenryKafura,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
60,No,No,346d4545569928b652c40c7815c1732676f8587c,No,No,File,trace.h,xen/include/public/trace.h,0,0,0,28,199,134,0,0,0,0,0,0,0,0,0,0,0,0,0,331,28,22,19,0,134,0,177,0,0,0,0,16,16,16,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
60,No,No,346d4545569928b652c40c7815c1732676f8587c,No,No,File,traps.c,xen/arch/arm/arm32/traps.c,2,8,0,14,36,26,2,2,3,2,10,2,8,0,0,4,10,2,7,76,14,31,8,17,26,0,5,10,2,4,19,17,25,8,0,17,5,5,9,5,1,1,0,1,10988,0,8,8,12,8
60,No,No,346d4545569928b652c40c7815c1732676f8587c,No,No,File,traps.c,xen/arch/arm/traps.c,3,27,2,245,1717,221,5,4,6,3,32,3,23,2,0,50,356,7,49,2155,215,1197,221,867,167,438,177,275,6,25,467,573,837,143,4,690,30,12,30,20,2,51,1,2,9811668,0,266,179,280,152
60,No,No,346d4545569928b652c40c7815c1732676f8587c,No,No,File,vfp.c,xen/arch/arm/arm64/vfp.c,2,26,0,6,56,0,3,3,3,1,28,2,26,0,0,2,9,4,7,62,6,52,2,12,0,0,4,10,5,8,6,10,16,2,2,12,3,3,3,1,1,2,1,1,2712,0,6,6,6,2
60,No,No,346d4545569928b652c40c7815c1732676f8587c,No,No,File,vgic-v2.c,xen/arch/arm/vgic-v2.c,8,53,5,79,444,69,17,9,19,13,66,8,53,5,0,8,68,8,22,589,79,432,47,374,69,0,12,64,8,25,324,280,411,39,0,372,63,34,73,51,3,8,1,3,40796488,0,132,75,149,105
60,No,No,346d4545569928b652c40c7815c1732676f8587c,No,No,File,vgic-v3.c,xen/arch/arm/vgic-v3.c,3,45,6,70,806,134,14,7,15,11,54,3,45,6,0,17,129,8,15,1008,70,784,92,660,134,0,22,120,7,17,230,451,707,74,0,633,44,20,44,31,2,22,1,2,12379422,0,246,113,252,201
60,No,No,346d4545569928b652c40c7815c1732676f8587c,No,No,File,viridian.c,xen/arch/x86/hvm/viridian.c,5,27,2,93,395,50,5,4,6,3,34,5,27,2,0,13,126,10,15,527,93,361,68,260,50,0,34,103,8,21,79,212,284,60,0,224,17,12,19,14,2,15,1,2,7189409,0,69,49,74,50
60,No,No,346d4545569928b652c40c7815c1732676f8587c,No,No,File,vlapic.c,xen/arch/x86/hvm/vlapic.c,4,21,1,255,1142,83,5,4,5,2,25,4,21,1,0,51,285,6,15,1468,255,1097,174,784,83,0,45,358,7,25,314,509,746,148,0,598,29,14,31,23,3,61,1,3,18491815,0,240,190,269,150
60,No,No,346d4545569928b652c40c7815c1732676f8587c,No,No,File,vlapic.h,xen/include/asm-x86/hvm/vlapic.h,0,5,0,26,85,32,1,1,1,1,5,0,5,0,0,2,7,4,4,142,26,49,42,2,32,0,36,3,2,2,2,34,36,34,0,2,1,1,1,1,0,0,0,0,52,0,2,2,2,2
60,No,No,346d4545569928b652c40c7815c1732676f8587c,No,No,File,vmcs.c,xen/arch/x86/hvm/vmx/vmcs.c,5,26,3,254,1182,180,4,4,5,1,33,5,26,3,0,43,285,7,27,1594,254,1156,159,860,180,0,26,287,7,39,234296,614,794,144,11,639,24,24,29,10,3,44,1,3,133697942,0,184,182,204,82
