Topological Index,Affected Commit,Vulnerable Commit,Commit Hash,CVEs,Vulnerable Code Unit,Patched Code Unit,Kind,Name,File,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclFunction,SumCountInput,AvgCountInput,MaxCountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,SumCountOutput,AvgCountOutput,MaxCountOutput,SumCountPath,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,SumMaxNesting,AvgMaxNesting,MaxMaxNesting,HenryKafura,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
144,Yes,No,c61a6f74f80eb36ed83a82f713db3143159b9009,"[""CVE-2016-2270""]",No,Yes,File,mm.c,xen/arch/x86/mm.c,6,37,2,956,5058,455,9,8,10,4,44,6,36,2,0,131,889,7,32,6447,948,4840,728,3291,454,51,178,1494,11,80,1010410131,2396,3437,587,16,2834,110,92,122,54,9,260,2,9,1603433292,0,1118,1048,1336,598
144,Yes,No,c61a6f74f80eb36ed83a82f713db3143159b9009,"[""CVE-2016-2270""]",No,Yes,File,mtrr.c,xen/arch/x86/hvm/mtrr.c,4,25,3,129,630,109,5,5,6,3,32,4,25,3,0,23,172,7,14,851,129,608,132,397,109,0,22,116,5,14,169,277,391,91,0,300,19,18,28,17,4,33,1,4,4388107,0,116,111,145,85
144,Yes,No,c61a6f74f80eb36ed83a82f713db3143159b9009,"[""CVE-2016-2270""]",No,Yes,File,multi.c,xen/arch/x86/mm/shadow/multi.c,5,38,9,626,3716,1001,6,6,8,2,50,5,30,8,0,75,618,8,25,5240,511,2252,478,1328,856,1315,511,880,12,88,2235897,1189,1566,359,0,1207,52,52,78,28,8,131,2,8,1424418672,0,422,418,588,197
144,Yes,No,c61a6f74f80eb36ed83a82f713db3143159b9009,"[""CVE-2016-2270""]",No,Yes,File,p2m-pt.c,xen/arch/x86/mm/p2m-pt.c,7,51,4,136,879,110,10,9,12,4,61,7,51,4,0,14,83,6,12,1120,123,712,112,491,105,150,35,177,13,43,20678,354,489,84,5,400,30,30,39,20,4,29,2,4,43002061,0,140,124,174,61
144,Yes,No,c61a6f74f80eb36ed83a82f713db3143159b9009,"[""CVE-2016-2270""]",No,Yes,File,page.h,xen/include/asm-x86/page.h,0,5,1,55,267,70,1,1,1,1,6,0,5,1,0,7,12,2,2,386,55,54,27,15,70,1,213,20,3,4,7,31,38,25,0,13,1,1,1,1,0,0,0,0,594,1,7,7,7,7
144,Yes,No,c61a6f74f80eb36ed83a82f713db3143159b9009,"[""CVE-2016-2270""]",No,Yes,File,types.h,xen/arch/x86/mm/shadow/types.h,0,3,0,46,242,79,1,1,1,1,3,0,3,0,0,24,100,4,13,364,43,71,31,26,76,53,160,50,2,3,24,31,54,28,0,26,1,1,1,1,0,0,0,0,3524,1,24,24,24,24
