Topological Index,Affected Commit,Vulnerable Commit,Commit Hash,Vulnerable Code Unit,Patched Code Unit,Kind,Name,File,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclFunction,SumCountInput,AvgCountInput,MaxCountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,SumCountOutput,AvgCountOutput,MaxCountOutput,SumCountPath,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,SumMaxNesting,AvgMaxNesting,MaxMaxNesting,HenryKafura,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
70,No,No,6913fa31fa898f45ecc3b00e2397b8ebc75c8df4,No,No,File,cpu_idle.c,xen/arch/x86/acpi/cpu_idle.c,3,21,4,179,928,201,6,5,7,2,28,3,21,4,0,38,195,5,29,1296,173,832,147,561,201,45,57,216,6,31,25534,484,680,128,2,550,42,42,55,28,4,40,1,4,28234873,0,226,196,282,112
70,No,No,6913fa31fa898f45ecc3b00e2397b8ebc75c8df4,No,No,File,domain.h,xen/include/xen/domain.h,0,0,0,28,59,22,0,0,0,0,0,0,0,0,0,0,0,0,0,108,28,50,49,0,22,0,9,0,0,0,0,46,46,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,No,No,6913fa31fa898f45ecc3b00e2397b8ebc75c8df4,No,No,File,domctl.c,xen/common/domctl.c,11,55,5,195,911,107,11,9,13,7,71,11,53,5,0,16,186,12,83,1205,193,848,88,630,107,28,37,204,13,109,56981,426,597,76,1,520,117,87,137,82,5,20,1,5,36358176082,0,176,145,211,112
70,No,No,6913fa31fa898f45ecc3b00e2397b8ebc75c8df4,No,No,File,domctl.h,xen/include/public/domctl.h,0,0,0,118,689,435,0,0,0,0,0,0,0,0,0,0,0,0,0,1154,118,478,426,0,433,13,204,0,0,0,0,455,455,455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,No,No,6913fa31fa898f45ecc3b00e2397b8ebc75c8df4,No,No,File,gic.c,xen/arch/arm/gic.c,2,12,1,108,458,85,2,2,2,1,15,2,12,1,0,36,182,5,19,646,108,429,84,241,85,6,23,187,5,22,108,198,273,75,0,198,9,9,12,6,3,19,1,3,8222804,0,75,73,82,51
70,No,No,6913fa31fa898f45ecc3b00e2397b8ebc75c8df4,No,No,File,io.c,xen/drivers/passthrough/io.c,4,25,4,121,591,151,4,4,5,2,33,4,25,4,0,23,162,7,26,861,121,583,105,375,151,0,8,193,8,49,400,283,378,88,0,290,24,22,28,14,4,30,1,4,229756627,0,93,85,119,55
70,No,No,6913fa31fa898f45ecc3b00e2397b8ebc75c8df4,No,No,File,irq.h,xen/include/xen/hvm/irq.h,0,0,0,18,89,29,0,0,0,0,0,0,0,0,0,0,0,0,0,134,18,54,49,0,29,1,35,0,0,0,0,42,42,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,No,No,6913fa31fa898f45ecc3b00e2397b8ebc75c8df4,No,No,File,memory.c,xen/common/memory.c,19,87,7,200,901,93,16,14,19,12,112,19,79,6,0,10,128,13,55,1183,199,799,80,563,85,71,40,188,19,58,393692,409,567,72,0,495,67,52,79,51,4,24,2,4,2589882908,0,159,144,191,123
70,No,No,6913fa31fa898f45ecc3b00e2397b8ebc75c8df4,No,No,File,memory.h,xen/include/public/memory.h,0,0,0,67,246,303,0,0,0,0,0,0,0,0,0,0,0,0,0,587,49,105,93,0,220,184,81,0,0,0,0,102,102,102,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
70,No,No,6913fa31fa898f45ecc3b00e2397b8ebc75c8df4,No,No,File,mm.c,xen/arch/x86/mm.c,6,38,2,916,4861,433,9,8,11,4,46,6,38,2,0,121,845,7,40,6191,908,4649,699,3148,432,51,172,1391,11,74,1010039024,2326,3318,564,16,2738,100,92,116,52,9,250,2,9,1590114769,0,1066,1004,1271,581
70,No,No,6913fa31fa898f45ecc3b00e2397b8ebc75c8df4,No,No,File,svm.c,xen/arch/x86/hvm/svm/svm.c,4,23,2,430,2080,232,6,4,6,2,29,4,23,2,0,83,540,7,31,2724,430,2030,336,1443,232,0,50,646,8,89,94507,1038,1542,311,4,1227,86,42,89,54,3,89,1,3,2243712768,0,467,312,502,230
70,No,No,6913fa31fa898f45ecc3b00e2397b8ebc75c8df4,No,No,File,vmx.c,xen/arch/x86/hvm/vmx/vmx.c,4,25,3,454,2505,324,6,4,6,2,31,4,25,3,0,93,513,6,25,3242,454,2444,397,1694,324,0,61,686,7,100,175952,1195,1758,308,2,1448,119,54,131,63,5,111,1,5,2277139375,0,523,368,591,266
70,No,No,6913fa31fa898f45ecc3b00e2397b8ebc75c8df4,No,No,File,xc_dom.h,tools/libxc/include/xc_dom.h,1,10,0,66,255,85,2,2,3,1,11,1,10,0,0,5,27,5,8,403,66,239,201,26,85,1,15,11,2,3,10,177,187,167,0,20,3,3,4,3,1,3,1,1,7068,0,11,11,13,9
70,No,No,6913fa31fa898f45ecc3b00e2397b8ebc75c8df4,No,No,File,xc_dom_bzimageloader.c,tools/libxc/xc_dom_bzimageloader.c,1,18,0,128,607,82,3,3,3,3,20,1,18,0,0,9,33,4,10,807,35,206,58,98,45,507,26,30,3,15,28,91,119,48,0,71,19,19,19,19,2,3,0,2,1665897,0,28,28,28,27
70,No,No,6913fa31fa898f45ecc3b00e2397b8ebc75c8df4,No,No,File,xc_dom_core.c,tools/libxc/xc_dom_core.c,2,20,1,144,863,74,4,4,4,2,23,2,20,1,0,42,311,7,38,1076,143,842,107,574,74,8,14,267,6,20,29851,411,561,92,0,469,20,20,21,16,3,42,1,3,13293864,0,152,149,161,114
70,No,No,6913fa31fa898f45ecc3b00e2397b8ebc75c8df4,No,No,File,xc_dom_decompress_lz4.c,tools/libxc/xc_dom_decompress_lz4.c,4,30,0,26,115,1,5,5,5,5,33,4,30,0,0,3,8,3,5,141,23,93,13,61,0,10,17,13,4,10,1042,55,69,11,3,55,13,13,13,13,3,3,1,3,147508,0,15,15,15,15
70,No,No,6913fa31fa898f45ecc3b00e2397b8ebc75c8df4,No,No,File,xc_domain.c,tools/libxc/xc_domain.c,3,19,0,394,1787,64,4,4,4,1,23,3,19,0,0,89,615,7,25,2244,391,1725,747,961,61,54,17,789,9,29,242,1622,1804,473,0,1331,25,25,30,13,3,67,1,3,38395129,0,368,364,391,121
70,No,No,6913fa31fa898f45ecc3b00e2397b8ebc75c8df4,No,No,File,xenctrl.h,tools/libxc/include/xenctrl.h,0,5,0,312,1120,1312,1,1,1,1,5,0,5,0,0,1,3,3,3,2717,311,986,975,1,1312,18,131,2,2,2,1,454,455,454,0,1,1,1,1,1,0,0,0,0,36,1,1,1,1,1
70,No,No,6913fa31fa898f45ecc3b00e2397b8ebc75c8df4,No,No,File,xgene-storm.c,xen/arch/arm/platforms/xgene-storm.c,4,19,2,40,161,48,4,3,4,2,24,4,19,2,0,7,23,3,6,243,40,152,28,91,48,0,9,30,4,7,68,67,95,20,0,75,10,6,10,6,2,6,1,2,36867,0,26,22,26,18
70,No,No,6913fa31fa898f45ecc3b00e2397b8ebc75c8df4,No,No,File,xl_cmdimpl.c,tools/libxl/xl_cmdimpl.c,5,35,1,1142,6509,400,8,7,8,3,41,5,35,1,0,182,1291,7,126,8003,1142,6395,1076,4651,400,0,114,1521,8,151,2007005406,3692,5108,922,23,4163,222,202,239,38,6,331,2,6,290606216816,0,1382,1319,1514,604
