Topological Index,Affected Commit,Vulnerable Commit,Commit Hash,Vulnerable Code Unit,Patched Code Unit,Kind,Name,File,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclFunction,SumCountInput,AvgCountInput,MaxCountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,SumCountOutput,AvgCountOutput,MaxCountOutput,SumCountPath,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,SumMaxNesting,AvgMaxNesting,MaxMaxNesting,HenryKafura,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
92,No,No,91b0ae9db33f72468b1d411a07f53085c893c097,No,No,File,console.c,xen/drivers/char/console.c,2,17,1,202,860,146,4,4,4,1,20,2,17,1,0,39,155,4,9,1185,163,715,138,450,131,151,46,207,5,24,285,411,565,139,10,416,11,11,14,7,4,48,1,4,1635059,0,146,140,160,68
92,No,No,91b0ae9db33f72468b1d411a07f53085c893c097,No,No,File,cpupool.c,xen/common/cpupool.c,3,23,0,100,557,89,5,4,5,2,26,3,23,0,0,23,131,6,15,743,100,547,76,356,89,0,10,158,7,23,357,309,408,72,0,336,23,17,24,17,3,32,1,3,13040083,0,105,97,116,66
92,No,No,91b0ae9db33f72468b1d411a07f53085c893c097,No,No,File,lib.h,xen/include/xen/lib.h,0,0,0,24,99,9,0,0,0,0,0,0,0,0,0,0,0,0,0,131,23,40,31,0,4,16,56,0,0,0,0,27,27,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,No,No,91b0ae9db33f72468b1d411a07f53085c893c097,No,No,File,shutdown.c,xen/arch/x86/shutdown.c,2,18,3,30,519,87,5,4,5,2,22,2,18,3,0,9,18,2,5,595,30,497,355,105,87,0,22,50,6,24,186,91,133,22,11,100,16,11,17,8,3,14,2,3,782242,0,45,33,48,20
92,No,No,91b0ae9db33f72468b1d411a07f53085c893c097,No,No,File,x86_emulate.c,xen/arch/x86/x86_emulate/x86_emulate.c,12,139,25,368,3936,774,135,115,140,75,159,12,136,25,0,24,212,9,61,4630,365,3447,624,2809,771,94,417,155,6,87,1000003402,4996,6950,570,182,6198,3081,2620,3172,1706,8,32,1,8,66726424073,0,3236,2750,3349,1805
92,No,No,91b0ae9db33f72468b1d411a07f53085c893c097,No,No,File,xl_cmdimpl.c,tools/libxl/xl_cmdimpl.c,5,35,1,1156,6534,410,8,7,8,3,41,5,35,1,0,184,1302,7,121,8052,1156,6419,1085,4658,410,0,115,1531,8,143,2007005357,3687,5107,927,23,4157,208,188,225,38,6,337,2,6,225768906066,0,1387,1322,1520,614
