Kind,Name,File,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFile,CountDeclFileCode,CountDeclFileHeader,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethod,CountDeclMethodAll,CountDeclMethodConst,CountDeclMethodFriend,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,SumCountInput,AvgCountInput,MaxCountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountOutput,SumCountOutput,AvgCountOutput,MaxCountOutput,CountPath,SumCountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,SumMaxNesting,AvgMaxNesting,MaxMaxNesting,HenryKafura,MinEssentialKnots,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
Function,"partition_url(Arena *,const TCHAR *,Url_Parts *)",Source\memory_and_file_io.cpp,,,,17,59,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,101,17,59,18,44,25,0,0,17,,,,83,,2,37,48,16,0,32,17,17,25,6,7,,,,,7,,4,,,,,7,,0,,,,
Function,"pointer_difference(void *,void *)",Source\memory_and_file_io.cpp,,,,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,4,0,4,1,1,0,0,0,1,,,,1,,0,1,1,0,0,1,1,1,1,1,0,,,,,0,,0,,,,,0,,0,,,,
Function,"push_string_to_arena(Arena *,const TCHAR *)",Source\memory_and_file_io.cpp,,,,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,5,0,5,2,2,0,0,0,4,,,,1,,0,2,2,1,0,1,1,1,1,1,0,,,,,0,,0,,,,,0,,0,,,,
Static Function,"query_file_handle_from_file_path(Arena *,const wchar_t *,HANDLE *)",Source\memory_and_file_io.cpp,,,,16,64,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,95,16,64,22,49,15,0,0,18,,,,30,,1,36,44,15,0,29,9,9,11,8,7,,,,,7,,3,,,,,7,,0,,,,
Function,"read_entire_file(Arena *,const TCHAR *,u64 *,bool,size_t)",Source\memory_and_file_io.cpp,,,,11,60,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,72,11,60,15,40,1,0,0,13,,,,9,,1,25,30,8,0,22,7,7,9,1,3,,,,,0,,5,,,,,0,,0,,,,
Function,"read_first_file_bytes(const TCHAR *,void *,u32,bool,u32 *)",Source\memory_and_file_io.cpp,,,,4,22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,26,4,22,11,16,0,0,0,6,,,,4,,1,8,11,3,0,8,4,4,8,1,1,,,,,0,,2,,,,,0,,0,,,,
Static Function,"read_index_file(Arena *,const TCHAR *,Index *,Location_Type)",Source\java_plugin.cpp,,,,42,226,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,,,,313,42,113,14,92,46,0,113,50,,,,999999999,,12,666,805,66,0,739,229,226,237,194,210,,,,,190,,8,,,,,182,,0,,,,
File,resources.h,Source\Resources\resources.h,0,0,0,7,30,1,0,0,0,0,0,0,0,0,,,,0,,,,,,0,,,,,,,,,,,,,,0,0,0,38,7,0,0,0,1,3,30,,0,0,0,,0,,0,0,0,0,0,,,,,,0,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0
Function,"retreat_bytes(void *,u32)",Source\memory_and_file_io.cpp,,,,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,4,0,4,1,1,0,0,0,1,,,,1,,0,1,1,0,0,1,1,1,1,1,0,,,,,0,,0,,,,,0,,0,,,,
Function,"retreat_bytes(void *,u64)",Source\memory_and_file_io.cpp,,,,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,4,0,4,1,1,0,0,0,1,,,,1,,0,1,1,0,0,1,1,1,1,1,0,,,,,0,,0,,,,,0,,0,,,,
