Vulnerable,Git Commit Hash,Kind,Name,File,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClassMethod,CountDeclClassVariable,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethod,CountDeclMethodAll,CountDeclMethodConst,CountDeclMethodFriend,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
Yes,c9d51e1ad009b9dd2a44c543c286ec4582a42ffe,Class,nsAutoInPrincipalDomainOriginSetter,caps/nsScriptSecurityManager.cpp,0,3,0,0,10,0,1,1,1,1,3,0,3,0,0,0,0,0,1,2,0,0,0,0,2,2,0,0,0,0,2,10,0,10,4,2,0,0,0,5,3,0,2,1,1,1,1,0,0,0,0,2,2,2,2
No,769625853b0d63c7c0c37666fa1426ec95bb8db9,Abstract Class,Action,updater/updater.cpp,0,1,0,6,14,7,1,1,1,1,1,0,1,0,0,0,4,0,0,6,2,1,0,1,6,6,0,6,0,0,6,27,6,14,10,4,7,0,0,9,9,0,0,1,1,1,1,0,0,83,0,2,2,2,2
No,769625853b0d63c7c0c37666fa1426ec95bb8db9,Class,ActionList,updater/updater.cpp,2,13,0,14,92,3,2,2,2,1,15,2,13,0,0,1,0,0,0,6,3,3,0,0,6,6,0,0,0,0,6,109,14,92,32,52,3,0,0,57,22,0,35,4,4,4,4,0,2,33,0,16,16,16,11
No,769625853b0d63c7c0c37666fa1426ec95bb8db9,Class,AddFile,updater/updater.cpp,1,11,0,9,67,4,2,2,2,1,13,1,9,0,1,1,2,0,0,5,2,2,0,0,5,11,0,0,0,0,5,80,8,57,19,24,4,8,3,31,8,0,23,5,5,5,4,1,2,19,0,11,11,12,8
No,769625853b0d63c7c0c37666fa1426ec95bb8db9,Class,AddIfFile,updater/updater.cpp,1,7,0,8,45,3,2,2,2,1,8,1,7,0,1,0,0,0,0,5,1,0,1,0,5,16,0,0,0,0,5,56,8,45,16,17,3,0,0,23,7,0,16,3,3,3,3,2,1,0,0,10,10,10,7
No,769625853b0d63c7c0c37666fa1426ec95bb8db9,Class,AddIfNotFile,updater/updater.cpp,1,7,0,8,45,3,2,2,2,1,8,1,7,0,1,0,0,0,0,5,1,0,1,0,5,16,0,0,0,0,5,56,8,45,16,17,3,0,0,23,7,0,16,3,3,3,3,2,1,0,0,10,10,10,7
No,769625853b0d63c7c0c37666fa1426ec95bb8db9,Class,AutoFile,updater/updater.cpp,0,3,0,5,25,0,1,1,1,1,3,0,3,0,0,0,0,0,0,5,1,1,0,0,5,5,0,0,0,0,5,30,5,25,8,9,0,0,0,14,6,0,8,2,2,2,1,0,1,0,0,7,7,7,5
No,769625853b0d63c7c0c37666fa1426ec95bb8db9,Struct,MARChannelStringTable,updater/updater.cpp,0,4,0,1,7,0,1,1,1,1,4,0,4,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,1,8,1,7,3,1,0,0,0,3,2,0,1,1,1,1,1,0,0,0,0,1,1,1,1
No,769625853b0d63c7c0c37666fa1426ec95bb8db9,Class,PatchFile,updater/updater.cpp,5,26,3,41,204,24,3,3,3,3,35,4,18,1,1,4,1,0,1,7,6,6,0,0,7,13,0,0,1,0,6,268,37,146,41,91,12,61,13,102,29,0,73,8,8,8,8,1,2,61,0,26,26,26,23
No,769625853b0d63c7c0c37666fa1426ec95bb8db9,Class,PatchIfFile,updater/updater.cpp,1,7,0,8,45,4,2,2,2,1,8,1,7,0,1,0,0,0,0,5,1,1,0,0,5,18,0,0,0,0,5,56,8,45,16,17,4,0,0,23,7,0,16,3,3,3,3,2,1,0,0,10,10,10,7
