Topological Index,Affected Commit,Vulnerable Commit,Commit Hash,CVEs,Vulnerable Code Unit,Patched Code Unit,Code Unit Lines,Visibility,Complement,Kind,Name,File,AltCountLineBlank,AltCountLineCode,AltCountLineComment,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountOutput,CountPath,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxEssentialKnots,MaxNesting,MinEssentialKnots,RatioCommentToCode
84,Yes,No,97c4e77538f24786dc7521cdffb2b4d6e3dad7ed,"[""CVE-2015-0268""]",No,No,"[35, 233]",default,Static,Static Function,"vgic_v2_distr_mmio_read(struct vcpu *,mmio_info_t *)",xen/arch/arm/vgic-v2.c,25,162,12,22,199,25,162,7,153,12,0,0,13,69,119,177,6,0,171,58,32,64,51,1097,1097,2,1097,0
84,Yes,No,97c4e77538f24786dc7521cdffb2b4d6e3dad7ed,"[""CVE-2015-0268""]",No,No,"[269, 512]",default,Static,Static Function,"vgic_v2_distr_mmio_write(struct vcpu *,mmio_info_t *)",xen/arch/arm/vgic-v2.c,28,195,24,17,244,28,195,13,174,24,0,0,26,244,119,178,12,0,166,63,34,73,48,1071,1068,3,1068,0
84,Yes,No,97c4e77538f24786dc7521cdffb2b4d6e3dad7ed,"[""CVE-2015-0268""]",No,No,"[565, 579]",default,Static,Static Function,vgic_v2_domain_init(struct domain *),xen/arch/arm/vgic-v2.c,3,10,2,8,15,3,10,2,6,2,0,0,4,2,6,7,1,0,6,2,2,2,1,0,0,1,0,0
84,Yes,No,97c4e77538f24786dc7521cdffb2b4d6e3dad7ed,"[""CVE-2015-0268""]",No,No,"[538, 548]",default,Static,Static Function,"vgic_v2_get_irq_priority(struct vcpu *,unsigned int)",xen/arch/arm/vgic-v2.c,2,9,0,4,11,2,9,3,5,0,0,0,6,1,5,5,2,0,3,1,1,1,1,0,0,0,0,0
84,Yes,No,97c4e77538f24786dc7521cdffb2b4d6e3dad7ed,"[""CVE-2015-0268""]",No,No,"[519, 536]",default,Static,Static Function,"vgic_v2_get_target_vcpu(struct vcpu *,unsigned int)",xen/arch/arm/vgic-v2.c,2,13,3,8,18,2,13,4,8,3,0,0,7,1,9,9,3,0,6,1,1,2,1,0,0,0,0,0
84,Yes,No,97c4e77538f24786dc7521cdffb2b4d6e3dad7ed,"[""CVE-2015-0268""]",No,No,"[588, 593]",default,none,Function,vgic_v2_init(struct domain *),xen/arch/arm/vgic-v2.c,1,5,0,2,6,1,5,1,2,0,0,0,2,1,2,2,0,0,2,1,1,1,1,0,0,0,0,0
84,Yes,No,97c4e77538f24786dc7521cdffb2b4d6e3dad7ed,"[""CVE-2015-0268""]",No,Yes,"[235, 267]",default,Static,Static Function,"vgic_v2_to_sgi(struct vcpu *,register_t)",xen/arch/arm/vgic-v2.c,4,28,1,3,33,4,28,5,20,1,0,0,3,4,16,20,4,0,16,4,2,4,4,9,9,1,9,0
84,Yes,No,97c4e77538f24786dc7521cdffb2b4d6e3dad7ed,"[""CVE-2015-0268""]",No,No,"[550, 563]",default,Static,Static Function,vgic_v2_vcpu_init(struct vcpu *),xen/arch/arm/vgic-v2.c,2,11,1,4,14,2,11,2,7,1,0,0,5,2,5,6,1,0,5,2,2,2,1,0,0,1,0,0
