Topological Index,Affected Commit,Vulnerable Commit,Commit Hash,CVEs,Vulnerable Code Unit,Patched Code Unit,Code Unit Lines,Visibility,Complement,Kind,Name,File,AltCountLineBlank,AltCountLineCode,AltCountLineComment,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountOutput,CountPath,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxEssentialKnots,MaxNesting,MinEssentialKnots,RatioCommentToCode
234,Yes,No,fb08f7d009a64b96efa4462c9d19ed6881936859,"[""CVE-2016-9384"", ""CVE-2015-8554""]",No,No,"[468, 484]",default,Static,Static Function,"ELF_ADVANCE_DEST(struct elf_binary *,uint64_t)",xen/include/xen/libelf.h,0,17,0,4,17,0,17,1,8,0,0,0,3,3,5,7,0,0,7,3,3,3,1,2,0,1,0,0
234,Yes,No,fb08f7d009a64b96efa4462c9d19ed6881936859,"[""CVE-2016-9384"", ""CVE-2015-8554""]",No,Unknown,,default,none,Function,ELF_HANDLE_DECL(),xen/common/libelf/libelf-tools.c,1,17,1,3,19,1,17,5,10,1,0,0,8,5,11,14,3,0,11,4,4,5,4,6,6,2,6,0
234,Yes,No,fb08f7d009a64b96efa4462c9d19ed6881936859,"[""CVE-2016-9384"", ""CVE-2015-8554""]",No,Unknown,,default,none,Function,ELF_HANDLE_DECL(),xen/common/libelf/libelf-tools.c,2,11,0,2,13,2,11,4,7,0,0,0,6,2,5,6,2,0,4,2,2,2,1,1,0,1,0,0
234,Yes,No,fb08f7d009a64b96efa4462c9d19ed6881936859,"[""CVE-2016-9384"", ""CVE-2015-8554""]",No,Unknown,,default,none,Function,ELF_HANDLE_DECL(),xen/common/libelf/libelf-tools.c,2,11,0,2,13,2,11,4,7,0,0,0,5,2,5,6,2,0,4,2,2,2,1,1,0,1,0,0
234,Yes,No,fb08f7d009a64b96efa4462c9d19ed6881936859,"[""CVE-2016-9384"", ""CVE-2015-8554""]",No,Unknown,,default,none,Function,ELF_HANDLE_DECL(),xen/common/libelf/libelf-tools.c,1,23,1,3,24,1,23,6,16,1,0,0,11,7,16,20,4,1,15,5,5,5,5,6,6,2,6,0
234,Yes,No,fb08f7d009a64b96efa4462c9d19ed6881936859,"[""CVE-2016-9384"", ""CVE-2015-8554""]",No,Unknown,,default,none,Function,ELF_HANDLE_DECL(),xen/common/libelf/libelf-tools.c,1,7,0,2,8,1,7,3,4,0,0,0,5,1,4,4,1,0,3,1,1,1,1,0,0,0,0,0
234,Yes,No,fb08f7d009a64b96efa4462c9d19ed6881936859,"[""CVE-2016-9384"", ""CVE-2015-8554""]",No,Unknown,,default,none,Function,ELF_HANDLE_DECL(),xen/common/libelf/libelf-tools.c,3,11,2,1,14,3,11,6,8,2,0,0,6,2,5,6,3,0,3,2,2,3,1,0,0,1,0,0
234,Yes,No,fb08f7d009a64b96efa4462c9d19ed6881936859,"[""CVE-2016-9384"", ""CVE-2015-8554""]",No,Yes,"[55, 66]",default,none,Function,"elf_access_ok(struct elf_binary *,uint64_t,size_t)",xen/common/libelf/libelf-tools.c,0,12,0,19,12,0,12,2,8,0,0,0,3,4,5,8,0,0,8,4,4,4,4,3,3,1,3,0
234,Yes,No,fb08f7d009a64b96efa4462c9d19ed6881936859,"[""CVE-2016-9384"", ""CVE-2015-8554""]",No,No,"[89, 119]",default,none,Function,"elf_access_unsigned(struct elf_binary *,elf_ptrval,uint64_t,size_t)",xen/common/libelf/libelf-tools.c,2,29,0,7,31,2,29,8,19,0,0,0,6,6,16,22,6,0,16,9,6,9,6,11,11,1,11,0
234,Yes,No,fb08f7d009a64b96efa4462c9d19ed6881936859,"[""CVE-2016-9384"", ""CVE-2015-8554""]",No,No,"[104, 116]",default,none,Function,"elf_call_log_callback(struct elf_binary *,bool,const char *,...)",xen/common/libelf/libelf-loader.c,2,11,0,10,13,2,11,3,7,0,0,0,3,3,6,8,1,0,7,3,3,4,3,2,2,1,2,0
234,Yes,No,fb08f7d009a64b96efa4462c9d19ed6881936859,"[""CVE-2016-9384"", ""CVE-2015-8554""]",No,No,"[28, 31]",default,none,Function,elf_check_broken(const struct elf_binary *),xen/common/libelf/libelf-tools.c,0,4,0,2,4,0,4,1,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0
234,Yes,No,fb08f7d009a64b96efa4462c9d19ed6881936859,"[""CVE-2016-9384"", ""CVE-2015-8554""]",No,No,"[489, 492]",default,none,Function,"elf_get_ptr(struct elf_binary *,unsigned long)",xen/common/libelf/libelf-loader.c,0,4,0,6,4,0,4,1,1,0,0,0,2,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0
234,Yes,No,fb08f7d009a64b96efa4462c9d19ed6881936859,"[""CVE-2016-9384"", ""CVE-2015-8554""]",No,Yes,"[29, 101]",default,none,Function,"elf_init(struct elf_binary *,const char *,size_t)",xen/common/libelf/libelf-loader.c,9,58,6,6,73,9,58,2,42,6,0,0,25,37,37,46,1,3,42,10,10,11,9,10,10,2,10,0
234,Yes,No,fb08f7d009a64b96efa4462c9d19ed6881936859,"[""CVE-2016-9384"", ""CVE-2015-8554""]",No,Unknown,,default,none,Function,"elf_is_elfbinary(const void *,size_t)",xen/common/libelf/libelf-tools.c,2,7,0,3,9,2,7,2,4,0,0,0,2,2,3,4,1,0,3,2,2,2,1,1,0,1,0,0
234,Yes,No,fb08f7d009a64b96efa4462c9d19ed6881936859,"[""CVE-2016-9384"", ""CVE-2015-8554""]",No,No,"[438, 487]",default,none,Function,elf_load_binary(struct elf_binary *),xen/common/libelf/libelf-loader.c,4,35,11,3,50,4,35,4,24,11,0,0,13,17,23,28,3,1,24,6,6,6,6,11,11,2,11,0
234,Yes,No,fb08f7d009a64b96efa4462c9d19ed6881936859,"[""CVE-2016-9384"", ""CVE-2015-8554""]",No,Yes,"[204, 405]",default,Static,Static Function,elf_load_bsdsyms(struct elf_binary *),xen/common/libelf/libelf-loader.c,25,101,76,15,202,25,89,14,61,76,0,12,18,801,64,77,11,0,66,22,22,22,6,13,5,2,5,0
234,Yes,No,fb08f7d009a64b96efa4462c9d19ed6881936859,"[""CVE-2016-9384"", ""CVE-2015-8554""]",No,No,"[126, 133]",default,Static,Static Function,"elf_load_image(struct elf_binary *,elf_ptrval,elf_ptrval,uint64_t,uint64_t)",xen/common/libelf/libelf-loader.c,0,8,0,7,8,0,8,3,3,0,0,0,3,1,3,3,0,0,3,1,1,1,1,0,0,0,0,0
234,Yes,No,fb08f7d009a64b96efa4462c9d19ed6881936859,"[""CVE-2016-9384"", ""CVE-2015-8554""]",No,No,"[494, 510]",default,none,Function,"elf_lookup_addr(struct elf_binary *,const char *)",xen/common/libelf/libelf-loader.c,2,15,0,2,17,2,15,2,8,0,0,0,6,2,10,11,1,2,8,2,2,2,1,1,0,1,0,0
