Topological Index,Affected Commit,Vulnerable Commit,Commit Hash,CVEs,Vulnerable Code Unit,Patched Code Unit,Code Unit Lines,Visibility,Complement,Kind,Name,File,AltCountLineBlank,AltCountLineCode,AltCountLineComment,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountOutput,CountPath,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxEssentialKnots,MaxNesting,MinEssentialKnots,RatioCommentToCode
17,Yes,Yes,60f737636c2be52fe1af2f1a3a2f66acacdc6a30,"[""CVE-2014-2915""]",No,No,"[1077, 1095]",default,Static,Static Function,do_trap_psci(struct cpu_user_regs *),xen/arch/arm/traps.c,3,16,0,7,19,3,16,2,9,0,0,0,4,3,7,9,1,0,8,3,3,3,3,2,2,1,2,0
17,Yes,Yes,60f737636c2be52fe1af2f1a3a2f66acacdc6a30,"[""CVE-2014-2915""]",No,No,"[977, 982]",default,none,Function,"do_unexpected_trap(const char *,struct cpu_user_regs *)",xen/arch/arm/traps.c,0,6,0,3,6,0,6,1,3,0,0,0,3,2,3,4,0,1,3,2,2,2,1,0,0,1,0,0
17,Yes,Yes,60f737636c2be52fe1af2f1a3a2f66acacdc6a30,"[""CVE-2014-2915""]",No,No,"[1446, 1500]",default,none,Function,"dump_guest_s1_walk(struct domain *,vaddr_t)",xen/arch/arm/traps.c,7,48,0,3,55,7,48,6,34,0,0,0,6,34,27,34,5,0,29,8,8,9,6,5,5,1,5,0
17,Yes,Yes,60f737636c2be52fe1af2f1a3a2f66acacdc6a30,"[""CVE-2014-2915""]",No,No,"[275, 283]",default,Static,Static Function,exception_handler(vaddr_t),xen/arch/arm/traps.c,1,8,1,3,9,1,8,2,5,1,0,0,3,2,3,4,1,0,3,2,2,2,1,1,0,1,0,0
17,Yes,Yes,60f737636c2be52fe1af2f1a3a2f66acacdc6a30,"[""CVE-2014-2915""]",No,No,"[229, 239]",default,Static,Static Function,fsc_level_str(int),xen/arch/arm/traps.c,0,11,0,2,11,0,11,1,6,0,0,0,1,5,5,10,0,0,10,5,2,5,1,10,0,1,0,0
17,Yes,Yes,60f737636c2be52fe1af2f1a3a2f66acacdc6a30,"[""CVE-2014-2915""]",Yes,No,"[72, 81]",default,none,Function,init_traps(),xen/arch/arm/traps.c,1,7,2,0,10,1,7,1,4,2,0,0,3,1,3,3,0,0,3,1,1,1,1,0,0,0,0,0
17,Yes,Yes,60f737636c2be52fe1af2f1a3a2f66acacdc6a30,"[""CVE-2014-2915""]",No,No,"[315, 371]",default,Static,Static Function,"inject_abt32_exception(struct cpu_user_regs *,int,register_t)",xen/arch/arm/traps.c,7,42,8,8,57,7,32,9,22,7,5,6,10,4,19,21,6,0,15,5,5,5,1,2,0,1,0,0
17,Yes,Yes,60f737636c2be52fe1af2f1a3a2f66acacdc6a30,"[""CVE-2014-2915""]",No,No,"[373, 377]",default,Static,Static Function,"inject_dabt32_exception(struct cpu_user_regs *,register_t)",xen/arch/arm/traps.c,0,5,0,3,5,0,5,2,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0
17,Yes,Yes,60f737636c2be52fe1af2f1a3a2f66acacdc6a30,"[""CVE-2014-2915""]",No,No,"[473, 483]",default,Static,Static Function,"inject_dabt_exception(struct cpu_user_regs *,register_t,int)",xen/arch/arm/traps.c,0,11,0,4,11,0,7,3,2,0,2,2,2,2,1,2,0,0,2,2,2,2,1,0,0,1,0,0
17,Yes,Yes,60f737636c2be52fe1af2f1a3a2f66acacdc6a30,"[""CVE-2014-2915""]",No,No,"[461, 471]",default,Static,Static Function,"inject_iabt_exception(struct cpu_user_regs *,register_t,int)",xen/arch/arm/traps.c,0,11,0,4,11,0,7,3,2,0,2,2,2,2,1,2,0,0,2,2,2,2,1,0,0,1,0,0
