Topological Index,Affected Commit,Vulnerable Commit,Commit Hash,CVEs,Vulnerable Code Unit,Patched Code Unit,Code Unit Lines,Visibility,Complement,Kind,Name,File,AltCountLineBlank,AltCountLineCode,AltCountLineComment,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountOutput,CountPath,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxEssentialKnots,MaxNesting,MinEssentialKnots,RatioCommentToCode
10,Yes,No,2efcb0193bf3916c8ce34882e845f5ceb1e511f7,"[""CVE-2014-1896""]",No,No,"[58, 61]",default,Static,Static Function,_rd_cons(struct libxenvchan *),tools/libvchan/io.c,0,4,0,6,4,0,4,1,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0
10,Yes,No,2efcb0193bf3916c8ce34882e845f5ceb1e511f7,"[""CVE-2014-1896""]",No,No,"[64, 67]",default,Static,Static Function,_wr_prod(struct libxenvchan *),tools/libvchan/io.c,0,4,0,6,4,0,4,1,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0
10,Yes,No,2efcb0193bf3916c8ce34882e845f5ceb1e511f7,"[""CVE-2014-1896""]",No,No,"[286, 304]",default,Static,Static Function,"do_recv(struct libxenvchan *,void *,size_t)",tools/libvchan/io.c,0,18,3,5,19,0,18,3,13,3,0,0,8,8,10,13,2,0,11,4,4,4,1,1,0,1,0,0
10,Yes,No,2efcb0193bf3916c8ce34882e845f5ceb1e511f7,"[""CVE-2014-1896""]",No,No,"[210, 228]",default,Static,Static Function,"do_send(struct libxenvchan *,const void *,size_t)",tools/libvchan/io.c,0,18,3,5,19,0,18,3,13,3,0,0,8,8,10,13,2,0,11,4,4,4,1,1,0,1,0,0
10,Yes,No,2efcb0193bf3916c8ce34882e845f5ceb1e511f7,"[""CVE-2014-1896""]",No,Yes,"[172, 185]",default,Static,Static Function,"fast_get_buffer_space(struct libxenvchan *,size_t)",tools/libvchan/io.c,0,8,6,4,14,0,8,2,5,6,0,0,3,2,4,5,1,0,4,2,2,2,1,1,0,1,0,0
10,Yes,No,2efcb0193bf3916c8ce34882e845f5ceb1e511f7,"[""CVE-2014-1896""]",No,Yes,"[131, 144]",default,Static,Static Function,"fast_get_data_ready(struct libxenvchan *,size_t)",tools/libvchan/io.c,0,8,6,4,14,0,8,2,5,6,0,0,3,2,4,5,1,0,4,2,2,2,1,1,0,1,0,0
10,Yes,No,2efcb0193bf3916c8ce34882e845f5ceb1e511f7,"[""CVE-2014-1896""]",No,Yes,"[187, 194]",default,none,Function,libxenvchan_buffer_space(struct libxenvchan *),tools/libvchan/io.c,0,5,3,1,8,0,5,1,2,3,0,0,3,1,2,2,0,0,2,1,1,1,1,0,0,0,0,0
10,Yes,No,2efcb0193bf3916c8ce34882e845f5ceb1e511f7,"[""CVE-2014-1896""]",No,No,"[357, 387]",default,none,Function,libxenvchan_close(struct libxenvchan *),tools/libvchan/io.c,0,31,0,11,31,0,31,1,24,0,0,0,12,145,12,22,0,0,22,11,11,11,1,3,0,2,0,0
10,Yes,No,2efcb0193bf3916c8ce34882e845f5ceb1e511f7,"[""CVE-2014-1896""]",No,Yes,"[146, 153]",default,none,Function,libxenvchan_data_ready(struct libxenvchan *),tools/libvchan/io.c,0,5,3,1,8,0,5,1,2,3,0,0,3,1,2,2,0,0,2,1,1,1,1,0,0,0,0,0
10,Yes,No,2efcb0193bf3916c8ce34882e845f5ceb1e511f7,"[""CVE-2014-1896""]",No,No,"[352, 355]",default,none,Function,libxenvchan_fd_for_select(struct libxenvchan *),tools/libvchan/io.c,0,4,0,2,4,0,4,1,1,0,0,0,2,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0
10,Yes,No,2efcb0193bf3916c8ce34882e845f5ceb1e511f7,"[""CVE-2014-1896""]",No,No,"[344, 350]",default,none,Function,libxenvchan_is_open(struct libxenvchan *),tools/libvchan/io.c,0,7,0,10,7,0,7,1,4,0,0,0,1,2,2,3,0,0,3,3,3,3,1,1,0,1,0,0
10,Yes,No,2efcb0193bf3916c8ce34882e845f5ceb1e511f7,"[""CVE-2014-1896""]",No,No,"[327, 342]",default,none,Function,"libxenvchan_read(struct libxenvchan *,void *,size_t)",tools/libvchan/io.c,0,16,0,4,16,0,16,2,12,0,0,0,5,11,6,12,1,0,11,7,7,8,6,8,8,2,8,0
10,Yes,No,2efcb0193bf3916c8ce34882e845f5ceb1e511f7,"[""CVE-2014-1896""]",No,No,"[310, 325]",default,none,Function,"libxenvchan_recv(struct libxenvchan *,void *,size_t)",tools/libvchan/io.c,0,16,0,4,16,0,16,2,12,0,0,0,6,7,6,12,1,0,11,7,7,7,7,10,10,2,10,0
10,Yes,No,2efcb0193bf3916c8ce34882e845f5ceb1e511f7,"[""CVE-2014-1896""]",No,No,"[233, 249]",default,none,Function,"libxenvchan_send(struct libxenvchan *,const void *,size_t)",tools/libvchan/io.c,0,17,0,4,17,0,17,2,12,0,0,0,6,7,7,13,1,0,12,7,7,7,7,10,10,2,10,0
10,Yes,No,2efcb0193bf3916c8ce34882e845f5ceb1e511f7,"[""CVE-2014-1896""]",No,No,"[196, 203]",default,none,Function,libxenvchan_wait(struct libxenvchan *),tools/libvchan/io.c,0,8,0,6,8,0,8,2,5,0,0,0,3,2,4,5,1,0,4,2,2,2,1,1,0,1,0,0
10,Yes,No,2efcb0193bf3916c8ce34882e845f5ceb1e511f7,"[""CVE-2014-1896""]",No,No,"[251, 279]",default,none,Function,"libxenvchan_write(struct libxenvchan *,const void *,size_t)",tools/libvchan/io.c,0,29,0,4,29,0,29,3,23,0,0,0,5,22,13,23,2,0,21,11,11,11,8,17,16,3,15,0
10,Yes,No,2efcb0193bf3916c8ce34882e845f5ceb1e511f7,"[""CVE-2014-1896""]",No,Unknown,"[159, 167]",default,Static,Static Function,raw_get_buffer_space(struct libxenvchan *),tools/libvchan/io.c,0,7,2,3,9,0,7,2,4,2,0,0,4,2,3,4,1,0,3,2,2,2,1,1,0,1,0,0
10,Yes,No,2efcb0193bf3916c8ce34882e845f5ceb1e511f7,"[""CVE-2014-1896""]",No,Unknown,"[118, 126]",default,Static,Static Function,raw_get_data_ready(struct libxenvchan *),tools/libvchan/io.c,0,7,2,3,9,0,7,2,4,2,0,0,4,2,3,4,1,0,3,2,2,2,1,1,0,1,0,0
10,Yes,No,2efcb0193bf3916c8ce34882e845f5ceb1e511f7,"[""CVE-2014-1896""]",No,No,"[53, 56]",default,Static,Static Function,rd_prod(struct libxenvchan *),tools/libvchan/io.c,0,4,0,5,4,0,4,1,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0
10,Yes,No,2efcb0193bf3916c8ce34882e845f5ceb1e511f7,"[""CVE-2014-1896""]",No,No,"[75, 78]",default,Static,Static Function,rd_ring(struct libxenvchan *),tools/libvchan/io.c,0,4,0,4,4,0,4,1,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0
10,Yes,No,2efcb0193bf3916c8ce34882e845f5ceb1e511f7,"[""CVE-2014-1896""]",No,No,"[90, 93]",default,Static,Static Function,rd_ring_size(struct libxenvchan *),tools/libvchan/io.c,0,4,0,6,4,0,4,1,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0
10,Yes,No,2efcb0193bf3916c8ce34882e845f5ceb1e511f7,"[""CVE-2014-1896""]",No,No,"[95, 100]",default,Static,Static Function,"request_notify(struct libxenvchan *,uint8_t)",tools/libvchan/io.c,0,6,1,10,6,0,6,2,3,1,0,0,3,1,3,3,1,0,2,2,2,2,1,0,0,0,0,0
10,Yes,No,2efcb0193bf3916c8ce34882e845f5ceb1e511f7,"[""CVE-2014-1896""]",No,No,"[102, 112]",default,Static,Static Function,"send_notify(struct libxenvchan *,uint8_t)",tools/libvchan/io.c,0,11,1,10,11,0,11,2,7,1,0,0,4,2,6,7,1,0,6,3,3,3,1,1,0,1,0,0
10,Yes,No,2efcb0193bf3916c8ce34882e845f5ceb1e511f7,"[""CVE-2014-1896""]",No,No,"[70, 73]",default,Static,Static Function,wr_cons(struct libxenvchan *),tools/libvchan/io.c,0,4,0,5,4,0,4,1,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0
10,Yes,No,2efcb0193bf3916c8ce34882e845f5ceb1e511f7,"[""CVE-2014-1896""]",No,No,"[80, 83]",default,Static,Static Function,wr_ring(struct libxenvchan *),tools/libvchan/io.c,0,4,0,4,4,0,4,1,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0
10,Yes,No,2efcb0193bf3916c8ce34882e845f5ceb1e511f7,"[""CVE-2014-1896""]",No,No,"[85, 88]",default,Static,Static Function,wr_ring_size(struct libxenvchan *),tools/libvchan/io.c,0,4,0,6,4,0,4,1,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0
