Topological Index,Affected Commit,Vulnerable Commit,Commit Hash,Vulnerable Code Unit,Patched Code Unit,Visibility,Complement,Kind,Name,File,AltCountLineBlank,AltCountLineCode,AltCountLineComment,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountOutput,CountPath,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxEssentialKnots,MaxNesting,MinEssentialKnots,RatioCommentToCode
54,No,No,a4e0cea6fced50e251453dfe52e1b9dde77a84f5,No,No,default,Static,Static Function,"vmx_save_cpu_state(struct vcpu *,struct hvm_hw_cpu *)",xen/arch/x86/hvm/vmx/vmx.c,3,13,1,13,17,3,13,3,10,1,0,0,9,1,9,9,2,0,7,1,1,1,1,0,0,0,0,0
54,No,No,a4e0cea6fced50e251453dfe52e1b9dde77a84f5,No,No,default,Static,Static Function,vmx_save_dr(struct vcpu *),xen/arch/x86/hvm/vmx/vmx.c,2,14,2,6,18,2,14,1,11,2,0,0,9,2,10,11,0,0,11,2,2,2,1,1,0,1,0,0
54,No,No,a4e0cea6fced50e251453dfe52e1b9dde77a84f5,No,No,default,Static,Static Function,vmx_save_guest_msrs(struct vcpu *),xen/arch/x86/hvm/vmx/vmx.c,0,4,4,5,8,0,4,1,1,4,0,0,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,1
54,No,No,a4e0cea6fced50e251453dfe52e1b9dde77a84f5,No,No,default,none,Function,vmx_save_host_msrs(),xen/arch/x86/hvm/vmx/vmx.c,1,7,0,3,8,1,7,3,3,0,0,0,3,2,5,6,2,0,4,2,2,2,1,0,0,1,0,0
54,No,No,a4e0cea6fced50e251453dfe52e1b9dde77a84f5,No,No,default,Static,Static Function,"vmx_save_msr(struct vcpu *,struct hvm_msr *)",xen/arch/x86/hvm/vmx/vmx.c,2,11,0,5,13,2,11,1,6,0,0,0,6,3,4,6,0,0,6,3,3,3,1,0,0,2,0,0
54,No,No,a4e0cea6fced50e251453dfe52e1b9dde77a84f5,No,No,default,Static,Static Function,"vmx_save_vmcs_ctxt(struct vcpu *,struct hvm_hw_cpu *)",xen/arch/x86/hvm/vmx/vmx.c,0,5,0,2,5,0,5,1,2,0,0,0,2,1,2,2,0,0,2,1,1,1,1,0,0,0,0,0
54,No,No,a4e0cea6fced50e251453dfe52e1b9dde77a84f5,No,No,default,none,Function,"vmx_set_eoi_exit_bitmap(struct vcpu *,u8)",xen/arch/x86/hvm/vmx/vmcs.c,0,6,0,7,6,0,6,1,3,0,0,0,2,2,1,2,0,0,2,2,2,2,1,0,0,1,0,0
54,No,No,a4e0cea6fced50e251453dfe52e1b9dde77a84f5,No,No,default,Static,Static Function,"vmx_set_guest_pat(struct vcpu *,u64)",xen/arch/x86/hvm/vmx/vmx.c,1,10,0,7,11,1,10,1,7,0,0,0,6,2,5,6,0,0,6,2,2,3,1,1,0,1,0,0
54,No,No,a4e0cea6fced50e251453dfe52e1b9dde77a84f5,No,No,default,Static,Static Function,vmx_set_host_env(struct vcpu *),xen/arch/x86/hvm/vmx/vmcs.c,4,12,5,4,21,4,12,2,9,5,0,0,6,1,7,7,1,0,6,1,1,1,1,0,0,0,0,0
54,No,No,a4e0cea6fced50e251453dfe52e1b9dde77a84f5,No,No,default,Static,Static Function,vmx_set_info_guest(struct vcpu *),xen/arch/x86/hvm/vmx/vmx.c,4,15,8,7,27,4,15,2,9,8,0,0,4,2,7,8,1,0,7,2,2,4,1,0,0,1,0,0
54,No,No,a4e0cea6fced50e251453dfe52e1b9dde77a84f5,No,No,default,Static,Static Function,"vmx_set_interrupt_shadow(struct vcpu *,unsigned int)",xen/arch/x86/hvm/vmx/vmx.c,0,4,0,1,4,0,4,1,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0
54,No,No,a4e0cea6fced50e251453dfe52e1b9dde77a84f5,No,No,default,Static,Static Function,"vmx_set_rdtsc_exiting(struct vcpu *,bool_t)",xen/arch/x86/hvm/vmx/vmx.c,0,9,0,2,9,0,9,1,6,0,0,0,6,2,5,6,0,0,6,2,2,2,1,0,0,1,0,0
54,No,No,a4e0cea6fced50e251453dfe52e1b9dde77a84f5,No,No,default,Static,Static Function,"vmx_set_segment_register(struct vcpu *,enum x86_segment,struct segment_register *)",xen/arch/x86/hvm/vmx/vmx.c,9,107,9,20,125,9,107,6,89,9,0,0,8,110,70,86,2,0,84,16,7,20,1,58,0,3,0,0
54,No,No,a4e0cea6fced50e251453dfe52e1b9dde77a84f5,No,No,default,Static,Static Function,"vmx_set_tsc_offset(struct vcpu *,u64,u64)",xen/arch/x86/hvm/vmx/vmx.c,2,8,0,2,10,2,8,1,5,0,0,0,5,2,4,5,0,0,5,2,2,2,1,0,0,1,0,0
54,No,No,a4e0cea6fced50e251453dfe52e1b9dde77a84f5,No,No,default,Static,Static Function,vmx_sync_pir_to_irr(struct vcpu *),xen/arch/x86/hvm/vmx/vmx.c,3,12,0,6,15,3,12,3,8,0,0,0,7,3,8,10,2,0,8,3,3,3,1,1,0,1,0,0
54,No,No,a4e0cea6fced50e251453dfe52e1b9dde77a84f5,No,No,default,none,Function,vmx_update_cpu_exec_control(struct vcpu *),xen/arch/x86/hvm/vmx/vmx.c,0,7,0,10,7,0,7,1,4,0,0,0,3,2,2,3,0,0,3,2,2,2,1,1,0,1,0,0
