Vulnerable,Git Commit Hash,Kind,Name,File,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclFunction,SumCountInput,AvgCountInput,MaxCountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,SumCountOutput,AvgCountOutput,MaxCountOutput,SumCountPath,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,SumMaxNesting,AvgMaxNesting,MaxMaxNesting,HenryKafura,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
Yes,974516cc54e627efea424f963ebd644dc54b55ea,File,paging.c,mm\paging.c,3,19,2,118,522,110,5,5,5,2,24,3,19,2,0,26,244,5,13,750,118,497,71,331,110,0,25,430,8,30,21674,256,372,61,0,311,27,27,33,13,5,76,1,5,26552588,0,122,118,136,63
Yes,aa673e9fa00c1f1fa90dfd531c89078b7afef7d3,File,domain.c,common\domain.c,6,23,2,301,1058,99,5,4,5,3,31,5,22,1,0,42,1044,6,27,1454,290,965,126,679,86,62,57,1472,9,59,2378876,548,737,121,3,613,34,32,37,27,3,208,1,3,1309755629,0,194,181,213,132
Yes,1e71f2d7418dfdcf6356e4be8e9311ea607a1877,File,domain.h,asm-x86\domain.h,0,0,0,97,306,154,0,0,0,0,0,0,0,0,0,0,0,0,0,524,97,254,238,0,154,0,52,0,0,0,0,209,215,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,974516cc54e627efea424f963ebd644dc54b55ea,File,paging.h,asm-x86\paging.h,1,9,0,62,228,143,2,2,2,1,9,1,8,0,0,12,138,6,11,432,62,189,113,48,143,0,39,80,3,11,48,81,104,67,0,37,5,5,5,5,2,12,0,2,373256,0,23,23,25,18
No,9ab1bd9ab64799816c8223a5f210b7a767ab4ccc,File,p2m.c,arm\p2m.c,5,26,4,304,1354,284,5,4,5,2,34,5,25,4,0,51,690,7,33,1918,304,1312,304,886,282,8,36,654,6,33,1734278,613,854,177,2,675,39,34,50,32,4,80,1,4,384026696,0,238,194,273,134
Yes,ed2cddb66b40cacdefd2e7920bde578d8da67fa9,File,p2m.c,arm\p2m.c,5,26,4,304,1353,284,5,4,5,2,34,5,25,4,0,51,690,7,33,1917,304,1311,304,885,282,8,36,654,6,33,1734278,613,853,177,2,674,39,34,50,32,4,80,1,4,384026696,0,237,193,272,134
No,fb08f7d009a64b96efa4462c9d19ed6881936859,File,libelf-loader.c,common\libelf\libelf-loader.c,5,29,10,71,316,133,6,6,6,3,45,5,28,10,0,10,62,6,13,520,69,279,37,187,131,23,20,95,10,25,884,182,230,31,8,191,22,22,22,9,2,11,1,2,4805405,0,56,56,58,36
No,fb08f7d009a64b96efa4462c9d19ed6881936859,File,libelf-tools.c,common\libelf\libelf-tools.c,1,10,1,59,290,49,3,2,3,1,11,1,10,1,0,30,167,6,19,391,59,289,78,163,49,0,1,115,4,11,69,120,194,65,2,127,9,6,9,6,2,22,1,2,440789,0,75,66,83,51
No,fb08f7d009a64b96efa4462c9d19ed6881936859,File,libelf.h,include\xen\libelf.h,0,5,0,89,281,136,1,1,1,1,5,0,5,0,0,6,16,3,4,492,89,187,159,13,136,7,93,10,2,3,8,145,153,141,0,12,3,3,3,1,1,1,0,1,1264,0,8,8,8,6
Yes,b2405fed195ae7020fc876fc688b0ec85405146c,File,libelf-loader.c,libelf\libelf-loader.c,5,30,10,71,323,134,6,6,6,3,46,5,29,10,0,10,56,6,11,528,69,286,37,194,132,23,20,100,10,27,884,188,236,31,8,197,22,22,22,9,2,11,1,2,4803657,0,56,56,58,36
Yes,443701ef0c7ff30872e27419cf4356fb6bdb4059,File,libelf-tools.c,libelf\libelf-tools.c,1,10,1,58,284,49,3,2,3,1,11,1,10,1,0,29,100,3,15,384,58,283,77,160,49,0,1,110,4,11,67,117,189,64,2,123,9,6,9,6,2,21,1,2,112040,0,73,64,81,50
