Vulnerable,Git Commit Hash,Kind,Name,File,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFile,CountDeclFileCode,CountDeclFileHeader,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethod,CountDeclMethodAll,CountDeclMethodConst,CountDeclMethodFriend,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
No,0e442727ceccfa32a7276cccd205b4722e68fdc1,Static Function,"fpu_handle_exception(void *,struct cpu_user_regs *)",x86_emulate\x86_emulate.c,,,,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,6,0,6,2,3,0,0,0,2.0,1.0,0.0,3.0,3,1,0,2,1.0,1.0,1.0,1.0,0.0,,,,,0.0,,0,0.0,,0.0,,,,
No,0e442727ceccfa32a7276cccd205b4722e68fdc1,Struct,fpu_insn_ctxt,x86_emulate\x86_emulate.c,0.0,0.0,0.0,0,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,4,0,4,3,0,0,0,0,,,,,2,2,0,0,,,,,,0.0,0.0,0.0,0.0,,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0
No,0e442727ceccfa32a7276cccd205b4722e68fdc1,Static Function,"get_cpl(struct x86_emulate_ctxt *,const struct x86_emulate_ops *)",x86_emulate\x86_emulate.c,,,,3,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,16,3,13,5,6,0,0,0,2.0,3.0,0.0,4.0,6,1,0,5,3.0,3.0,4.0,3.0,2.0,,,,,2.0,,1,2.0,,0.0,,,,
No,0e442727ceccfa32a7276cccd205b4722e68fdc1,Static Function,"idiv_dbl(unsigned long [2],unsigned long)",x86_emulate\x86_emulate.c,,,,5,24,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,33,5,24,2,17,5,0,0,2.0,33.0,2.0,9.0,17,1,0,16,10.0,10.0,10.0,6.0,8.0,,,,,8.0,,2,8.0,,0.21,,,,
No,0e442727ceccfa32a7276cccd205b4722e68fdc1,Static Function,imul_dbl(unsigned long [2]),x86_emulate\x86_emulate.c,,,,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,8,0,8,2,1,0,0,0,1.0,1.0,0.0,3.0,3,1,1,1,1.0,1.0,1.0,1.0,0.0,,,,,0.0,,0,0.0,,0.0,,,,
No,0e442727ceccfa32a7276cccd205b4722e68fdc1,Static Function,"in_longmode(struct x86_emulate_ctxt *,const struct x86_emulate_ops *)",x86_emulate\x86_emulate.c,,,,2,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,13,2,11,5,4,0,0,0,2.0,2.0,0.0,4.0,5,1,0,4,2.0,2.0,2.0,1.0,1.0,,,,,0.0,,1,0.0,,0.0,,,,
No,0e442727ceccfa32a7276cccd205b4722e68fdc1,Static Function,"in_protmode(struct x86_emulate_ctxt *,const struct x86_emulate_ops *)",x86_emulate\x86_emulate.c,,,,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,7,0,7,4,1,0,0,0,2.0,1.0,0.0,1.0,1,0,0,1,1.0,1.0,2.0,1.0,0.0,,,,,0.0,,0,0.0,,0.0,,,,
No,0e442727ceccfa32a7276cccd205b4722e68fdc1,Static Function,"in_realmode(struct x86_emulate_ctxt *,const struct x86_emulate_ops *)",x86_emulate\x86_emulate.c,,,,2,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,14,2,12,6,4,0,0,0,2.0,2.0,0.0,5.0,6,2,0,4,2.0,2.0,3.0,1.0,1.0,,,,,0.0,,1,0.0,,0.0,,,,
No,0e442727ceccfa32a7276cccd205b4722e68fdc1,Static Function,"ioport_access_check(unsigned int,unsigned int,struct x86_emulate_ctxt *,const struct x86_emulate_ops *)",x86_emulate\x86_emulate.c,,,,8,35,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,45,8,35,9,24,2,0,0,5.0,62.0,2.0,24.0,34,4,0,30,18.0,18.0,21.0,14.0,36.0,,,,,36.0,,3,36.0,,0.06,,,,
No,0e442727ceccfa32a7276cccd205b4722e68fdc1,Static Function,"load_seg(enum x86_segment,uint16_t,struct x86_emulate_ctxt *,const struct x86_emulate_ops *)",x86_emulate\x86_emulate.c,,,,2,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,16,2,14,6,6,0,0,0,4.0,3.0,0.0,3.0,5,0,0,5,3.0,3.0,4.0,3.0,2.0,,,,,2.0,,1,2.0,,0.0,,,,
No,0e442727ceccfa32a7276cccd205b4722e68fdc1,Static Function,mul_dbl(unsigned long [2]),x86_emulate\x86_emulate.c,,,,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,8,0,8,2,1,0,0,0,1.0,1.0,0.0,3.0,3,1,1,1,1.0,1.0,1.0,1.0,0.0,,,,,0.0,,0,0.0,,0.0,,,,
No,0e442727ceccfa32a7276cccd205b4722e68fdc1,Struct,operand,x86_emulate\x86_emulate.c,0.0,0.0,0.0,3,19,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,0.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,26,3,19,15,0,4,0,0,,,,,13,13,0,0,,,,,,0.0,0.0,0.0,0.0,,0.0,0,,0.0,0.21,0.0,0.0,0.0,0.0
No,0e442727ceccfa32a7276cccd205b4722e68fdc1,Static Function,"protmode_load_seg(enum x86_segment,uint16_t,struct x86_emulate_ctxt *,const struct x86_emulate_ops *)",x86_emulate\x86_emulate.c,,,,13,103,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,132,13,103,11,82,17,0,0,14.0,1560.0,3.0,47.0,75,6,0,69,29.0,26.0,37.0,27.0,110.0,,,,,110.0,,2,110.0,,0.17,,,,
No,0e442727ceccfa32a7276cccd205b4722e68fdc1,Static Function,"read_ulong(enum x86_segment,unsigned long,unsigned long *,unsigned int,struct x86_emulate_ctxt *,const struct x86_emulate_ops *)",x86_emulate\x86_emulate.c,,,,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,11,0,11,7,2,0,0,0,3.0,1.0,0.0,2.0,2,0,0,2,1.0,1.0,1.0,1.0,0.0,,,,,0.0,,0,0.0,,0.0,,,,
