Topological Index,Affected Commit,Vulnerable Commit,Commit Hash,CVEs,Vulnerable Code Unit,Code Unit Lines,Kind,Name,File,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFile,CountDeclFileCode,CountDeclFileHeader,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethod,CountDeclMethodAll,CountDeclMethodConst,CountDeclMethodFriend,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountOutput,CountPath,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
90,No,No,bae7c7c764413b23e61cb099ce33be4c4ee259bb,,No,,Function,"__mmap(__ptr_t,size_t,int,int,int,off_t)",sysdeps/unix/sysv/linux/mips/mips64/n32/mmap.c,,,,0,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,9,0,7,4,3,2,0,0,3,2,20,21,12,1,8,2,2,2,1,0,,,,,0,,1,0,,0.29,,,,
90,No,No,bae7c7c764413b23e61cb099ce33be4c4ee259bb,,No,,File,bug18240.c,misc/bug18240.c,1,33,2,6,72,19,4,4,5,2,36,1,33,2,,,,0,,,,,,1,,,,,,,,,,,,,,97,6,63,9,37,19,0,9,,,34,44,8,0,36,,,,,,4,4,5,4,,,2,,,0.30,4,4,5,4
90,No,No,bae7c7c764413b23e61cb099ce33be4c4ee259bb,,No,,Static Function,do_test(),math/test-math-isinff.cc,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,0.00,,,,
90,No,No,bae7c7c764413b23e61cb099ce33be4c4ee259bb,,No,,Static Function,do_test(),misc/bug18240.c,,,,1,33,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,36,1,33,4,20,2,0,0,6,4,18,21,2,0,19,4,4,5,4,3,,,,,3,,2,3,,0.06,,,,
90,No,No,bae7c7c764413b23e61cb099ce33be4c4ee259bb,,No,,File,mathcalls.h,math/bits/mathcalls.h,0,0,0,81,173,136,0,0,0,0,0,0,0,0,,,,0,,,,,,0,,,,,,,,,,,,,,384,81,114,110,0,136,1,59,,,151,164,164,0,0,,,,,,0,0,0,0,,,0,,,1.19,0,0,0,0
90,No,No,bae7c7c764413b23e61cb099ce33be4c4ee259bb,,No,,File,mmap.c,sysdeps/unix/sysv/linux/mips/mips64/n32/mmap.c,0,7,2,3,13,19,2,2,2,1,9,0,7,2,,,,0,,,,,,1,,,,,,,,,,,,,,35,3,8,5,3,19,0,5,,,20,23,14,1,8,,,,,,2,2,2,1,,,1,,,2.38,2,2,2,1
90,No,No,bae7c7c764413b23e61cb099ce33be4c4ee259bb,,No,,File,mmap.c,sysdeps/unix/sysv/linux/mips/mips32/mmap.c,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,0,,,,,,0,,,,,,,,,,,,,,1,0,0,0,0,0,0,1,,,0,0,0,0,0,,,,,,0,0,0,0,,,0,,,0.00,0,0,0,0
90,No,No,bae7c7c764413b23e61cb099ce33be4c4ee259bb,,No,,File,test-math-isinff.cc,math/test-math-isinff.cc,0,0,0,3,24,21,0,0,0,0,0,0,0,0,,,,0,,,,,,0,,,,,,,,,,,,,,48,3,18,0,12,21,0,6,,,4,5,0,0,5,,,,,,0,0,0,0,,,0,,,1.17,0,0,0,0
90,No,No,bae7c7c764413b23e61cb099ce33be4c4ee259bb,,No,,Static Function,test_size(size_t),misc/bug18240.c,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,0.00,,,,
