Topological Index,Affected Commit,Vulnerable Commit,Commit Hash,CVEs,Vulnerable Code Unit,Code Unit Lines,Kind,Name,File,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFile,CountDeclFileCode,CountDeclFileHeader,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethod,CountDeclMethodAll,CountDeclMethodConst,CountDeclMethodFriend,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountOutput,CountPath,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
98,No,No,317b199b4aff8cfa27f2302ab404d2bb5032b9a4,,No,,Struct,La_s390_64_retval,sysdeps/s390/bits/link.h,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,,,0,2,0,0,2,0,0,0,0,0,0,0,,8,0,5,3,0,0,1,2,,,,2,2,0,0,,,,,,0,0,0,0,,0,0,,0,0.00,0,0,0,0
98,No,No,317b199b4aff8cfa27f2302ab404d2bb5032b9a4,,No,,Static Function,"_IO_helper_overflow(_IO_FILE *,int)",stdio-common/vfprintf.c,,,,0,31,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,31,0,16,5,10,0,12,3,5,3,7,9,3,0,6,3,3,4,3,2,,,,,2,,2,2,,0.00,,,,
98,No,No,317b199b4aff8cfa27f2302ab404d2bb5032b9a4,,No,,Function,__BEGIN_DECLS(),sysdeps/unix/sysv/linux/netiucv/iucv.h,,,,1,10,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,11,1,10,7,1,5,0,0,2,1,6,6,5,0,1,1,1,1,1,0,,,,,0,,0,0,,0.50,,,,
98,No,No,317b199b4aff8cfa27f2302ab404d2bb5032b9a4,,No,,Function,__BEGIN_NAMESPACE_STD(),stdlib/stdlib.h,,,,4,22,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,29,4,7,5,0,6,1,15,1,1,2,2,2,0,0,1,1,1,1,0,,,,,0,,0,0,,0.86,,,,
98,No,No,317b199b4aff8cfa27f2302ab404d2bb5032b9a4,,No,,Function,__END_DECLS(),sysdeps/s390/bits/link.h,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,0.00,,,,
98,No,No,317b199b4aff8cfa27f2302ab404d2bb5032b9a4,,,,Function,__END_DECLS(),,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,0.00,,,,
98,No,No,317b199b4aff8cfa27f2302ab404d2bb5032b9a4,,No,,Function,"___strfmon_l(char *,size_t,__locale_t,const char *,...)",stdlib/strfmon_l.c,,,,4,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,13,4,9,4,4,0,0,0,4,1,5,5,2,0,3,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
98,No,No,317b199b4aff8cfa27f2302ab404d2bb5032b9a4,,No,,Function,"__add_to_environ(const char *,const char *,const char *,int)",stdlib/setenv.c,,,,15,108,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,134,14,67,10,37,11,33,12,10,104,34,44,7,5,32,12,12,15,9,8,,,,,8,,3,8,,0.16,,,,
98,No,No,317b199b4aff8cfa27f2302ab404d2bb5032b9a4,,No,,Function,__cache_sysconf(int),sysdeps/x86_64/cacheinfo.c,,,,3,10,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,15,3,10,3,5,2,0,0,4,3,3,5,0,0,5,3,3,3,3,2,,,,,2,,1,2,,0.20,,,,
98,No,No,317b199b4aff8cfa27f2302ab404d2bb5032b9a4,,No,,Static Function,"__checkhost_sa(struct sockaddr *,size_t,char *,const char *)",inet/rcmd.c,,,,5,41,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,52,5,41,8,26,8,0,0,10,13,19,27,4,0,23,9,9,11,9,8,,,,,8,,3,8,,0.20,,,,
98,No,No,317b199b4aff8cfa27f2302ab404d2bb5032b9a4,,,,Function,__ctype_b_loc(),,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,0.00,,,,
98,No,No,317b199b4aff8cfa27f2302ab404d2bb5032b9a4,,,,Function,__ctype_get_mb_cur_max(),,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,0.00,,,,
98,No,No,317b199b4aff8cfa27f2302ab404d2bb5032b9a4,,,,Function,__ctype_get_mb_cur_max(),,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,5,4,6,8,0,0,8,3,3,3,1,0,,,,,0,,1,0,,0.00,,,,
