Topological Index,Affected Commit,Vulnerable Commit,Commit Hash,CVEs,Vulnerable Code Unit,Code Unit Lines,Kind,Name,File,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFile,CountDeclFileCode,CountDeclFileHeader,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethod,CountDeclMethodAll,CountDeclMethodConst,CountDeclMethodFriend,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountOutput,CountPath,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
86,Yes,No,e02cabecf0d025ec4f4ddee290bdf7aadb873bb3,"[""CVE-2014-9761""]",No,,Function,"____strtof_l_internal(const char *,char **,int,__locale_t)",stdlib/strtod_l.c,,,,126,945,203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,1266,126,828,104,580,200,38,86,25,999999999,730,973,135,23,815,342,341,422,92,169,,,,,121,,9,102,,0.24,,,,
86,Yes,No,e02cabecf0d025ec4f4ddee290bdf7aadb873bb3,"[""CVE-2014-9761""]",No,,Function,"__strtod_nan(const char *,char **,char)",stdlib/strtod_nan_main.c,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,,0.00,,,,
86,Yes,No,e02cabecf0d025ec4f4ddee290bdf7aadb873bb3,"[""CVE-2014-9761""]",No,,Function,"__strtof_l(const char *,char **,__locale_t)",stdlib/strtod_l.c,,,,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,8,0,5,3,1,0,1,2,2,1,1,1,0,0,1,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
86,Yes,No,e02cabecf0d025ec4f4ddee290bdf7aadb873bb3,"[""CVE-2014-9761""]",No,,Function,libc_hidden_proto(__default_morecore),include/stdlib.h,,,,1,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,7,1,6,4,0,0,0,0,1,1,2,2,2,0,0,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
86,Yes,No,e02cabecf0d025ec4f4ddee290bdf7aadb873bb3,"[""CVE-2014-9761""]",No,"[170, 177]",Static Function,overflow_value(int),stdlib/strtod_l.c,,,,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,8,0,8,4,4,0,0,0,3,1,3,3,1,0,2,2,2,2,1,0,,,,,0,,0,0,,0.00,,,,
86,Yes,No,e02cabecf0d025ec4f4ddee290bdf7aadb873bb3,"[""CVE-2014-9761""]",No,"[194, 329]",Static Function,"round_and_return(mp_limb_t *,intmax_t,int,mp_limb_t,mp_size_t,int)",stdlib/strtod_l.c,,,,12,114,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,136,12,111,15,83,10,0,3,11,689,50,70,11,0,59,23,23,36,5,9,,,,,5,,5,5,,0.09,,,,
86,Yes,No,e02cabecf0d025ec4f4ddee290bdf7aadb873bb3,"[""CVE-2014-9761""]",No,,File,stdlib.h,include/stdlib.h,1,6,0,35,236,4,1,1,1,1,7,1,6,0,,,,0,,,,,,1,,,,,,,,,,,,,,274,35,211,208,0,4,5,23,,,82,152,152,0,0,,,,,,1,1,1,1,,,0,,,0.02,1,1,1,1
86,Yes,No,e02cabecf0d025ec4f4ddee290bdf7aadb873bb3,"[""CVE-2014-9761""]",No,"[337, 431]",Static Function,"str_to_mpn(const char *,int,mp_limb_t *,mp_size_t *,intmax_t *,const char *,size_t,const char *)",stdlib/strtod_l.c,,,,6,84,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,95,6,77,11,47,5,2,5,8,560,43,56,6,3,47,18,18,22,5,9,,,,,3,,5,2,,0.06,,,,
86,Yes,No,e02cabecf0d025ec4f4ddee290bdf7aadb873bb3,"[""CVE-2014-9761""]",No,,File,strtod_l.c,stdlib/strtod_l.c,24,195,36,183,1321,284,65,65,81,17,254,24,173,36,,,,0,,,,,,6,,,,,,,,,,,,,,1779,183,1041,144,719,281,88,239,,,833,1115,163,26,926,,,,,,342,341,422,92,,,9,,,0.27,388,387,485,105
86,Yes,No,e02cabecf0d025ec4f4ddee290bdf7aadb873bb3,"[""CVE-2014-9761""]",No,,File,strtod_nan.c,stdlib/strtod_nan.c,0,0,0,2,4,18,0,0,0,0,0,0,0,0,,,,0,,,,,,0,,,,,,,,,,,,,,24,2,0,0,0,18,0,4,,,0,1,1,0,0,,,,,,0,0,0,0,,,0,,,0.00,0,0,0,0
86,Yes,No,e02cabecf0d025ec4f4ddee290bdf7aadb873bb3,"[""CVE-2014-9761""]",No,,File,strtod_nan_double.h,stdlib/strtod_nan_double.h,0,0,0,1,12,17,0,0,0,0,0,0,0,0,,,,0,,,,,,0,,,,,,,,,,,,,,30,1,0,0,0,17,0,12,,,0,0,0,0,0,,,,,,0,0,0,0,,,0,,,0.00,0,0,0,0
86,Yes,No,e02cabecf0d025ec4f4ddee290bdf7aadb873bb3,"[""CVE-2014-9761""]",No,,File,strtod_nan_float.h,stdlib/strtod_nan_float.h,0,0,0,1,11,17,0,0,0,0,0,0,0,0,,,,0,,,,,,0,,,,,,,,,,,,,,29,1,0,0,0,17,0,11,,,0,0,0,0,0,,,,,,0,0,0,0,,,0,,,0.00,0,0,0,0
86,Yes,No,e02cabecf0d025ec4f4ddee290bdf7aadb873bb3,"[""CVE-2014-9761""]",No,,File,strtod_nan_ldouble.h,sysdeps/ieee754/ldbl-96/strtod_nan_ldouble.h,0,0,0,1,12,17,0,0,0,0,0,0,0,0,,,,0,,,,,,0,,,,,,,,,,,,,,30,1,0,0,0,17,0,12,,,0,0,0,0,0,,,,,,0,0,0,0,,,0,,,0.00,0,0,0,0
86,Yes,No,e02cabecf0d025ec4f4ddee290bdf7aadb873bb3,"[""CVE-2014-9761""]",No,,File,strtod_nan_ldouble.h,sysdeps/ieee754/ldbl-128/strtod_nan_ldouble.h,0,0,0,1,15,17,0,0,0,0,0,0,0,0,,,,0,,,,,,0,,,,,,,,,,,,,,33,1,0,0,0,17,0,15,,,0,0,0,0,0,,,,,,0,0,0,0,,,0,,,0.00,0,0,0,0
86,Yes,No,e02cabecf0d025ec4f4ddee290bdf7aadb873bb3,"[""CVE-2014-9761""]",No,,File,strtod_nan_ldouble.h,sysdeps/ieee754/ldbl-128ibm/strtod_nan_ldouble.h,0,0,0,1,12,17,0,0,0,0,0,0,0,0,,,,0,,,,,,0,,,,,,,,,,,,,,30,1,0,0,0,17,0,12,,,0,0,0,0,0,,,,,,0,0,0,0,,,0,,,0.00,0,0,0,0
86,Yes,No,e02cabecf0d025ec4f4ddee290bdf7aadb873bb3,"[""CVE-2014-9761""]",No,,File,strtod_nan_main.c,stdlib/strtod_nan_main.c,0,0,0,9,29,25,0,0,0,0,0,0,0,0,,,,0,,,,,,0,,,,,,,,,,,,,,63,9,24,5,15,25,0,5,,,15,20,5,0,15,,,,,,0,0,0,0,,,0,,,1.04,0,0,0,0
86,Yes,No,e02cabecf0d025ec4f4ddee290bdf7aadb873bb3,"[""CVE-2014-9761""]",No,,File,strtod_nan_narrow.h,stdlib/strtod_nan_narrow.h,0,0,0,1,4,17,0,0,0,0,0,0,0,0,,,,0,,,,,,0,,,,,,,,,,,,,,22,1,0,0,0,17,0,4,,,0,0,0,0,0,,,,,,0,0,0,0,,,0,,,0.00,0,0,0,0
86,Yes,No,e02cabecf0d025ec4f4ddee290bdf7aadb873bb3,"[""CVE-2014-9761""]",No,,File,strtod_nan_wide.h,stdlib/strtod_nan_wide.h,0,0,0,1,4,17,0,0,0,0,0,0,0,0,,,,0,,,,,,0,,,,,,,,,,,,,,22,1,0,0,0,17,0,4,,,0,0,0,0,0,,,,,,0,0,0,0,,,0,,,0.00,0,0,0,0
86,Yes,No,e02cabecf0d025ec4f4ddee290bdf7aadb873bb3,"[""CVE-2014-9761""]",No,,File,strtof_l.c,stdlib/strtof_l.c,0,0,0,4,16,18,0,0,0,0,0,0,0,0,,,,0,,,,,,0,,,,,,,,,,,,,,38,4,1,1,0,18,4,15,,,1,1,1,0,0,,,,,,0,0,0,0,,,0,,,18.00,0,0,0,0
86,Yes,No,e02cabecf0d025ec4f4ddee290bdf7aadb873bb3,"[""CVE-2014-9761""]",No,,File,strtof_nan.c,stdlib/strtof_nan.c,0,0,0,2,4,18,0,0,0,0,0,0,0,0,,,,0,,,,,,0,,,,,,,,,,,,,,24,2,0,0,0,18,0,4,,,0,0,0,0,0,,,,,,0,0,0,0,,,0,,,0.00,0,0,0,0
86,Yes,No,e02cabecf0d025ec4f4ddee290bdf7aadb873bb3,"[""CVE-2014-9761""]",No,,File,strtold_l.c,sysdeps/ieee754/ldbl-128/strtold_l.c,0,0,0,4,15,18,0,0,0,0,0,0,0,0,,,,0,,,,,,0,,,,,,,,,,,,,,37,4,0,0,0,18,3,15,,,0,0,0,0,0,,,,,,0,0,0,0,,,0,,,0.00,0,0,0,0
86,Yes,No,e02cabecf0d025ec4f4ddee290bdf7aadb873bb3,"[""CVE-2014-9761""]",No,,File,strtold_l.c,sysdeps/ieee754/ldbl-64-128/strtold_l.c,0,0,0,5,37,18,0,0,0,0,0,0,0,0,,,,0,,,,,,0,,,,,,,,,,,,,,60,5,4,1,0,18,15,26,,,2,2,2,0,0,,,,,,0,0,0,0,,,0,,,4.50,0,0,0,0
86,Yes,No,e02cabecf0d025ec4f4ddee290bdf7aadb873bb3,"[""CVE-2014-9761""]",No,,File,strtold_l.c,sysdeps/ieee754/ldbl-96/strtold_l.c,0,0,0,4,15,18,0,0,0,0,0,0,0,0,,,,0,,,,,,0,,,,,,,,,,,,,,37,4,0,0,0,18,4,15,,,0,0,0,0,0,,,,,,0,0,0,0,,,0,,,0.00,0,0,0,0
86,Yes,No,e02cabecf0d025ec4f4ddee290bdf7aadb873bb3,"[""CVE-2014-9761""]",No,,File,strtold_l.c,sysdeps/ieee754/ldbl-128ibm/strtold_l.c,0,0,0,5,37,18,0,0,0,0,0,0,0,0,,,,0,,,,,,0,,,,,,,,,,,,,,60,5,4,0,0,18,15,26,,,2,0,0,0,0,,,,,,0,0,0,0,,,0,,,4.50,0,0,0,0
86,Yes,No,e02cabecf0d025ec4f4ddee290bdf7aadb873bb3,"[""CVE-2014-9761""]",No,,File,strtold_nan.c,stdlib/strtold_nan.c,0,0,0,3,7,20,0,0,0,0,0,0,0,0,,,,0,,,,,,0,,,,,,,,,,,,,,30,3,0,0,0,20,0,7,,,0,0,0,0,0,,,,,,0,0,0,0,,,0,,,0.00,0,0,0,0
86,Yes,No,e02cabecf0d025ec4f4ddee290bdf7aadb873bb3,"[""CVE-2014-9761""]",No,"[182, 189]",Static Function,underflow_value(int),stdlib/strtod_l.c,,,,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,8,0,8,4,4,0,0,0,3,1,3,3,1,0,2,2,2,2,1,0,,,,,0,,0,0,,0.00,,,,
86,Yes,No,e02cabecf0d025ec4f4ddee290bdf7aadb873bb3,"[""CVE-2014-9761""]",No,,File,wchar.h,include/wchar.h,0,0,0,17,198,18,0,0,0,0,0,0,0,0,,,,0,,,,,,0,,,,,,,,,,,,,,227,2,0,0,0,2,214,13,,,0,0,0,0,0,,,,,,0,0,0,0,,,0,,,0.00,0,0,0,0
86,Yes,No,e02cabecf0d025ec4f4ddee290bdf7aadb873bb3,"[""CVE-2014-9761""]",No,,File,wcstod_l.c,wcsmbs/wcstod_l.c,0,0,0,5,6,18,0,0,0,0,0,0,0,0,,,,0,,,,,,0,,,,,,,,,,,,,,29,5,2,2,0,18,0,4,,,1,1,1,0,0,,,,,,0,0,0,0,,,0,,,9.00,0,0,0,0
