Vulnerable,Git Commit Hash,Kind,Name,File,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclFunction,SumCountInput,AvgCountInput,MaxCountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,SumCountOutput,AvgCountOutput,MaxCountOutput,SumCountPath,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,SumMaxNesting,AvgMaxNesting,MaxMaxNesting,HenryKafura,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
No,7797069305d13252fd66cf722aa8f2cbeb3c95cd,File,file.c,cifs\file.c,6,36,6,348,1837,342,6,6,7,3,47,6,36,6,0,50,960,10,25,2505,348,1817,354,1359,342,0,20,1060,11,42,9548713,1023,1341,280,1,1060,33,33,44,16,5,175,2,5,477350824,0,321,321,366,171
Yes,7eaceaccab5f40bbfda044629a6298616aeaed50,File,file.c,cifs\file.c,6,36,6,348,1835,342,6,6,7,3,47,6,36,6,0,50,960,10,25,2503,348,1815,354,1358,342,0,20,1060,11,42,9548713,1023,1340,280,1,1059,33,33,44,16,5,175,2,5,477350824,0,320,320,365,171
No,64f3b9e203bd06855072e295557dca1485a2ecba,File,ip_fragment.c,ipv4\ip_fragment.c,3,18,2,132,586,109,3,3,4,2,23,3,18,2,0,25,380,8,27,821,121,476,102,321,109,89,32,379,8,42,9464262,296,377,89,0,288,30,30,37,21,3,27,1,3,352982239,0,85,85,101,56
Yes,6623e3b24a5ebb07e81648c478d286a1329ab891,File,ip_fragment.c,ipv4\ip_fragment.c,3,18,3,132,584,112,3,3,4,2,23,3,18,3,0,25,380,8,27,822,121,474,103,320,112,89,32,379,8,42,9464262,293,375,89,0,286,30,30,37,21,3,27,1,3,352982239,0,86,86,102,57
No,9a5467bf7b6e9e02ec9c3da4e23747c05faeaac6,File,aead.c,crypto\aead.c,3,16,0,101,442,22,3,3,3,2,20,3,16,0,0,22,242,6,25,565,93,386,101,250,22,42,22,288,7,31,214,237,300,85,3,212,11,11,11,11,2,32,1,2,71805040,0,65,65,65,50
No,9a5467bf7b6e9e02ec9c3da4e23747c05faeaac6,File,ahash.c,crypto\ahash.c,2,10,0,110,409,14,2,2,2,1,11,2,10,0,0,36,327,5,12,533,106,379,128,221,14,18,16,342,5,18,134,204,269,105,0,164,6,6,7,5,2,38,1,2,2993427,0,68,68,71,40
No,9a5467bf7b6e9e02ec9c3da4e23747c05faeaac6,File,rng.c,crypto\rng.c,2,10,0,27,114,13,2,2,2,1,12,2,10,0,0,7,34,2,5,154,23,85,31,45,13,17,16,56,4,11,28,47,62,26,0,36,4,4,4,4,2,10,1,2,13432,0,13,13,14,12
No,9a5467bf7b6e9e02ec9c3da4e23747c05faeaac6,File,shash.c,crypto\shash.c,2,10,0,142,556,11,2,2,2,1,12,2,10,0,0,50,402,4,9,709,138,526,196,299,11,19,15,502,5,21,210,283,376,162,0,214,6,6,8,4,2,48,0,2,2555724,0,94,94,96,60
Yes,06eb4eafbdc0796d741d139a44f1253278da8611,File,ablkcipher.c,crypto\ablkcipher.c,3,15,0,133,572,20,3,3,3,1,18,3,15,0,0,32,180,6,18,725,125,512,148,316,20,44,24,195,6,21,206,290,369,112,6,251,9,9,9,6,2,20,1,2,6386885,0,86,86,89,60
Yes,3e8afe35c36fa0e928e038667709966a71a9cfa5,File,aead.c,crypto\aead.c,3,16,0,101,443,22,3,3,3,2,20,3,16,0,0,22,242,6,25,566,93,386,101,250,22,43,22,288,7,31,214,237,300,85,3,212,11,11,11,11,2,32,1,2,71805040,0,65,65,65,50
Yes,6662df33f85b87bb29f2ecad124efe7bb2c08e05,File,ahash.c,crypto\ahash.c,2,10,0,110,409,14,2,2,2,1,11,2,10,0,0,36,327,5,12,533,106,379,128,221,14,18,16,342,5,18,134,204,269,105,0,164,6,6,7,5,2,38,1,2,2993427,0,68,68,71,40
Yes,3e8afe35c36fa0e928e038667709966a71a9cfa5,File,blkcipher.c,crypto\blkcipher.c,3,15,0,131,575,24,2,2,3,1,18,3,15,0,0,33,239,7,25,730,127,539,158,344,24,22,18,248,8,32,177,307,390,114,0,276,13,13,13,11,3,21,1,3,55506259,0,82,82,85,60
Yes,d66e6737d454553e1e62109d8298ede5351178a4,File,crypto_user.c,crypto\crypto_user.c,5,20,0,112,382,25,4,4,4,3,25,5,20,0,0,17,103,6,16,519,112,370,106,247,25,0,12,117,7,14,191,200,273,74,6,193,11,9,12,10,2,18,1,2,2375272,0,71,67,75,56
Yes,6662df33f85b87bb29f2ecad124efe7bb2c08e05,File,pcompress.c,crypto\pcompress.c,0,5,0,19,82,20,1,1,1,1,5,0,5,0,0,8,12,2,4,121,16,55,29,23,20,15,15,13,2,4,8,20,30,19,0,11,1,1,1,1,0,0,0,0,805,0,8,8,8,8
Yes,6662df33f85b87bb29f2ecad124efe7bb2c08e05,File,rng.c,crypto\rng.c,2,10,0,27,114,13,2,2,2,1,12,2,10,0,0,7,34,2,5,154,23,85,31,45,13,17,16,56,4,11,28,47,62,26,0,36,4,4,4,4,2,10,1,2,13432,0,13,13,14,12
Yes,50fc3e8d2c9d1ee72c67b751e5ac5d76ebc5a12e,File,shash.c,crypto\shash.c,2,10,0,141,556,11,2,2,2,1,12,2,10,0,0,50,402,4,9,708,138,526,196,299,11,18,15,502,5,21,210,283,376,162,0,214,6,6,8,4,2,48,0,2,2555724,0,94,94,96,60
No,c8c499175f7d295ef867335bceb9a76a2c3cdc38,File,sco.c,bluetooth\sco.c,5,17,0,270,805,48,3,3,4,2,23,5,17,0,0,43,526,6,14,1123,270,799,159,585,48,0,6,648,8,19,444,452,597,119,0,478,8,7,8,6,2,90,1,2,8699942,0,142,136,153,92
