Vulnerable,Git Commit Hash,Kind,Name,File,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFile,CountDeclFileCode,CountDeclFileHeader,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethod,CountDeclMethodAll,CountDeclMethodConst,CountDeclMethodFriend,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
Yes,3e8afe35c36fa0e928e038667709966a71a9cfa5,Static Function,blkcipher_unmap_src(struct blkcipher_walk *),crypto\blkcipher.c,,,,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,4,0,4,1,1,0,0,0,2.0,1.0,0.0,1,1,0,0,1,1.0,1.0,1.0,1.0,0.0,,,,,0.0,,0,0.0,,0.0,,,,
Yes,3e8afe35c36fa0e928e038667709966a71a9cfa5,Function,"blkcipher_walk_done(struct blkcipher_desc *,struct blkcipher_walk *,int)",crypto\blkcipher.c,,,,8,34,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,42,8,34,5,27,0,0,0,15.0,36.0,2.0,19,26,3,0,23,8.0,8.0,8.0,4.0,5.0,,,,,4.0,,2,4.0,,0.0,,,,
Yes,3e8afe35c36fa0e928e038667709966a71a9cfa5,Static Function,"blkcipher_walk_first(struct blkcipher_desc *,struct blkcipher_walk *)",crypto\blkcipher.c,,,,5,22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,27,5,22,5,17,0,0,0,13.0,5.0,1.0,13,17,3,0,14,5.0,5.0,5.0,5.0,4.0,,,,,4.0,,2,4.0,,0.0,,,,
Yes,3e8afe35c36fa0e928e038667709966a71a9cfa5,Static Function,"blkcipher_walk_next(struct blkcipher_desc *,struct blkcipher_walk *)",crypto\blkcipher.c,,,,7,46,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,53,7,46,7,32,0,0,0,22.0,17.0,1.0,26,33,5,0,28,8.0,8.0,9.0,4.0,5.0,,,,,5.0,,3,5.0,,0.0,,,,
Yes,3e8afe35c36fa0e928e038667709966a71a9cfa5,Function,"blkcipher_walk_phys(struct blkcipher_desc *,struct blkcipher_walk *)",crypto\blkcipher.c,,,,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,7,0,7,2,3,0,0,0,5.0,1.0,0.0,3,3,0,0,3,1.0,1.0,1.0,1.0,0.0,,,,,0.0,,0,0.0,,0.0,,,,
Yes,3e8afe35c36fa0e928e038667709966a71a9cfa5,Function,"blkcipher_walk_virt(struct blkcipher_desc *,struct blkcipher_walk *)",crypto\blkcipher.c,,,,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,7,0,7,2,3,0,0,0,5.0,1.0,0.0,3,3,0,0,3,1.0,1.0,1.0,1.0,0.0,,,,,0.0,,0,0.0,,0.0,,,,
Yes,3e8afe35c36fa0e928e038667709966a71a9cfa5,Function,"blkcipher_walk_virt_block(struct blkcipher_desc *,struct blkcipher_walk *,unsigned int)",crypto\blkcipher.c,,,,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,8,0,8,3,3,0,0,0,4.0,1.0,0.0,3,3,0,0,3,1.0,1.0,1.0,1.0,0.0,,,,,0.0,,0,0.0,,0.0,,,,
Yes,3e8afe35c36fa0e928e038667709966a71a9cfa5,Static Function,"crypto_blkcipher_ctxsize(struct crypto_alg *,u32,u32)",crypto\blkcipher.c,,,,2,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,14,2,12,4,7,0,0,0,2.0,2.0,0.0,5,6,2,0,4,2.0,2.0,3.0,1.0,0.0,,,,,0.0,,1,0.0,,0.0,,,,
Yes,3e8afe35c36fa0e928e038667709966a71a9cfa5,Static Function,"crypto_blkcipher_report(struct sk_buff *,struct crypto_alg *)",crypto\blkcipher.c,,,,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,4,0,4,1,1,0,0,0,1.0,1.0,0.0,1,1,0,0,1,1.0,1.0,1.0,1.0,0.0,,,,,0.0,,0,0.0,,0.0,,,,
Yes,3e8afe35c36fa0e928e038667709966a71a9cfa5,Static Function,"crypto_blkcipher_show(struct seq_file *,struct crypto_alg *)",crypto\blkcipher.c,,,,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,10,0,10,1,7,0,0,0,1.0,1.0,0.0,6,6,0,0,6,2.0,2.0,2.0,1.0,0.0,,,,,0.0,,0,0.0,,0.0,,,,
