Vulnerable,Git Commit Hash,Kind,Name,File,AltCountLineBlank,AltCountLineCode,AltCountLineComment,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxEssentialKnots,MaxNesting,MinEssentialKnots,RatioCommentToCode
Yes,4b6f5d20b04dcbc3d888555522b90ba6d36c4106,Static Function,"subsys_attr_store(struct kobject *,struct attribute *,const char *,size_t)",sysfs\file.c,1,11,0,6,12,1,11,6,6,0,0,0,3,2,0,5,6,3,0,3,2,2,2,1,0,0,1,0,0
Yes,4b6f5d20b04dcbc3d888555522b90ba6d36c4106,Function,"sysfs_add_file(struct dentry *,const struct attribute *,int)",sysfs\file.c,2,12,0,9,14,2,12,4,9,0,0,0,5,2,0,7,8,3,0,5,2,2,2,1,0,0,1,0,0
Yes,4b6f5d20b04dcbc3d888555522b90ba6d36c4106,Function,"sysfs_chmod_file(struct kobject *,struct attribute *,mode_t)",sysfs\file.c,2,25,0,11,27,2,25,6,17,0,0,0,10,3,0,16,18,5,0,13,3,3,4,1,0,0,2,0,0
Yes,4b6f5d20b04dcbc3d888555522b90ba6d36c4106,Function,"sysfs_create_file(struct kobject *,const struct attribute *)",sysfs\file.c,2,5,0,3,7,2,5,1,2,0,0,0,3,1,0,2,2,0,0,2,1,1,3,1,0,0,0,0,0
Yes,4b6f5d20b04dcbc3d888555522b90ba6d36c4106,Static Function,"sysfs_open_file(struct inode *,struct file *)",sysfs\file.c,0,4,0,2,4,0,4,1,1,0,0,0,2,1,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0
Yes,4b6f5d20b04dcbc3d888555522b90ba6d36c4106,Static Function,"sysfs_read_file(struct file *,char __user *,size_t,loff_t *)",sysfs\file.c,1,17,0,9,18,1,17,4,11,0,0,0,6,3,0,8,10,2,0,8,3,3,3,3,2,2,2,2,0
Yes,4b6f5d20b04dcbc3d888555522b90ba6d36c4106,Static Function,"sysfs_release(struct inode *,struct file *)",sysfs\file.c,2,16,1,6,19,2,16,5,12,1,0,0,7,6,1,9,12,4,0,8,4,4,4,1,0,0,2,0,0
Yes,4b6f5d20b04dcbc3d888555522b90ba6d36c4106,Function,"sysfs_remove_file(struct kobject *,const struct attribute *)",sysfs\file.c,0,4,0,4,4,0,4,1,1,0,0,0,1,1,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0
Yes,4b6f5d20b04dcbc3d888555522b90ba6d36c4106,Function,"sysfs_update_file(struct kobject *,const struct attribute *)",sysfs\file.c,4,21,7,8,32,4,21,4,16,7,0,0,10,3,0,13,15,3,0,12,3,3,4,1,1,0,2,0,0
Yes,4b6f5d20b04dcbc3d888555522b90ba6d36c4106,Static Function,"sysfs_write_file(struct file *,const char __user *,size_t,loff_t *)",sysfs\file.c,1,14,0,6,15,1,14,4,9,0,0,0,5,4,1,8,10,2,0,8,3,3,3,1,0,0,1,0,0
Yes,c4d987ba841dff4b2fc768e52d1d95af83f9f157,Static Function,"nfsd3_proc_access(struct svc_rqst *,struct nfsd3_accessargs *,struct nfsd3_accessres *)",nfsd\nfs3proc.c,2,13,0,7,15,2,13,4,7,0,0,0,8,1,0,8,8,1,1,6,1,1,1,1,0,0,0,0,0
Yes,c4d987ba841dff4b2fc768e52d1d95af83f9f157,Static Function,"nfsd3_proc_commit(struct svc_rqst *,struct nfsd3_commitargs *,struct nfsd3_commitres *)",nfsd\nfs3proc.c,4,15,0,7,19,4,15,4,9,0,0,0,7,2,0,10,11,1,2,8,2,2,2,1,1,0,1,0,0
Yes,c4d987ba841dff4b2fc768e52d1d95af83f9f157,Static Function,"nfsd3_proc_create(struct svc_rqst *,struct nfsd3_createargs *,struct nfsd3_diropres *)",nfsd\nfs3proc.c,6,29,3,13,38,6,29,6,21,3,0,0,11,3,0,19,21,3,2,16,3,3,3,1,2,0,1,0,0
Yes,c4d987ba841dff4b2fc768e52d1d95af83f9f157,Static Function,"nfsd3_proc_fsinfo(struct svc_rqst *,struct nfsd_fhandle *,struct nfsd3_fsinfores *)",nfsd\nfs3proc.c,6,28,5,8,38,6,28,6,20,5,0,0,17,3,0,20,22,3,1,18,3,3,3,1,0,0,2,0,0
Yes,c4d987ba841dff4b2fc768e52d1d95af83f9f157,Static Function,"nfsd3_proc_fsstat(struct svc_rqst *,struct nfsd_fhandle *,struct nfsd3_fsstatres *)",nfsd\nfs3proc.c,2,11,0,5,13,2,11,4,5,0,0,0,7,1,0,7,7,1,1,5,1,1,1,1,0,0,0,0,0
Yes,c4d987ba841dff4b2fc768e52d1d95af83f9f157,Static Function,"nfsd3_proc_getattr(struct svc_rqst *,struct nfsd_fhandle *,struct nfsd3_attrstat *)",nfsd\nfs3proc.c,4,17,0,9,21,4,17,5,10,0,0,0,9,2,0,13,14,2,2,10,2,2,2,1,1,0,1,0,0
Yes,c4d987ba841dff4b2fc768e52d1d95af83f9f157,Static Function,"nfsd3_proc_link(struct svc_rqst *,struct nfsd3_linkargs *,struct nfsd3_linkres *)",nfsd\nfs3proc.c,2,17,0,9,19,2,17,4,11,0,0,0,7,1,0,9,9,1,1,7,1,1,1,1,0,0,0,0,0
