Vulnerable,Git Commit Hash,Kind,Name,File,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClassMethod,CountDeclClassVariable,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethod,CountDeclMethodAll,CountDeclMethodConst,CountDeclMethodFriend,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
Yes,6662df33f85b87bb29f2ecad124efe7bb2c08e05,Struct,ahash_request_priv,crypto\ahash.c,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,6,0,6,5,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,d66e6737d454553e1e62109d8298ede5351178a4,Struct,crypto_dump_info,crypto\crypto_user.c,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,6,0,6,5,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,d66e6737d454553e1e62109d8298ede5351178a4,Struct,crypto_link,crypto\crypto_user.c,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,5,0,5,4,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No,2d6fbfe733f35c6b355c216644e08e149c61b271,Struct,caifsock,caif\caif_socket.c,0,0,0,0,9,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,9,0,0,9,0,0,0,0,0,0,0,9,0,9,8,0,1,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,c76562b6709fee5eff8a6a779be41c0bce661fd7,Struct,caifsock,caif\caif_socket.c,0,0,0,0,9,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,9,0,0,9,0,0,0,0,0,0,0,9,0,9,8,0,1,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,0c949334a9e2581646c6ff0d1470a805b1e5be99,Struct,iov_iter,linux\uio.h,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,7,0,7,6,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,0c949334a9e2581646c6ff0d1470a805b1e5be99,Struct,kvec,linux\uio.h,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,4,0,4,3,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No,4e7c22d447bb6d7e37bfe39ff658486ae78e8d77,Struct,arch_elf_state,fs\binfmt_elf.c,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,c0222ac086669a631814bbf857f8c8023452a4d7,Struct,arch_elf_state,fs\binfmt_elf.c,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No,cabfb3680f78981d26c078a26e5c748531257ebb,Struct,SMB2_sess_data,cifs\smb2pdu.c,0,0,0,1,10,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,8,0,0,8,0,0,0,0,0,0,0,18,1,10,9,0,7,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No,cabfb3680f78981d26c078a26e5c748531257ebb,Struct,sess_data,cifs\sess.c,0,0,0,1,9,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,7,0,0,7,0,0,0,0,0,0,0,17,1,9,8,0,7,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,da502f7df03d2d0b416775f92ae022f3f82bedd5,Struct,sess_data,cifs\sess.c,0,0,0,1,9,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,7,0,0,7,0,0,0,0,0,0,0,17,1,9,8,0,7,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,7fb8986e7449d0a5cebd84d059927afa423fbf85,Struct,SMB2_sess_data,cifs\smb2pdu.c,0,0,0,1,10,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,8,0,0,8,0,0,0,0,0,0,0,18,1,10,9,0,7,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No,07f2c7ab6f8d0a7e7c5764c4e6cc9c52951b9d9c,Struct,__sctp_missing,sctp\sm_make_chunk.c,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,4,0,4,3,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yes,594831a8aba3fd045c3212a3e3bb9788c77b989d,Struct,__sctp_missing,sctp\sm_make_chunk.c,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,4,0,4,3,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No,5d2e73a5f80a5b5aff3caf1ec6d39b5b3f54b26e,Struct,zr364xx_buffer,zr364xx\zr364xx.c,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,5,0,4,3,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No,5d2e73a5f80a5b5aff3caf1ec6d39b5b3f54b26e,Struct,zr364xx_bufferi,zr364xx\zr364xx.c,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,4,0,4,3,0,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No,5d2e73a5f80a5b5aff3caf1ec6d39b5b3f54b26e,Struct,zr364xx_camera,zr364xx\zr364xx.c,0,0,0,3,26,4,0,0,0,0,0,0,0,0,0,12,0,0,0,0,24,0,0,24,0,0,0,0,0,0,0,29,3,26,25,0,4,0,0,24,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No,5d2e73a5f80a5b5aff3caf1ec6d39b5b3f54b26e,Struct,zr364xx_dmaqueue,zr364xx\zr364xx.c,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,4,0,4,3,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No,5d2e73a5f80a5b5aff3caf1ec6d39b5b3f54b26e,Struct,zr364xx_fmt,zr364xx\zr364xx.c,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,5,0,5,4,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No,5d2e73a5f80a5b5aff3caf1ec6d39b5b3f54b26e,Struct,zr364xx_framei,zr364xx\zr364xx.c,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,6,0,5,4,0,4,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
