File Path,Topological Index,Neutral Git Commit Hash,Vulnerable Git Commit Hash,Last Change Git Commit Hash,CVEs
drivers/net/bonding/bond_main.c,6,fd0e435b0fe85622f167b84432552885a4856ac8,4a37390de98547e42ad0cb617bd2f2d452f2d4c7,78fbfd8a653ca972afe479517a40661bfff6d8c3,"[""CVE-2011-1581""]"
net/econet/af_econet.c,7,67c5c6cb8129c595f21e88254a3fc6b3b841ae8e,4363c2fddb1399b728ef21ee8101c148a311ea45,389f2a18c6a2a5531ac5a155c3ba25784065b1cb,"[""CVE-2011-1173""]"
fs/cifs/file.c,8,7797069305d13252fd66cf722aa8f2cbeb3c95cd,a6360dd37e1a144ed11e6548371bade559a1e4df,7eaceaccab5f40bbfda044629a6298616aeaed50,"[""CVE-2011-1771""]"
net/ipv4/ip_fragment.c,9,64f3b9e203bd06855072e295557dca1485a2ecba,ff538818f4a82c4cf02d2d6bd6ac5c7360b9d41d,6623e3b24a5ebb07e81648c478d286a1329ab891,"[""CVE-2011-1927""]"
crypto/ablkcipher.c,10,9a5467bf7b6e9e02ec9c3da4e23747c05faeaac6,7eb9c5df92361c55daab4d8d4e8468eb774e297b,06eb4eafbdc0796d741d139a44f1253278da8611,"[""CVE-2013-2546""]"
crypto/aead.c,10,9a5467bf7b6e9e02ec9c3da4e23747c05faeaac6,7eb9c5df92361c55daab4d8d4e8468eb774e297b,3e8afe35c36fa0e928e038667709966a71a9cfa5,"[""CVE-2013-2546""]"
crypto/ahash.c,10,9a5467bf7b6e9e02ec9c3da4e23747c05faeaac6,7eb9c5df92361c55daab4d8d4e8468eb774e297b,6662df33f85b87bb29f2ecad124efe7bb2c08e05,"[""CVE-2013-2546""]"
crypto/blkcipher.c,10,9a5467bf7b6e9e02ec9c3da4e23747c05faeaac6,7eb9c5df92361c55daab4d8d4e8468eb774e297b,3e8afe35c36fa0e928e038667709966a71a9cfa5,"[""CVE-2013-2546""]"
crypto/crypto_user.c,10,9a5467bf7b6e9e02ec9c3da4e23747c05faeaac6,7eb9c5df92361c55daab4d8d4e8468eb774e297b,d66e6737d454553e1e62109d8298ede5351178a4,"[""CVE-2013-2546""]"
crypto/pcompress.c,10,9a5467bf7b6e9e02ec9c3da4e23747c05faeaac6,7eb9c5df92361c55daab4d8d4e8468eb774e297b,6662df33f85b87bb29f2ecad124efe7bb2c08e05,"[""CVE-2013-2546""]"
crypto/rng.c,10,9a5467bf7b6e9e02ec9c3da4e23747c05faeaac6,7eb9c5df92361c55daab4d8d4e8468eb774e297b,6662df33f85b87bb29f2ecad124efe7bb2c08e05,"[""CVE-2013-2546""]"
crypto/shash.c,10,9a5467bf7b6e9e02ec9c3da4e23747c05faeaac6,7eb9c5df92361c55daab4d8d4e8468eb774e297b,50fc3e8d2c9d1ee72c67b751e5ac5d76ebc5a12e,"[""CVE-2013-2546""]"
net/bluetooth/sco.c,11,c8c499175f7d295ef867335bceb9a76a2c3cdc38,e11e0455c0d7d3d62276a0c55d9dfbc16779d691,8fa48cbdfb0b7c2e39a8f2a46f987afe9b9c0579,"[""CVE-2013-3226""]"
net/caif/caif_socket.c,12,2d6fbfe733f35c6b355c216644e08e149c61b271,c8c499175f7d295ef867335bceb9a76a2c3cdc38,c76562b6709fee5eff8a6a779be41c0bce661fd7,"[""CVE-2013-3227""]"
arch/arm64/kernel/traps.c,13,9955ac47f4ba1c95ecb6092aeaefb40a22e99268,381cc2b9705512ee7c7f1839cbdde374625a2a9f,953dbbed9ee310100bc841cdea8f992d192531c6,"[""CVE-2013-4220""]"
fs/pipe.c,14,637b58c2887e5e57850865839cc75f59184b23d1,74027f4a181754e917853bd1d2e21449f008ab39,fbb32750a62df75d1ffea547f3908b21c5496d9f,"[""CVE-2015-1805""]"
