File Path,Topological Index,Neutral Git Commit Hash,Vulnerable Git Commit Hash,CVEs
stdio-common/bug-vfprintf-nargs.c,0,7c1f4834d398163d1ac8101e35e9c36fc3176e6e,c6922934363f44b88250567f52036d8e9972c255,"[""CVE-2012-0864""]"
stdio-common/vfprintf.c,0,7c1f4834d398163d1ac8101e35e9c36fc3176e6e,c6922934363f44b88250567f52036d8e9972c255,"[""CVE-2012-0864""]"
posix/spawn_faction_addopen.c,1,89e435f3559c53084498e9baad22172b64429362,c3a2ebe1f7541cc35937621e08c28ff88afd0845,"[""CVE-2014-4043""]"
posix/spawn_faction_destroy.c,1,89e435f3559c53084498e9baad22172b64429362,c3a2ebe1f7541cc35937621e08c28ff88afd0845,"[""CVE-2014-4043""]"
posix/spawn_int.h,1,89e435f3559c53084498e9baad22172b64429362,c3a2ebe1f7541cc35937621e08c28ff88afd0845,"[""CVE-2014-4043""]"
posix/tst-spawn.c,1,89e435f3559c53084498e9baad22172b64429362,c3a2ebe1f7541cc35937621e08c28ff88afd0845,"[""CVE-2014-4043""]"
resolv/nss_dns/dns-network.c,2,317b199b4aff8cfa27f2302ab404d2bb5032b9a4,a6033052d08027f745867e5e346852da1959226c,"[""CVE-2016-3075""]"
