File Path,Topological Index,Neutral Git Commit Hash,Vulnerable Git Commit Hash,CVEs
net/bluetooth/sco.c,11,c8c499175f7d295ef867335bceb9a76a2c3cdc38,e11e0455c0d7d3d62276a0c55d9dfbc16779d691,"[""CVE-2013-3226""]"
net/caif/caif_socket.c,12,2d6fbfe733f35c6b355c216644e08e149c61b271,c8c499175f7d295ef867335bceb9a76a2c3cdc38,"[""CVE-2013-3227""]"
arch/arm64/kernel/traps.c,13,9955ac47f4ba1c95ecb6092aeaefb40a22e99268,381cc2b9705512ee7c7f1839cbdde374625a2a9f,"[""CVE-2013-4220""]"
fs/pipe.c,14,637b58c2887e5e57850865839cc75f59184b23d1,74027f4a181754e917853bd1d2e21449f008ab39,"[""CVE-2015-1805""]"
fs/pipe.c,15,f0d1bec9d58d4c038d0ac958c9af82be6eb18045,84c3d55cc474f9c234c023c92e2769f940d5548c,"[""CVE-2015-1805""]"
include/linux/uio.h,15,f0d1bec9d58d4c038d0ac958c9af82be6eb18045,84c3d55cc474f9c234c023c92e2769f940d5548c,"[""CVE-2015-1805""]"
mm/iov_iter.c,15,f0d1bec9d58d4c038d0ac958c9af82be6eb18045,84c3d55cc474f9c234c023c92e2769f940d5548c,"[""CVE-2015-1805""]"
arch/x86/mm/mmap.c,16,4e7c22d447bb6d7e37bfe39ff658486ae78e8d77,f47233c2d34f243ecdaac179c3408a39ff9216a7,"[""CVE-2015-1593""]"
fs/binfmt_elf.c,16,4e7c22d447bb6d7e37bfe39ff658486ae78e8d77,f47233c2d34f243ecdaac179c3408a39ff9216a7,"[""CVE-2015-1593""]"
fs/cifs/sess.c,17,cabfb3680f78981d26c078a26e5c748531257ebb,7fb8986e7449d0a5cebd84d059927afa423fbf85,"[""CVE-2018-1066""]"
fs/cifs/smb2pdu.c,17,cabfb3680f78981d26c078a26e5c748531257ebb,7fb8986e7449d0a5cebd84d059927afa423fbf85,"[""CVE-2018-1066""]"
net/sctp/sm_make_chunk.c,18,07f2c7ab6f8d0a7e7c5764c4e6cc9c52951b9d9c,7b30d51a8f830bd1c1103d31d0314ea6f1106707,"[""CVE-2018-5803""]"
drivers/media/usb/zr364xx/zr364xx.c,19,5d2e73a5f80a5b5aff3caf1ec6d39b5b3f54b26e,75417060e95c1c4fd916458389ba68d883da99c8,"[""CVE-2019-15217""]"
drivers/media/usb/dvb-usb/technisat-usb2.c,20,0c4df39e504bf925ab666132ac3c98d6cbbe380b,5dd4b89dc098bf22cd13e82a308f42a02c102b2b,"[""CVE-2019-15505""]"
net/rds/recv.c,21,7d0a06586b2686ba80c4a2da5f91cb10ffbea736,2c1644cf6d46a8267d79ed95cb9b563839346562,"[""CVE-2019-16714""]"
